,date,cases
0,2020-03-13,6.0
1,2020-03-14,12.0
2,2020-03-15,23.0
3,2020-03-16,29.0
4,2020-03-17,39.0
5,2020-03-18,51.0
6,2020-03-19,78.0
7,2020-03-20,106.0
8,2020-03-21,131.0
9,2020-03-22,157.0
10,2020-03-23,196.0
11,2020-03-24,242.0
12,2020-03-25,386.0
13,2020-03-26,538.0
14,2020-03-27,639.0
15,2020-03-28,720.0
16,2020-03-29,830.0
17,2020-03-30,947.0
18,2020-03-31,999.0
19,2020-04-01,1108.0
20,2020-04-02,1270.0
21,2020-04-03,1535.0
22,2020-04-04,1632.0
0,2020-04-04 00:00:00,1732.0
0,2020-04-05 00:00:00,1835.0
0,2020-04-06 00:00:00,1941.0
0,2020-04-07 00:00:00,2050.0
0,2020-04-08 00:00:00,2162.0
0,2020-04-09 00:00:00,2277.0
0,2020-04-10 00:00:00,2395.0
0,2020-04-11 00:00:00,2516.0
0,2020-04-12 00:00:00,2640.0
0,2020-04-13 00:00:00,2767.0
0,2020-04-14 00:00:00,2897.0
0,2020-04-15 00:00:00,3030.0
0,2020-04-16 00:00:00,3166.0
0,2020-04-17 00:00:00,3305.0
0,2020-04-18 00:00:00,3447.0
0,2020-04-19 00:00:00,3592.0
0,2020-04-20 00:00:00,3740.0
0,2020-04-21 00:00:00,3891.0
0,2020-04-22 00:00:00,4045.0
0,2020-04-23 00:00:00,4202.0
0,2020-04-24 00:00:00,4362.0
0,2020-04-25 00:00:00,4525.0
0,2020-04-26 00:00:00,4691.0
0,2020-04-27 00:00:00,4860.0
0,2020-04-28 00:00:00,5032.0
0,2020-04-29 00:00:00,5207.0
0,2020-04-30 00:00:00,5385.0
0,2020-05-01 00:00:00,5566.0
0,2020-05-02 00:00:00,5750.0
0,2020-05-03 00:00:00,5937.0
0,2020-05-04 00:00:00,6127.0
0,2020-05-05 00:00:00,6320.0
0,2020-05-06 00:00:00,6516.0
0,2020-05-07 00:00:00,6715.0
0,2020-05-08 00:00:00,6917.0
0,2020-05-09 00:00:00,7122.0
0,2020-05-10 00:00:00,7330.0
0,2020-05-11 00:00:00,7541.0
0,2020-05-12 00:00:00,7755.0
0,2020-05-13 00:00:00,7972.0
0,2020-05-14 00:00:00,8192.0
0,2020-05-15 00:00:00,8415.0
0,2020-05-16 00:00:00,8641.0
0,2020-05-17 00:00:00,8870.0
0,2020-05-18 00:00:00,9102.0
0,2020-05-19 00:00:00,9337.0
0,2020-05-20 00:00:00,9575.0
0,2020-05-21 00:00:00,9816.0
0,2020-05-22 00:00:00,10060.0
0,2020-05-23 00:00:00,10307.0
0,2020-05-24 00:00:00,10557.0
0,2020-05-25 00:00:00,10810.0
0,2020-05-26 00:00:00,11066.0
0,2020-05-27 00:00:00,11325.0
0,2020-05-28 00:00:00,11587.0
0,2020-05-29 00:00:00,11852.0
0,2020-05-30 00:00:00,12120.0
0,2020-05-31 00:00:00,12391.0
0,2020-06-01 00:00:00,12665.0
0,2020-06-02 00:00:00,12942.0
0,2020-06-03 00:00:00,13222.0
0,2020-06-04 00:00:00,13505.0
0,2020-06-05 00:00:00,13791.0
0,2020-06-06 00:00:00,14080.0
0,2020-06-07 00:00:00,14372.0
0,2020-06-08 00:00:00,14667.0
0,2020-06-09 00:00:00,14965.0
0,2020-06-10 00:00:00,15266.0
0,2020-06-11 00:00:00,15570.0
0,2020-06-12 00:00:00,15877.0
0,2020-06-13 00:00:00,16187.0
0,2020-06-14 00:00:00,16500.0
0,2020-06-15 00:00:00,16816.0
0,2020-06-16 00:00:00,17135.0
0,2020-06-17 00:00:00,17457.0
0,2020-06-18 00:00:00,17782.0
0,2020-06-19 00:00:00,18110.0
0,2020-06-20 00:00:00,18441.0
0,2020-06-21 00:00:00,18775.0
0,2020-06-22 00:00:00,19112.0
0,2020-06-23 00:00:00,19452.0
0,2020-06-24 00:00:00,19795.0
0,2020-06-25 00:00:00,20141.0
