,date,cases
0,2020-03-12,1.0
1,2020-03-13,1.0
2,2020-03-14,1.0
3,2020-03-15,1.0
4,2020-03-16,3.0
5,2020-03-17,6.0
6,2020-03-18,9.0
7,2020-03-19,12.0
8,2020-03-20,14.0
9,2020-03-21,21.0
10,2020-03-22,22.0
11,2020-03-23,36.0
12,2020-03-24,42.0
13,2020-03-25,59.0
14,2020-03-26,69.0
15,2020-03-27,85.0
16,2020-03-28,102.0
0,2020-03-28 00:00:00,121.0
0,2020-03-29 00:00:00,142.0
0,2020-03-30 00:00:00,165.0
0,2020-03-31 00:00:00,190.0
0,2020-04-01 00:00:00,217.0
0,2020-04-02 00:00:00,246.0
0,2020-04-03 00:00:00,277.0
0,2020-04-04 00:00:00,310.0
0,2020-04-05 00:00:00,345.0
0,2020-04-06 00:00:00,382.0
0,2020-04-07 00:00:00,421.0
0,2020-04-08 00:00:00,462.0
0,2020-04-09 00:00:00,505.0
0,2020-04-10 00:00:00,550.0
0,2020-04-11 00:00:00,597.0
0,2020-04-12 00:00:00,646.0
0,2020-04-13 00:00:00,697.0
0,2020-04-14 00:00:00,750.0
0,2020-04-15 00:00:00,805.0
0,2020-04-16 00:00:00,862.0
0,2020-04-17 00:00:00,921.0
0,2020-04-18 00:00:00,982.0
0,2020-04-19 00:00:00,1045.0
0,2020-04-20 00:00:00,1110.0
0,2020-04-21 00:00:00,1177.0
0,2020-04-22 00:00:00,1246.0
0,2020-04-23 00:00:00,1317.0
0,2020-04-24 00:00:00,1390.0
0,2020-04-25 00:00:00,1465.0
0,2020-04-26 00:00:00,1542.0
0,2020-04-27 00:00:00,1621.0
0,2020-04-28 00:00:00,1702.0
0,2020-04-29 00:00:00,1785.0
0,2020-04-30 00:00:00,1870.0
0,2020-05-01 00:00:00,1957.0
0,2020-05-02 00:00:00,2046.0
0,2020-05-03 00:00:00,2137.0
0,2020-05-04 00:00:00,2230.0
0,2020-05-05 00:00:00,2325.0
0,2020-05-06 00:00:00,2422.0
0,2020-05-07 00:00:00,2521.0
0,2020-05-08 00:00:00,2622.0
0,2020-05-09 00:00:00,2725.0
0,2020-05-10 00:00:00,2830.0
0,2020-05-11 00:00:00,2937.0
0,2020-05-12 00:00:00,3046.0
0,2020-05-13 00:00:00,3157.0
0,2020-05-14 00:00:00,3270.0
0,2020-05-15 00:00:00,3385.0
0,2020-05-16 00:00:00,3502.0
0,2020-05-17 00:00:00,3621.0
0,2020-05-18 00:00:00,3742.0
0,2020-05-19 00:00:00,3865.0
0,2020-05-20 00:00:00,3990.0
0,2020-05-21 00:00:00,4117.0
0,2020-05-22 00:00:00,4246.0
0,2020-05-23 00:00:00,4377.0
0,2020-05-24 00:00:00,4510.0
0,2020-05-25 00:00:00,4645.0
0,2020-05-26 00:00:00,4782.0
0,2020-05-27 00:00:00,4921.0
0,2020-05-28 00:00:00,5062.0
0,2020-05-29 00:00:00,5205.0
0,2020-05-30 00:00:00,5350.0
0,2020-05-31 00:00:00,5497.0
