,date,cases
0,2020-01-26,1.0
1,2020-01-27,1.0
2,2020-01-28,1.0
3,2020-01-29,1.0
4,2020-01-30,1.0
5,2020-01-31,1.0
6,2020-02-01,1.0
7,2020-02-02,1.0
8,2020-02-03,1.0
9,2020-02-04,1.0
10,2020-02-05,1.0
11,2020-02-06,1.0
12,2020-02-07,1.0
13,2020-02-08,1.0
14,2020-02-09,1.0
15,2020-02-10,1.0
16,2020-02-11,1.0
17,2020-02-12,1.0
18,2020-02-13,1.0
19,2020-02-14,1.0
20,2020-02-15,1.0
21,2020-02-16,1.0
22,2020-02-17,1.0
23,2020-02-18,1.0
24,2020-02-19,1.0
25,2020-02-20,1.0
26,2020-02-21,1.0
27,2020-02-22,1.0
28,2020-02-23,1.0
29,2020-02-24,1.0
30,2020-02-25,1.0
31,2020-02-26,1.0
32,2020-02-27,1.0
33,2020-02-28,1.0
34,2020-02-29,1.0
35,2020-03-01,1.0
36,2020-03-02,1.0
37,2020-03-03,2.0
38,2020-03-04,2.0
39,2020-03-05,2.0
40,2020-03-06,3.0
41,2020-03-07,5.0
42,2020-03-08,5.0
43,2020-03-09,6.0
44,2020-03-10,6.0
45,2020-03-11,9.0
46,2020-03-12,9.0
47,2020-03-13,9.0
48,2020-03-14,12.0
49,2020-03-15,13.0
50,2020-03-16,18.0
51,2020-03-17,20.0
52,2020-03-18,28.0
53,2020-03-19,47.0
54,2020-03-20,70.0
55,2020-03-21,104.0
56,2020-03-22,153.0
57,2020-03-23,234.0
58,2020-03-24,326.0
59,2020-03-25,402.0
60,2020-03-26,508.0
61,2020-03-27,665.0
62,2020-03-28,773.0
63,2020-03-29,930.0
64,2020-03-30,1169.0
65,2020-03-31,1298.0
0,2020-03-31 00:00:00,1434.0
0,2020-04-01 00:00:00,1577.0
0,2020-04-02 00:00:00,1727.0
0,2020-04-03 00:00:00,1884.0
0,2020-04-04 00:00:00,2048.0
0,2020-04-05 00:00:00,2219.0
0,2020-04-06 00:00:00,2397.0
0,2020-04-07 00:00:00,2582.0
0,2020-04-08 00:00:00,2774.0
0,2020-04-09 00:00:00,2973.0
0,2020-04-10 00:00:00,3179.0
0,2020-04-11 00:00:00,3392.0
0,2020-04-12 00:00:00,3612.0
0,2020-04-13 00:00:00,3839.0
0,2020-04-14 00:00:00,4073.0
0,2020-04-15 00:00:00,4314.0
0,2020-04-16 00:00:00,4562.0
0,2020-04-17 00:00:00,4817.0
0,2020-04-18 00:00:00,5079.0
0,2020-04-19 00:00:00,5348.0
0,2020-04-20 00:00:00,5624.0
0,2020-04-21 00:00:00,5907.0
0,2020-04-22 00:00:00,6197.0
0,2020-04-23 00:00:00,6494.0
0,2020-04-24 00:00:00,6798.0
0,2020-04-25 00:00:00,7109.0
0,2020-04-26 00:00:00,7427.0
0,2020-04-27 00:00:00,7752.0
0,2020-04-28 00:00:00,8084.0
0,2020-04-29 00:00:00,8423.0
0,2020-04-30 00:00:00,8769.0
0,2020-05-01 00:00:00,9122.0
0,2020-05-02 00:00:00,9482.0
0,2020-05-03 00:00:00,9849.0
0,2020-05-04 00:00:00,10223.0
0,2020-05-05 00:00:00,10604.0
0,2020-05-06 00:00:00,10992.0
0,2020-05-07 00:00:00,11387.0
0,2020-05-08 00:00:00,11789.0
0,2020-05-09 00:00:00,12198.0
0,2020-05-10 00:00:00,12614.0
0,2020-05-11 00:00:00,13037.0
0,2020-05-12 00:00:00,13467.0
0,2020-05-13 00:00:00,13904.0
0,2020-05-14 00:00:00,14348.0
0,2020-05-15 00:00:00,14799.0
0,2020-05-16 00:00:00,15257.0
0,2020-05-17 00:00:00,15722.0
0,2020-05-18 00:00:00,16194.0
0,2020-05-19 00:00:00,16673.0
0,2020-05-20 00:00:00,17159.0
0,2020-05-21 00:00:00,17652.0
0,2020-05-22 00:00:00,18152.0
0,2020-05-23 00:00:00,18659.0
0,2020-05-24 00:00:00,19173.0
0,2020-05-25 00:00:00,19694.0
0,2020-05-26 00:00:00,20222.0
0,2020-05-27 00:00:00,20757.0
0,2020-05-28 00:00:00,21299.0
0,2020-05-29 00:00:00,21848.0
0,2020-05-30 00:00:00,22404.0
0,2020-05-31 00:00:00,22967.0
0,2020-06-01 00:00:00,23537.0
0,2020-06-02 00:00:00,24114.0
0,2020-06-03 00:00:00,24698.0
0,2020-06-04 00:00:00,25289.0
0,2020-06-05 00:00:00,25887.0
0,2020-06-06 00:00:00,26492.0
0,2020-06-07 00:00:00,27104.0
0,2020-06-08 00:00:00,27723.0
0,2020-06-09 00:00:00,28349.0
0,2020-06-10 00:00:00,28982.0
0,2020-06-11 00:00:00,29622.0
0,2020-06-12 00:00:00,30269.0
0,2020-06-13 00:00:00,30923.0
0,2020-06-14 00:00:00,31584.0
0,2020-06-15 00:00:00,32252.0
0,2020-06-16 00:00:00,32927.0
0,2020-06-17 00:00:00,33609.0
0,2020-06-18 00:00:00,34298.0
0,2020-06-19 00:00:00,34994.0
0,2020-06-20 00:00:00,35697.0
0,2020-06-21 00:00:00,36407.0
0,2020-06-22 00:00:00,37124.0
0,2020-06-23 00:00:00,37848.0
0,2020-06-24 00:00:00,38579.0
0,2020-06-25 00:00:00,39317.0
0,2020-06-26 00:00:00,40062.0
0,2020-06-27 00:00:00,40814.0
0,2020-06-28 00:00:00,41573.0
0,2020-06-29 00:00:00,42339.0
0,2020-06-30 00:00:00,43112.0
0,2020-07-01 00:00:00,43892.0
0,2020-07-02 00:00:00,44679.0
0,2020-07-03 00:00:00,45473.0
0,2020-07-04 00:00:00,46274.0
0,2020-07-05 00:00:00,47082.0
0,2020-07-06 00:00:00,47897.0
0,2020-07-07 00:00:00,48719.0
0,2020-07-08 00:00:00,49548.0
0,2020-07-09 00:00:00,50384.0
0,2020-07-10 00:00:00,51227.0
0,2020-07-11 00:00:00,52077.0
0,2020-07-12 00:00:00,52934.0
0,2020-07-13 00:00:00,53798.0
0,2020-07-14 00:00:00,54669.0
0,2020-07-15 00:00:00,55547.0
0,2020-07-16 00:00:00,56432.0
0,2020-07-17 00:00:00,57324.0
0,2020-07-18 00:00:00,58223.0
0,2020-07-19 00:00:00,59129.0
0,2020-07-20 00:00:00,60042.0
0,2020-07-21 00:00:00,60962.0
0,2020-07-22 00:00:00,61889.0
0,2020-07-23 00:00:00,62823.0
0,2020-07-24 00:00:00,63764.0
0,2020-07-25 00:00:00,64712.0
0,2020-07-26 00:00:00,65667.0
0,2020-07-27 00:00:00,66629.0
0,2020-07-28 00:00:00,67598.0
0,2020-07-29 00:00:00,68574.0
0,2020-07-30 00:00:00,69557.0
0,2020-07-31 00:00:00,70547.0
0,2020-08-01 00:00:00,71544.0
0,2020-08-02 00:00:00,72548.0
0,2020-08-03 00:00:00,73559.0
0,2020-08-04 00:00:00,74577.0
0,2020-08-05 00:00:00,75602.0
0,2020-08-06 00:00:00,76634.0
0,2020-08-07 00:00:00,77673.0
0,2020-08-08 00:00:00,78719.0
0,2020-08-09 00:00:00,79772.0
0,2020-08-10 00:00:00,80832.0
0,2020-08-11 00:00:00,81899.0
0,2020-08-12 00:00:00,82973.0
