,date,cases
0,2020-01-25,1.0
1,2020-01-26,2.0
2,2020-01-27,2.0
3,2020-01-28,2.0
4,2020-01-29,2.0
5,2020-01-30,2.0
6,2020-01-31,3.0
7,2020-02-01,3.0
8,2020-02-02,6.0
9,2020-02-03,6.0
10,2020-02-04,6.0
11,2020-02-05,6.0
12,2020-02-06,6.0
13,2020-02-07,6.0
14,2020-02-08,6.0
15,2020-02-09,6.0
16,2020-02-10,7.0
17,2020-02-11,7.0
18,2020-02-12,7.0
19,2020-02-13,7.0
20,2020-02-14,7.0
21,2020-02-15,7.0
22,2020-02-16,7.0
23,2020-02-17,7.0
24,2020-02-18,7.0
25,2020-02-19,7.0
26,2020-02-20,8.0
27,2020-02-21,9.0
28,2020-02-22,9.0
29,2020-02-23,9.0
30,2020-02-24,11.0
31,2020-02-25,11.0
32,2020-02-26,26.0
33,2020-02-27,26.0
34,2020-02-28,27.0
35,2020-02-29,28.0
36,2020-03-01,33.0
37,2020-03-02,38.0
38,2020-03-03,45.0
39,2020-03-04,55.0
40,2020-03-05,67.0
41,2020-03-06,81.0
42,2020-03-07,100.0
43,2020-03-08,112.0
44,2020-03-09,172.0
45,2020-03-10,179.0
46,2020-03-11,202.0
47,2020-03-12,252.0
48,2020-03-13,320.0
49,2020-03-14,381.0
50,2020-03-15,478.0
51,2020-03-16,588.0
52,2020-03-17,732.0
53,2020-03-18,893.0
54,2020-03-19,1067.0
0,2020-03-19 00:00:00,1257.0
0,2020-03-20 00:00:00,1463.0
0,2020-03-21 00:00:00,1685.0
0,2020-03-22 00:00:00,1923.0
0,2020-03-23 00:00:00,2177.0
0,2020-03-24 00:00:00,2447.0
0,2020-03-25 00:00:00,2733.0
0,2020-03-26 00:00:00,3035.0
0,2020-03-27 00:00:00,3353.0
0,2020-03-28 00:00:00,3687.0
0,2020-03-29 00:00:00,4037.0
0,2020-03-30 00:00:00,4403.0
0,2020-03-31 00:00:00,4785.0
0,2020-04-01 00:00:00,5183.0
0,2020-04-02 00:00:00,5597.0
0,2020-04-03 00:00:00,6027.0
0,2020-04-04 00:00:00,6473.0
0,2020-04-05 00:00:00,6935.0
0,2020-04-06 00:00:00,7413.0
