,date,cases
0,2020-03-05,2.0
1,2020-03-06,8.0
2,2020-03-07,8.0
3,2020-03-08,8.0
4,2020-03-09,12.0
5,2020-03-10,17.0
6,2020-03-11,34.0
7,2020-03-12,49.0
8,2020-03-13,78.0
9,2020-03-14,103.0
10,2020-03-15,136.0
11,2020-03-16,161.0
12,2020-03-17,183.0
13,2020-03-18,216.0
14,2020-03-19,278.0
15,2020-03-20,364.0
16,2020-03-21,475.0
17,2020-03-22,591.0
18,2020-03-23,721.0
19,2020-03-24,912.0
20,2020-03-25,1086.0
21,2020-03-26,1432.0
0,2020-03-26 00:00:00,1828.0
0,2020-03-27 00:00:00,2274.0
0,2020-03-28 00:00:00,2770.0
0,2020-03-29 00:00:00,3317.0
0,2020-03-30 00:00:00,3915.0
0,2020-03-31 00:00:00,4564.0
0,2020-04-01 00:00:00,5264.0
0,2020-04-02 00:00:00,6015.0
0,2020-04-03 00:00:00,6817.0
0,2020-04-04 00:00:00,7670.0
0,2020-04-05 00:00:00,8574.0
0,2020-04-06 00:00:00,9529.0
0,2020-04-07 00:00:00,10535.0
0,2020-04-08 00:00:00,11592.0
0,2020-04-09 00:00:00,12700.0
0,2020-04-10 00:00:00,13859.0
0,2020-04-11 00:00:00,15069.0
0,2020-04-12 00:00:00,16330.0
0,2020-04-13 00:00:00,17642.0
0,2020-04-14 00:00:00,19005.0
0,2020-04-15 00:00:00,20419.0
0,2020-04-16 00:00:00,21884.0
0,2020-04-17 00:00:00,23400.0
0,2020-04-18 00:00:00,24967.0
0,2020-04-19 00:00:00,26585.0
0,2020-04-20 00:00:00,28254.0
0,2020-04-21 00:00:00,29974.0
0,2020-04-22 00:00:00,31745.0
0,2020-04-23 00:00:00,33567.0
0,2020-04-24 00:00:00,35440.0
0,2020-04-25 00:00:00,37364.0
0,2020-04-26 00:00:00,39339.0
0,2020-04-27 00:00:00,41365.0
0,2020-04-28 00:00:00,43442.0
0,2020-04-29 00:00:00,45570.0
0,2020-04-30 00:00:00,47749.0
0,2020-05-01 00:00:00,49979.0
0,2020-05-02 00:00:00,52260.0
0,2020-05-03 00:00:00,54592.0
0,2020-05-04 00:00:00,56975.0
0,2020-05-05 00:00:00,59409.0
0,2020-05-06 00:00:00,61894.0
0,2020-05-07 00:00:00,64430.0
0,2020-05-08 00:00:00,67017.0
0,2020-05-09 00:00:00,69655.0
0,2020-05-10 00:00:00,72344.0
0,2020-05-11 00:00:00,75084.0
0,2020-05-12 00:00:00,77875.0
0,2020-05-13 00:00:00,80717.0
0,2020-05-14 00:00:00,83610.0
0,2020-05-15 00:00:00,86554.0
0,2020-05-16 00:00:00,89549.0
0,2020-05-17 00:00:00,92595.0
0,2020-05-18 00:00:00,95692.0
0,2020-05-19 00:00:00,98840.0
0,2020-05-20 00:00:00,102039.0
0,2020-05-21 00:00:00,105289.0
0,2020-05-22 00:00:00,108590.0
0,2020-05-23 00:00:00,111942.0
0,2020-05-24 00:00:00,115345.0
0,2020-05-25 00:00:00,118799.0
0,2020-05-26 00:00:00,122304.0
0,2020-05-27 00:00:00,125860.0
0,2020-05-28 00:00:00,129467.0
0,2020-05-29 00:00:00,133125.0
0,2020-05-30 00:00:00,136834.0
0,2020-05-31 00:00:00,140594.0
0,2020-06-01 00:00:00,144405.0
0,2020-06-02 00:00:00,148267.0
0,2020-06-03 00:00:00,152180.0
0,2020-06-04 00:00:00,156144.0
0,2020-06-05 00:00:00,160159.0
0,2020-06-06 00:00:00,164225.0
0,2020-06-07 00:00:00,168342.0
0,2020-06-08 00:00:00,172510.0
0,2020-06-09 00:00:00,176729.0
0,2020-06-10 00:00:00,180999.0
0,2020-06-11 00:00:00,185320.0
0,2020-06-12 00:00:00,189692.0
0,2020-06-13 00:00:00,194115.0
0,2020-06-14 00:00:00,198589.0
0,2020-06-15 00:00:00,203114.0
0,2020-06-16 00:00:00,207690.0
0,2020-06-17 00:00:00,212317.0
0,2020-06-18 00:00:00,216995.0
0,2020-06-19 00:00:00,221724.0
0,2020-06-20 00:00:00,226504.0
0,2020-06-21 00:00:00,231335.0
0,2020-06-22 00:00:00,236217.0
0,2020-06-23 00:00:00,241150.0
0,2020-06-24 00:00:00,246134.0
0,2020-06-25 00:00:00,251169.0
0,2020-06-26 00:00:00,256255.0
0,2020-06-27 00:00:00,261392.0
0,2020-06-28 00:00:00,266580.0
0,2020-06-29 00:00:00,271819.0
0,2020-06-30 00:00:00,277109.0
0,2020-07-01 00:00:00,282450.0
0,2020-07-02 00:00:00,287842.0
0,2020-07-03 00:00:00,293285.0
0,2020-07-04 00:00:00,298779.0
0,2020-07-05 00:00:00,304324.0
0,2020-07-06 00:00:00,309920.0
0,2020-07-07 00:00:00,315567.0
0,2020-07-08 00:00:00,321265.0
0,2020-07-09 00:00:00,327014.0
0,2020-07-10 00:00:00,332814.0
0,2020-07-11 00:00:00,338665.0
0,2020-07-12 00:00:00,344567.0
0,2020-07-13 00:00:00,350520.0
0,2020-07-14 00:00:00,356524.0
0,2020-07-15 00:00:00,362579.0
0,2020-07-16 00:00:00,368685.0
0,2020-07-17 00:00:00,374842.0
0,2020-07-18 00:00:00,381050.0
0,2020-07-19 00:00:00,387309.0
0,2020-07-20 00:00:00,393619.0
0,2020-07-21 00:00:00,399980.0
0,2020-07-22 00:00:00,406392.0
0,2020-07-23 00:00:00,412855.0
0,2020-07-24 00:00:00,419369.0
0,2020-07-25 00:00:00,425934.0
0,2020-07-26 00:00:00,432550.0
0,2020-07-27 00:00:00,439217.0
0,2020-07-28 00:00:00,445935.0
0,2020-07-29 00:00:00,452704.0
0,2020-07-30 00:00:00,459524.0
0,2020-07-31 00:00:00,466395.0
0,2020-08-01 00:00:00,473317.0
0,2020-08-02 00:00:00,480290.0
0,2020-08-03 00:00:00,487314.0
0,2020-08-04 00:00:00,494389.0
0,2020-08-05 00:00:00,501515.0
0,2020-08-06 00:00:00,508692.0
0,2020-08-07 00:00:00,515920.0
0,2020-08-08 00:00:00,523199.0
0,2020-08-09 00:00:00,530529.0
0,2020-08-10 00:00:00,537910.0
0,2020-08-11 00:00:00,545342.0
0,2020-08-12 00:00:00,552825.0
