,date,cases
0,2020-03-08,1.0
1,2020-03-09,2.0
2,2020-03-10,2.0
3,2020-03-11,3.0
4,2020-03-12,6.0
5,2020-03-13,11.0
6,2020-03-14,20.0
7,2020-03-15,26.0
8,2020-03-16,41.0
9,2020-03-17,68.0
10,2020-03-18,96.0
11,2020-03-19,159.0
12,2020-03-20,194.0
13,2020-03-21,223.0
14,2020-03-22,327.0
15,2020-03-23,415.0
0,2020-03-23 00:00:00,514.0
0,2020-03-24 00:00:00,624.0
0,2020-03-25 00:00:00,745.0
0,2020-03-26 00:00:00,877.0
0,2020-03-27 00:00:00,1020.0
0,2020-03-28 00:00:00,1174.0
0,2020-03-29 00:00:00,1339.0
0,2020-03-30 00:00:00,1515.0
0,2020-03-31 00:00:00,1702.0
0,2020-04-01 00:00:00,1900.0
0,2020-04-02 00:00:00,2109.0
0,2020-04-03 00:00:00,2329.0
0,2020-04-04 00:00:00,2560.0
0,2020-04-05 00:00:00,2802.0
0,2020-04-06 00:00:00,3055.0
0,2020-04-07 00:00:00,3319.0
0,2020-04-08 00:00:00,3594.0
0,2020-04-09 00:00:00,3880.0
0,2020-04-10 00:00:00,4177.0
0,2020-04-11 00:00:00,4485.0
0,2020-04-12 00:00:00,4804.0
0,2020-04-13 00:00:00,5134.0
0,2020-04-14 00:00:00,5475.0
0,2020-04-15 00:00:00,5827.0
0,2020-04-16 00:00:00,6190.0
0,2020-04-17 00:00:00,6564.0
0,2020-04-18 00:00:00,6949.0
0,2020-04-19 00:00:00,7345.0
0,2020-04-20 00:00:00,7752.0
0,2020-04-21 00:00:00,8170.0
0,2020-04-22 00:00:00,8599.0
0,2020-04-23 00:00:00,9039.0
0,2020-04-24 00:00:00,9490.0
0,2020-04-25 00:00:00,9952.0
0,2020-04-26 00:00:00,10425.0
0,2020-04-27 00:00:00,10909.0
0,2020-04-28 00:00:00,11404.0
0,2020-04-29 00:00:00,11910.0
0,2020-04-30 00:00:00,12427.0
0,2020-05-01 00:00:00,12955.0
0,2020-05-02 00:00:00,13494.0
0,2020-05-03 00:00:00,14044.0
0,2020-05-04 00:00:00,14605.0
0,2020-05-05 00:00:00,15177.0
0,2020-05-06 00:00:00,15760.0
0,2020-05-07 00:00:00,16354.0
0,2020-05-08 00:00:00,16959.0
0,2020-05-09 00:00:00,17575.0
0,2020-05-10 00:00:00,18202.0
0,2020-05-11 00:00:00,18840.0
0,2020-05-12 00:00:00,19489.0
0,2020-05-13 00:00:00,20149.0
0,2020-05-14 00:00:00,20820.0
0,2020-05-15 00:00:00,21502.0
0,2020-05-16 00:00:00,22195.0
0,2020-05-17 00:00:00,22899.0
0,2020-05-18 00:00:00,23614.0
0,2020-05-19 00:00:00,24340.0
0,2020-05-20 00:00:00,25077.0
0,2020-05-21 00:00:00,25825.0
0,2020-05-22 00:00:00,26584.0
0,2020-05-23 00:00:00,27354.0
0,2020-05-24 00:00:00,28135.0
0,2020-05-25 00:00:00,28927.0
0,2020-05-26 00:00:00,29730.0
0,2020-05-27 00:00:00,30544.0
