,date,cases
0,2020-03-11,1.0
1,2020-03-12,4.0
2,2020-03-13,4.0
3,2020-03-14,4.0
4,2020-03-15,7.0
5,2020-03-16,8.0
6,2020-03-17,16.0
7,2020-03-18,26.0
8,2020-03-19,30.0
9,2020-03-20,39.0
10,2020-03-21,45.0
11,2020-03-22,56.0
12,2020-03-23,87.0
13,2020-03-24,104.0
0,2020-03-24 00:00:00,123.0
0,2020-03-25 00:00:00,144.0
0,2020-03-26 00:00:00,167.0
0,2020-03-27 00:00:00,192.0
0,2020-03-28 00:00:00,219.0
0,2020-03-29 00:00:00,248.0
0,2020-03-30 00:00:00,279.0
0,2020-03-31 00:00:00,312.0
0,2020-04-01 00:00:00,347.0
0,2020-04-02 00:00:00,384.0
0,2020-04-03 00:00:00,423.0
0,2020-04-04 00:00:00,464.0
0,2020-04-05 00:00:00,507.0
0,2020-04-06 00:00:00,552.0
0,2020-04-07 00:00:00,599.0
0,2020-04-08 00:00:00,648.0
0,2020-04-09 00:00:00,699.0
0,2020-04-10 00:00:00,752.0
0,2020-04-11 00:00:00,807.0
0,2020-04-12 00:00:00,864.0
0,2020-04-13 00:00:00,923.0
0,2020-04-14 00:00:00,984.0
0,2020-04-15 00:00:00,1047.0
0,2020-04-16 00:00:00,1112.0
0,2020-04-17 00:00:00,1179.0
0,2020-04-18 00:00:00,1248.0
0,2020-04-19 00:00:00,1319.0
0,2020-04-20 00:00:00,1392.0
0,2020-04-21 00:00:00,1467.0
0,2020-04-22 00:00:00,1544.0
0,2020-04-23 00:00:00,1623.0
0,2020-04-24 00:00:00,1704.0
0,2020-04-25 00:00:00,1787.0
0,2020-04-26 00:00:00,1872.0
0,2020-04-27 00:00:00,1959.0
0,2020-04-28 00:00:00,2048.0
0,2020-04-29 00:00:00,2139.0
0,2020-04-30 00:00:00,2232.0
0,2020-05-01 00:00:00,2327.0
0,2020-05-02 00:00:00,2424.0
0,2020-05-03 00:00:00,2523.0
0,2020-05-04 00:00:00,2624.0
0,2020-05-05 00:00:00,2727.0
0,2020-05-06 00:00:00,2832.0
0,2020-05-07 00:00:00,2939.0
0,2020-05-08 00:00:00,3048.0
0,2020-05-09 00:00:00,3159.0
0,2020-05-10 00:00:00,3272.0
0,2020-05-11 00:00:00,3387.0
0,2020-05-12 00:00:00,3504.0
0,2020-05-13 00:00:00,3623.0
0,2020-05-14 00:00:00,3744.0
0,2020-05-15 00:00:00,3867.0
0,2020-05-16 00:00:00,3992.0
0,2020-05-17 00:00:00,4119.0
0,2020-05-18 00:00:00,4248.0
0,2020-05-19 00:00:00,4379.0
0,2020-05-20 00:00:00,4512.0
0,2020-05-21 00:00:00,4647.0
0,2020-05-22 00:00:00,4784.0
0,2020-05-23 00:00:00,4923.0
0,2020-05-24 00:00:00,5064.0
0,2020-05-25 00:00:00,5207.0
0,2020-05-26 00:00:00,5352.0
0,2020-05-27 00:00:00,5499.0
0,2020-05-28 00:00:00,5648.0
0,2020-05-29 00:00:00,5799.0
0,2020-05-30 00:00:00,5952.0
0,2020-05-31 00:00:00,6107.0
0,2020-06-01 00:00:00,6264.0
0,2020-06-02 00:00:00,6423.0
0,2020-06-03 00:00:00,6584.0
0,2020-06-04 00:00:00,6747.0
0,2020-06-05 00:00:00,6912.0
0,2020-06-06 00:00:00,7079.0
0,2020-06-07 00:00:00,7248.0
0,2020-06-08 00:00:00,7419.0
0,2020-06-09 00:00:00,7592.0
