,date,cases
0,2020-03-01,2.0
1,2020-03-02,2.0
2,2020-03-03,3.0
3,2020-03-04,3.0
4,2020-03-05,4.0
5,2020-03-06,7.0
6,2020-03-07,12.0
7,2020-03-08,13.0
8,2020-03-09,14.0
9,2020-03-10,23.0
10,2020-03-11,26.0
11,2020-03-12,46.0
12,2020-03-13,70.0
13,2020-03-14,70.0
14,2020-03-15,109.0
15,2020-03-16,141.0
16,2020-03-17,210.0
17,2020-03-18,326.0
18,2020-03-19,434.0
19,2020-03-20,564.0
20,2020-03-21,764.0
21,2020-03-22,1000.0
22,2020-03-23,1222.0
23,2020-03-24,1467.0
24,2020-03-25,1971.0
25,2020-03-26,2478.0
26,2020-03-27,3198.0
27,2020-03-28,4038.0
28,2020-03-29,4943.0
29,2020-03-30,5695.0
30,2020-03-31,6742.0
31,2020-04-01,7769.0
32,2020-04-02,9000.0
33,2020-04-03,10260.0
0,2020-04-03 00:00:00,11604.0
0,2020-04-04 00:00:00,13032.0
0,2020-04-05 00:00:00,14544.0
0,2020-04-06 00:00:00,16141.0
0,2020-04-07 00:00:00,17823.0
0,2020-04-08 00:00:00,19590.0
0,2020-04-09 00:00:00,21442.0
0,2020-04-10 00:00:00,23379.0
0,2020-04-11 00:00:00,25401.0
0,2020-04-12 00:00:00,27508.0
0,2020-04-13 00:00:00,29700.0
0,2020-04-14 00:00:00,31977.0
0,2020-04-15 00:00:00,34339.0
0,2020-04-16 00:00:00,36786.0
0,2020-04-17 00:00:00,39318.0
0,2020-04-18 00:00:00,41935.0
0,2020-04-19 00:00:00,44637.0
0,2020-04-20 00:00:00,47424.0
0,2020-04-21 00:00:00,50296.0
0,2020-04-22 00:00:00,53253.0
0,2020-04-23 00:00:00,56295.0
0,2020-04-24 00:00:00,59422.0
0,2020-04-25 00:00:00,62634.0
0,2020-04-26 00:00:00,65931.0
0,2020-04-27 00:00:00,69313.0
0,2020-04-28 00:00:00,72780.0
0,2020-04-29 00:00:00,76332.0
0,2020-04-30 00:00:00,79969.0
0,2020-05-01 00:00:00,83691.0
0,2020-05-02 00:00:00,87498.0
0,2020-05-03 00:00:00,91390.0
0,2020-05-04 00:00:00,95367.0
0,2020-05-05 00:00:00,99429.0
0,2020-05-06 00:00:00,103576.0
0,2020-05-07 00:00:00,107808.0
0,2020-05-08 00:00:00,112125.0
0,2020-05-09 00:00:00,116527.0
0,2020-05-10 00:00:00,121014.0
0,2020-05-11 00:00:00,125586.0
0,2020-05-12 00:00:00,130243.0
0,2020-05-13 00:00:00,134985.0
0,2020-05-14 00:00:00,139812.0
0,2020-05-15 00:00:00,144724.0
0,2020-05-16 00:00:00,149721.0
0,2020-05-17 00:00:00,154803.0
0,2020-05-18 00:00:00,159970.0
