,date,cases
0,2020-03-06,1.0
1,2020-03-07,1.0
2,2020-03-08,2.0
3,2020-03-09,2.0
4,2020-03-10,2.0
5,2020-03-11,2.0
6,2020-03-12,2.0
7,2020-03-13,2.0
8,2020-03-14,4.0
9,2020-03-15,7.0
10,2020-03-16,10.0
11,2020-03-17,14.0
12,2020-03-18,16.0
13,2020-03-19,26.0
14,2020-03-20,37.0
15,2020-03-21,48.0
16,2020-03-22,56.0
17,2020-03-23,77.0
18,2020-03-24,90.0
19,2020-03-25,95.0
0,2020-03-25 00:00:00,100.0
0,2020-03-26 00:00:00,105.0
0,2020-03-27 00:00:00,110.0
0,2020-03-28 00:00:00,115.0
0,2020-03-29 00:00:00,120.0
0,2020-03-30 00:00:00,125.0
0,2020-03-31 00:00:00,130.0
0,2020-04-01 00:00:00,135.0
0,2020-04-02 00:00:00,140.0
0,2020-04-03 00:00:00,145.0
0,2020-04-04 00:00:00,150.0
0,2020-04-05 00:00:00,155.0
0,2020-04-06 00:00:00,160.0
0,2020-04-07 00:00:00,165.0
0,2020-04-08 00:00:00,170.0
0,2020-04-09 00:00:00,175.0
0,2020-04-10 00:00:00,180.0
0,2020-04-11 00:00:00,185.0
0,2020-04-12 00:00:00,190.0
0,2020-04-13 00:00:00,195.0
0,2020-04-14 00:00:00,200.0
0,2020-04-15 00:00:00,205.0
0,2020-04-16 00:00:00,210.0
0,2020-04-17 00:00:00,215.0
0,2020-04-18 00:00:00,220.0
0,2020-04-19 00:00:00,225.0
0,2020-04-20 00:00:00,230.0
0,2020-04-21 00:00:00,235.0
0,2020-04-22 00:00:00,240.0
0,2020-04-23 00:00:00,245.0
0,2020-04-24 00:00:00,250.0
0,2020-04-25 00:00:00,255.0
0,2020-04-26 00:00:00,260.0
0,2020-04-27 00:00:00,265.0
0,2020-04-28 00:00:00,270.0
0,2020-04-29 00:00:00,275.0
0,2020-04-30 00:00:00,280.0
0,2020-05-01 00:00:00,285.0
0,2020-05-02 00:00:00,290.0
0,2020-05-03 00:00:00,295.0
0,2020-05-04 00:00:00,300.0
0,2020-05-05 00:00:00,305.0
0,2020-05-06 00:00:00,310.0
0,2020-05-07 00:00:00,315.0
0,2020-05-08 00:00:00,320.0
0,2020-05-09 00:00:00,325.0
0,2020-05-10 00:00:00,330.0
0,2020-05-11 00:00:00,335.0
0,2020-05-12 00:00:00,340.0
0,2020-05-13 00:00:00,345.0
0,2020-05-14 00:00:00,350.0
0,2020-05-15 00:00:00,355.0
0,2020-05-16 00:00:00,360.0
0,2020-05-17 00:00:00,365.0
0,2020-05-18 00:00:00,370.0
0,2020-05-19 00:00:00,375.0
0,2020-05-20 00:00:00,380.0
0,2020-05-21 00:00:00,385.0
0,2020-05-22 00:00:00,390.0
0,2020-05-23 00:00:00,395.0
0,2020-05-24 00:00:00,400.0
0,2020-05-25 00:00:00,405.0
0,2020-05-26 00:00:00,410.0
0,2020-05-27 00:00:00,415.0
0,2020-05-28 00:00:00,420.0
0,2020-05-29 00:00:00,425.0
0,2020-05-30 00:00:00,430.0
0,2020-05-31 00:00:00,435.0
0,2020-06-01 00:00:00,440.0
0,2020-06-02 00:00:00,445.0
0,2020-06-03 00:00:00,450.0
0,2020-06-04 00:00:00,455.0
0,2020-06-05 00:00:00,460.0
0,2020-06-06 00:00:00,465.0
0,2020-06-07 00:00:00,470.0
0,2020-06-08 00:00:00,475.0
0,2020-06-09 00:00:00,480.0
0,2020-06-10 00:00:00,485.0
0,2020-06-11 00:00:00,490.0
0,2020-06-12 00:00:00,495.0
0,2020-06-13 00:00:00,500.0
0,2020-06-14 00:00:00,505.0
0,2020-06-15 00:00:00,510.0
0,2020-06-16 00:00:00,515.0
0,2020-06-17 00:00:00,520.0
0,2020-06-18 00:00:00,525.0
0,2020-06-19 00:00:00,530.0
0,2020-06-20 00:00:00,535.0
0,2020-06-21 00:00:00,540.0
0,2020-06-22 00:00:00,545.0
0,2020-06-23 00:00:00,550.0
0,2020-06-24 00:00:00,555.0
0,2020-06-25 00:00:00,560.0
0,2020-06-26 00:00:00,565.0
0,2020-06-27 00:00:00,570.0
0,2020-06-28 00:00:00,575.0
0,2020-06-29 00:00:00,580.0
0,2020-06-30 00:00:00,585.0
0,2020-07-01 00:00:00,590.0
0,2020-07-02 00:00:00,595.0
0,2020-07-03 00:00:00,600.0
0,2020-07-04 00:00:00,605.0
0,2020-07-05 00:00:00,610.0
0,2020-07-06 00:00:00,615.0
0,2020-07-07 00:00:00,620.0
0,2020-07-08 00:00:00,625.0
0,2020-07-09 00:00:00,630.0
0,2020-07-10 00:00:00,635.0
0,2020-07-11 00:00:00,640.0
0,2020-07-12 00:00:00,645.0
0,2020-07-13 00:00:00,650.0
0,2020-07-14 00:00:00,655.0
0,2020-07-15 00:00:00,660.0
0,2020-07-16 00:00:00,665.0
0,2020-07-17 00:00:00,670.0
0,2020-07-18 00:00:00,675.0
0,2020-07-19 00:00:00,680.0
0,2020-07-20 00:00:00,685.0
0,2020-07-21 00:00:00,690.0
0,2020-07-22 00:00:00,695.0
0,2020-07-23 00:00:00,700.0
0,2020-07-24 00:00:00,705.0
0,2020-07-25 00:00:00,710.0
0,2020-07-26 00:00:00,715.0
0,2020-07-27 00:00:00,720.0
0,2020-07-28 00:00:00,725.0
0,2020-07-29 00:00:00,730.0
0,2020-07-30 00:00:00,735.0
0,2020-07-31 00:00:00,740.0
0,2020-08-01 00:00:00,745.0
0,2020-08-02 00:00:00,750.0
0,2020-08-03 00:00:00,755.0
0,2020-08-04 00:00:00,760.0
0,2020-08-05 00:00:00,765.0
0,2020-08-06 00:00:00,770.0
0,2020-08-07 00:00:00,775.0
0,2020-08-08 00:00:00,780.0
0,2020-08-09 00:00:00,785.0
0,2020-08-10 00:00:00,790.0
0,2020-08-11 00:00:00,795.0
0,2020-08-12 00:00:00,800.0
