,date,cases
0,2020-03-13,1.0
1,2020-03-14,5.0
2,2020-03-15,5.0
3,2020-03-16,5.0
4,2020-03-17,9.0
5,2020-03-18,11.0
6,2020-03-19,23.0
7,2020-03-20,31.0
8,2020-03-21,42.0
9,2020-03-22,47.0
10,2020-03-23,50.0
11,2020-03-24,73.0
12,2020-03-25,123.0
0,2020-03-25 00:00:00,187.0
0,2020-03-26 00:00:00,265.0
0,2020-03-27 00:00:00,357.0
0,2020-03-28 00:00:00,463.0
0,2020-03-29 00:00:00,583.0
0,2020-03-30 00:00:00,717.0
0,2020-03-31 00:00:00,865.0
0,2020-04-01 00:00:00,1027.0
0,2020-04-02 00:00:00,1203.0
0,2020-04-03 00:00:00,1393.0
0,2020-04-04 00:00:00,1597.0
0,2020-04-05 00:00:00,1815.0
0,2020-04-06 00:00:00,2047.0
0,2020-04-07 00:00:00,2293.0
0,2020-04-08 00:00:00,2553.0
0,2020-04-09 00:00:00,2827.0
0,2020-04-10 00:00:00,3115.0
0,2020-04-11 00:00:00,3417.0
0,2020-04-12 00:00:00,3733.0
0,2020-04-13 00:00:00,4063.0
0,2020-04-14 00:00:00,4407.0
0,2020-04-15 00:00:00,4765.0
0,2020-04-16 00:00:00,5137.0
0,2020-04-17 00:00:00,5523.0
0,2020-04-18 00:00:00,5923.0
0,2020-04-19 00:00:00,6337.0
0,2020-04-20 00:00:00,6765.0
0,2020-04-21 00:00:00,7207.0
0,2020-04-22 00:00:00,7663.0
0,2020-04-23 00:00:00,8133.0
0,2020-04-24 00:00:00,8617.0
0,2020-04-25 00:00:00,9115.0
0,2020-04-26 00:00:00,9627.0
0,2020-04-27 00:00:00,10153.0
0,2020-04-28 00:00:00,10693.0
0,2020-04-29 00:00:00,11247.0
0,2020-04-30 00:00:00,11815.0
0,2020-05-01 00:00:00,12397.0
0,2020-05-02 00:00:00,12993.0
0,2020-05-03 00:00:00,13603.0
0,2020-05-04 00:00:00,14227.0
0,2020-05-05 00:00:00,14865.0
0,2020-05-06 00:00:00,15517.0
0,2020-05-07 00:00:00,16183.0
0,2020-05-08 00:00:00,16863.0
0,2020-05-09 00:00:00,17557.0
0,2020-05-10 00:00:00,18265.0
0,2020-05-11 00:00:00,18987.0
0,2020-05-12 00:00:00,19723.0
0,2020-05-13 00:00:00,20473.0
0,2020-05-14 00:00:00,21237.0
0,2020-05-15 00:00:00,22015.0
0,2020-05-16 00:00:00,22807.0
0,2020-05-17 00:00:00,23613.0
0,2020-05-18 00:00:00,24433.0
0,2020-05-19 00:00:00,25267.0
0,2020-05-20 00:00:00,26115.0
0,2020-05-21 00:00:00,26977.0
0,2020-05-22 00:00:00,27853.0
0,2020-05-23 00:00:00,28743.0
0,2020-05-24 00:00:00,29647.0
0,2020-05-25 00:00:00,30565.0
0,2020-05-26 00:00:00,31497.0
0,2020-05-27 00:00:00,32443.0
0,2020-05-28 00:00:00,33403.0
0,2020-05-29 00:00:00,34377.0
0,2020-05-30 00:00:00,35365.0
0,2020-05-31 00:00:00,36367.0
0,2020-06-01 00:00:00,37383.0
0,2020-06-02 00:00:00,38413.0
0,2020-06-03 00:00:00,39457.0
0,2020-06-04 00:00:00,40515.0
0,2020-06-05 00:00:00,41587.0
0,2020-06-06 00:00:00,42673.0
0,2020-06-07 00:00:00,43773.0
0,2020-06-08 00:00:00,44887.0
0,2020-06-09 00:00:00,46015.0
0,2020-06-10 00:00:00,47157.0
0,2020-06-11 00:00:00,48313.0
0,2020-06-12 00:00:00,49483.0
0,2020-06-13 00:00:00,50667.0
0,2020-06-14 00:00:00,51865.0
0,2020-06-15 00:00:00,53077.0
0,2020-06-16 00:00:00,54303.0
0,2020-06-17 00:00:00,55543.0
0,2020-06-18 00:00:00,56797.0
0,2020-06-19 00:00:00,58065.0
0,2020-06-20 00:00:00,59347.0
0,2020-06-21 00:00:00,60643.0
0,2020-06-22 00:00:00,61953.0
0,2020-06-23 00:00:00,63277.0
0,2020-06-24 00:00:00,64615.0
0,2020-06-25 00:00:00,65967.0
0,2020-06-26 00:00:00,67333.0
0,2020-06-27 00:00:00,68713.0
0,2020-06-28 00:00:00,70107.0
0,2020-06-29 00:00:00,71515.0
0,2020-06-30 00:00:00,72937.0
0,2020-07-01 00:00:00,74373.0
0,2020-07-02 00:00:00,75823.0
0,2020-07-03 00:00:00,77287.0
0,2020-07-04 00:00:00,78765.0
0,2020-07-05 00:00:00,80257.0
0,2020-07-06 00:00:00,81763.0
0,2020-07-07 00:00:00,83283.0
