,date,cases
0,2020-01-24,1.0
1,2020-01-25,1.0
2,2020-01-26,1.0
3,2020-01-27,1.0
4,2020-01-28,1.0
5,2020-01-29,1.0
6,2020-01-30,2.0
7,2020-01-31,2.0
8,2020-02-01,2.0
9,2020-02-02,2.0
10,2020-02-03,2.0
11,2020-02-04,2.0
12,2020-02-05,2.0
13,2020-02-06,2.0
14,2020-02-07,2.0
15,2020-02-08,2.0
16,2020-02-09,2.0
17,2020-02-10,2.0
18,2020-02-11,2.0
19,2020-02-12,2.0
20,2020-02-13,2.0
21,2020-02-14,2.0
22,2020-02-15,2.0
23,2020-02-16,2.0
24,2020-02-17,2.0
25,2020-02-18,2.0
26,2020-02-19,2.0
27,2020-02-20,2.0
28,2020-02-21,2.0
29,2020-02-22,2.0
30,2020-02-23,2.0
31,2020-02-24,2.0
32,2020-02-25,2.0
33,2020-02-26,2.0
34,2020-02-27,2.0
35,2020-02-28,2.0
36,2020-02-29,3.0
37,2020-03-01,3.0
38,2020-03-02,4.0
39,2020-03-03,4.0
40,2020-03-04,4.0
41,2020-03-05,5.0
42,2020-03-06,6.0
43,2020-03-07,6.0
44,2020-03-08,7.0
45,2020-03-09,11.0
46,2020-03-10,19.0
47,2020-03-11,25.0
48,2020-03-12,32.0
49,2020-03-13,46.0
50,2020-03-14,66.0
51,2020-03-15,94.0
52,2020-03-16,104.0
53,2020-03-17,159.0
54,2020-03-18,286.0
55,2020-03-19,420.0
56,2020-03-20,583.0
57,2020-03-21,751.0
0,2020-03-21 00:00:00,941.0
0,2020-03-22 00:00:00,1153.0
0,2020-03-23 00:00:00,1387.0
0,2020-03-24 00:00:00,1643.0
0,2020-03-25 00:00:00,1921.0
0,2020-03-26 00:00:00,2221.0
0,2020-03-27 00:00:00,2543.0
0,2020-03-28 00:00:00,2887.0
0,2020-03-29 00:00:00,3253.0
0,2020-03-30 00:00:00,3641.0
0,2020-03-31 00:00:00,4051.0
0,2020-04-01 00:00:00,4483.0
0,2020-04-02 00:00:00,4937.0
0,2020-04-03 00:00:00,5413.0
0,2020-04-04 00:00:00,5911.0
0,2020-04-05 00:00:00,6431.0
0,2020-04-06 00:00:00,6973.0
0,2020-04-07 00:00:00,7537.0
0,2020-04-08 00:00:00,8123.0
0,2020-04-09 00:00:00,8731.0
0,2020-04-10 00:00:00,9361.0
0,2020-04-11 00:00:00,10013.0
0,2020-04-12 00:00:00,10687.0
0,2020-04-13 00:00:00,11383.0
0,2020-04-14 00:00:00,12101.0
0,2020-04-15 00:00:00,12841.0
0,2020-04-16 00:00:00,13603.0
0,2020-04-17 00:00:00,14387.0
0,2020-04-18 00:00:00,15193.0
0,2020-04-19 00:00:00,16021.0
0,2020-04-20 00:00:00,16871.0
0,2020-04-21 00:00:00,17743.0
0,2020-04-22 00:00:00,18637.0
0,2020-04-23 00:00:00,19553.0
0,2020-04-24 00:00:00,20491.0
0,2020-04-25 00:00:00,21451.0
0,2020-04-26 00:00:00,22433.0
0,2020-04-27 00:00:00,23437.0
0,2020-04-28 00:00:00,24463.0
0,2020-04-29 00:00:00,25511.0
0,2020-04-30 00:00:00,26581.0
0,2020-05-01 00:00:00,27673.0
0,2020-05-02 00:00:00,28787.0
0,2020-05-03 00:00:00,29923.0
0,2020-05-04 00:00:00,31081.0
0,2020-05-05 00:00:00,32261.0
0,2020-05-06 00:00:00,33463.0
0,2020-05-07 00:00:00,34687.0
0,2020-05-08 00:00:00,35933.0
0,2020-05-09 00:00:00,37201.0
0,2020-05-10 00:00:00,38491.0
0,2020-05-11 00:00:00,39803.0
0,2020-05-12 00:00:00,41137.0
0,2020-05-13 00:00:00,42493.0
0,2020-05-14 00:00:00,43871.0
0,2020-05-15 00:00:00,45271.0
0,2020-05-16 00:00:00,46693.0
0,2020-05-17 00:00:00,48137.0
0,2020-05-18 00:00:00,49603.0
0,2020-05-19 00:00:00,51091.0
0,2020-05-20 00:00:00,52601.0
0,2020-05-21 00:00:00,54133.0
0,2020-05-22 00:00:00,55687.0
0,2020-05-23 00:00:00,57263.0
0,2020-05-24 00:00:00,58861.0
0,2020-05-25 00:00:00,60481.0
0,2020-05-26 00:00:00,62123.0
0,2020-05-27 00:00:00,63787.0
0,2020-05-28 00:00:00,65473.0
0,2020-05-29 00:00:00,67181.0
0,2020-05-30 00:00:00,68911.0
0,2020-05-31 00:00:00,70663.0
0,2020-06-01 00:00:00,72437.0
0,2020-06-02 00:00:00,74233.0
0,2020-06-03 00:00:00,76051.0
0,2020-06-04 00:00:00,77891.0
0,2020-06-05 00:00:00,79753.0
0,2020-06-06 00:00:00,81637.0
0,2020-06-07 00:00:00,83543.0
0,2020-06-08 00:00:00,85471.0
0,2020-06-09 00:00:00,87421.0
0,2020-06-10 00:00:00,89393.0
0,2020-06-11 00:00:00,91387.0
0,2020-06-12 00:00:00,93403.0
0,2020-06-13 00:00:00,95441.0
0,2020-06-14 00:00:00,97501.0
0,2020-06-15 00:00:00,99583.0
0,2020-06-16 00:00:00,101687.0
0,2020-06-17 00:00:00,103813.0
0,2020-06-18 00:00:00,105961.0
0,2020-06-19 00:00:00,108131.0
0,2020-06-20 00:00:00,110323.0
0,2020-06-21 00:00:00,112537.0
0,2020-06-22 00:00:00,114773.0
0,2020-06-23 00:00:00,117031.0
0,2020-06-24 00:00:00,119311.0
0,2020-06-25 00:00:00,121613.0
0,2020-06-26 00:00:00,123937.0
0,2020-06-27 00:00:00,126283.0
0,2020-06-28 00:00:00,128651.0
0,2020-06-29 00:00:00,131041.0
0,2020-06-30 00:00:00,133453.0
0,2020-07-01 00:00:00,135887.0
0,2020-07-02 00:00:00,138343.0
0,2020-07-03 00:00:00,140821.0
0,2020-07-04 00:00:00,143321.0
0,2020-07-05 00:00:00,145843.0
0,2020-07-06 00:00:00,148387.0
0,2020-07-07 00:00:00,150953.0
0,2020-07-08 00:00:00,153541.0
0,2020-07-09 00:00:00,156151.0
0,2020-07-10 00:00:00,158783.0
0,2020-07-11 00:00:00,161437.0
0,2020-07-12 00:00:00,164113.0
0,2020-07-13 00:00:00,166811.0
0,2020-07-14 00:00:00,169531.0
0,2020-07-15 00:00:00,172273.0
0,2020-07-16 00:00:00,175037.0
0,2020-07-17 00:00:00,177823.0
0,2020-07-18 00:00:00,180631.0
0,2020-07-19 00:00:00,183461.0
0,2020-07-20 00:00:00,186313.0
0,2020-07-21 00:00:00,189187.0
0,2020-07-22 00:00:00,192083.0
0,2020-07-23 00:00:00,195001.0
0,2020-07-24 00:00:00,197941.0
0,2020-07-25 00:00:00,200903.0
0,2020-07-26 00:00:00,203887.0
0,2020-07-27 00:00:00,206893.0
0,2020-07-28 00:00:00,209921.0
0,2020-07-29 00:00:00,212971.0
0,2020-07-30 00:00:00,216043.0
0,2020-07-31 00:00:00,219137.0
0,2020-08-01 00:00:00,222253.0
0,2020-08-02 00:00:00,225391.0
0,2020-08-03 00:00:00,228551.0
0,2020-08-04 00:00:00,231733.0
0,2020-08-05 00:00:00,234937.0
0,2020-08-06 00:00:00,238163.0
0,2020-08-07 00:00:00,241411.0
0,2020-08-08 00:00:00,244681.0
0,2020-08-09 00:00:00,247973.0
0,2020-08-10 00:00:00,251287.0
0,2020-08-11 00:00:00,254623.0
0,2020-08-12 00:00:00,257981.0
