,date,cases
0,2020-03-06,1.0
1,2020-03-07,1.0
2,2020-03-08,2.0
3,2020-03-09,4.0
4,2020-03-10,6.0
5,2020-03-11,11.0
6,2020-03-12,12.0
7,2020-03-13,12.0
8,2020-03-14,15.0
9,2020-03-15,19.0
10,2020-03-16,24.0
11,2020-03-17,30.0
12,2020-03-18,39.0
13,2020-03-19,56.0
14,2020-03-20,81.0
15,2020-03-21,128.0
16,2020-03-22,204.0
17,2020-03-23,264.0
18,2020-03-24,371.0
0,2020-03-24 00:00:00,497.0
0,2020-03-25 00:00:00,642.0
0,2020-03-26 00:00:00,806.0
0,2020-03-27 00:00:00,989.0
0,2020-03-28 00:00:00,1191.0
0,2020-03-29 00:00:00,1412.0
0,2020-03-30 00:00:00,1652.0
0,2020-03-31 00:00:00,1911.0
0,2020-04-01 00:00:00,2189.0
0,2020-04-02 00:00:00,2486.0
0,2020-04-03 00:00:00,2802.0
0,2020-04-04 00:00:00,3137.0
0,2020-04-05 00:00:00,3491.0
0,2020-04-06 00:00:00,3864.0
0,2020-04-07 00:00:00,4256.0
0,2020-04-08 00:00:00,4667.0
0,2020-04-09 00:00:00,5097.0
0,2020-04-10 00:00:00,5546.0
0,2020-04-11 00:00:00,6014.0
0,2020-04-12 00:00:00,6501.0
0,2020-04-13 00:00:00,7007.0
0,2020-04-14 00:00:00,7532.0
0,2020-04-15 00:00:00,8076.0
0,2020-04-16 00:00:00,8639.0
0,2020-04-17 00:00:00,9221.0
0,2020-04-18 00:00:00,9822.0
0,2020-04-19 00:00:00,10442.0
0,2020-04-20 00:00:00,11081.0
0,2020-04-21 00:00:00,11739.0
0,2020-04-22 00:00:00,12416.0
0,2020-04-23 00:00:00,13112.0
0,2020-04-24 00:00:00,13827.0
0,2020-04-25 00:00:00,14561.0
0,2020-04-26 00:00:00,15314.0
0,2020-04-27 00:00:00,16086.0
0,2020-04-28 00:00:00,16877.0
0,2020-04-29 00:00:00,17687.0
0,2020-04-30 00:00:00,18516.0
0,2020-05-01 00:00:00,19364.0
0,2020-05-02 00:00:00,20231.0
0,2020-05-03 00:00:00,21117.0
0,2020-05-04 00:00:00,22022.0
0,2020-05-05 00:00:00,22946.0
0,2020-05-06 00:00:00,23889.0
0,2020-05-07 00:00:00,24851.0
0,2020-05-08 00:00:00,25832.0
0,2020-05-09 00:00:00,26832.0
0,2020-05-10 00:00:00,27851.0
0,2020-05-11 00:00:00,28889.0
0,2020-05-12 00:00:00,29946.0
0,2020-05-13 00:00:00,31022.0
0,2020-05-14 00:00:00,32117.0
0,2020-05-15 00:00:00,33231.0
0,2020-05-16 00:00:00,34364.0
0,2020-05-17 00:00:00,35516.0
0,2020-05-18 00:00:00,36687.0
0,2020-05-19 00:00:00,37877.0
0,2020-05-20 00:00:00,39086.0
0,2020-05-21 00:00:00,40314.0
0,2020-05-22 00:00:00,41561.0
0,2020-05-23 00:00:00,42827.0
0,2020-05-24 00:00:00,44112.0
0,2020-05-25 00:00:00,45416.0
0,2020-05-26 00:00:00,46739.0
0,2020-05-27 00:00:00,48081.0
0,2020-05-28 00:00:00,49442.0
0,2020-05-29 00:00:00,50822.0
0,2020-05-30 00:00:00,52221.0
0,2020-05-31 00:00:00,53639.0
0,2020-06-01 00:00:00,55076.0
0,2020-06-02 00:00:00,56532.0
0,2020-06-03 00:00:00,58007.0
0,2020-06-04 00:00:00,59501.0
0,2020-06-05 00:00:00,61014.0
0,2020-06-06 00:00:00,62546.0
0,2020-06-07 00:00:00,64097.0
0,2020-06-08 00:00:00,65667.0
0,2020-06-09 00:00:00,67256.0
0,2020-06-10 00:00:00,68864.0
0,2020-06-11 00:00:00,70491.0
0,2020-06-12 00:00:00,72137.0
0,2020-06-13 00:00:00,73802.0
0,2020-06-14 00:00:00,75486.0
0,2020-06-15 00:00:00,77189.0
0,2020-06-16 00:00:00,78911.0
0,2020-06-17 00:00:00,80652.0
0,2020-06-18 00:00:00,82412.0
0,2020-06-19 00:00:00,84191.0
0,2020-06-20 00:00:00,85989.0
0,2020-06-21 00:00:00,87806.0
0,2020-06-22 00:00:00,89642.0
0,2020-06-23 00:00:00,91497.0
0,2020-06-24 00:00:00,93371.0
0,2020-06-25 00:00:00,95264.0
0,2020-06-26 00:00:00,97176.0
0,2020-06-27 00:00:00,99107.0
0,2020-06-28 00:00:00,101057.0
0,2020-06-29 00:00:00,103026.0
0,2020-06-30 00:00:00,105014.0
0,2020-07-01 00:00:00,107021.0
0,2020-07-02 00:00:00,109047.0
0,2020-07-03 00:00:00,111092.0
0,2020-07-04 00:00:00,113156.0
0,2020-07-05 00:00:00,115239.0
0,2020-07-06 00:00:00,117341.0
0,2020-07-07 00:00:00,119462.0
0,2020-07-08 00:00:00,121602.0
0,2020-07-09 00:00:00,123761.0
0,2020-07-10 00:00:00,125939.0
0,2020-07-11 00:00:00,128136.0
0,2020-07-12 00:00:00,130352.0
0,2020-07-13 00:00:00,132587.0
0,2020-07-14 00:00:00,134841.0
0,2020-07-15 00:00:00,137114.0
0,2020-07-16 00:00:00,139406.0
0,2020-07-17 00:00:00,141717.0
0,2020-07-18 00:00:00,144047.0
0,2020-07-19 00:00:00,146396.0
0,2020-07-20 00:00:00,148764.0
0,2020-07-21 00:00:00,151151.0
0,2020-07-22 00:00:00,153557.0
0,2020-07-23 00:00:00,155982.0
0,2020-07-24 00:00:00,158426.0
0,2020-07-25 00:00:00,160889.0
0,2020-07-26 00:00:00,163371.0
0,2020-07-27 00:00:00,165872.0
0,2020-07-28 00:00:00,168392.0
0,2020-07-29 00:00:00,170931.0
0,2020-07-30 00:00:00,173489.0
0,2020-07-31 00:00:00,176066.0
0,2020-08-01 00:00:00,178662.0
0,2020-08-02 00:00:00,181277.0
0,2020-08-03 00:00:00,183911.0
0,2020-08-04 00:00:00,186564.0
0,2020-08-05 00:00:00,189236.0
0,2020-08-06 00:00:00,191927.0
0,2020-08-07 00:00:00,194637.0
0,2020-08-08 00:00:00,197366.0
0,2020-08-09 00:00:00,200114.0
0,2020-08-10 00:00:00,202881.0
0,2020-08-11 00:00:00,205667.0
0,2020-08-12 00:00:00,208472.0
