,date,cases
0,2020-03-07,1.0
1,2020-03-08,1.0
2,2020-03-09,1.0
3,2020-03-10,1.0
4,2020-03-11,1.0
5,2020-03-12,5.0
6,2020-03-13,6.0
7,2020-03-14,8.0
8,2020-03-15,9.0
9,2020-03-16,11.0
10,2020-03-17,17.0
11,2020-03-18,22.0
12,2020-03-19,35.0
13,2020-03-20,49.0
14,2020-03-21,57.0
15,2020-03-22,66.0
16,2020-03-23,82.0
17,2020-03-24,102.0
18,2020-03-25,134.0
19,2020-03-26,173.0
20,2020-03-27,213.0
21,2020-03-28,272.0
22,2020-03-29,333.0
23,2020-03-30,374.0
0,2020-03-30 00:00:00,417.0
0,2020-03-31 00:00:00,462.0
0,2020-04-01 00:00:00,509.0
0,2020-04-02 00:00:00,558.0
0,2020-04-03 00:00:00,609.0
0,2020-04-04 00:00:00,662.0
0,2020-04-05 00:00:00,717.0
0,2020-04-06 00:00:00,774.0
0,2020-04-07 00:00:00,833.0
0,2020-04-08 00:00:00,894.0
0,2020-04-09 00:00:00,957.0
0,2020-04-10 00:00:00,1022.0
0,2020-04-11 00:00:00,1089.0
0,2020-04-12 00:00:00,1158.0
0,2020-04-13 00:00:00,1229.0
0,2020-04-14 00:00:00,1302.0
0,2020-04-15 00:00:00,1377.0
0,2020-04-16 00:00:00,1454.0
0,2020-04-17 00:00:00,1533.0
0,2020-04-18 00:00:00,1614.0
0,2020-04-19 00:00:00,1697.0
0,2020-04-20 00:00:00,1782.0
0,2020-04-21 00:00:00,1869.0
0,2020-04-22 00:00:00,1958.0
0,2020-04-23 00:00:00,2049.0
0,2020-04-24 00:00:00,2142.0
0,2020-04-25 00:00:00,2237.0
0,2020-04-26 00:00:00,2334.0
0,2020-04-27 00:00:00,2433.0
0,2020-04-28 00:00:00,2534.0
0,2020-04-29 00:00:00,2637.0
0,2020-04-30 00:00:00,2742.0
0,2020-05-01 00:00:00,2849.0
0,2020-05-02 00:00:00,2958.0
0,2020-05-03 00:00:00,3069.0
0,2020-05-04 00:00:00,3182.0
0,2020-05-05 00:00:00,3297.0
0,2020-05-06 00:00:00,3414.0
0,2020-05-07 00:00:00,3533.0
0,2020-05-08 00:00:00,3654.0
0,2020-05-09 00:00:00,3777.0
0,2020-05-10 00:00:00,3902.0
0,2020-05-11 00:00:00,4029.0
0,2020-05-12 00:00:00,4158.0
0,2020-05-13 00:00:00,4289.0
0,2020-05-14 00:00:00,4422.0
0,2020-05-15 00:00:00,4557.0
0,2020-05-16 00:00:00,4694.0
0,2020-05-17 00:00:00,4833.0
0,2020-05-18 00:00:00,4974.0
0,2020-05-19 00:00:00,5117.0
0,2020-05-20 00:00:00,5262.0
0,2020-05-21 00:00:00,5409.0
0,2020-05-22 00:00:00,5558.0
