,date,cases
0,2020-03-06,1.0
1,2020-03-07,1.0
2,2020-03-08,4.0
3,2020-03-09,5.0
4,2020-03-10,7.0
5,2020-03-11,7.0
6,2020-03-12,11.0
7,2020-03-13,11.0
8,2020-03-14,18.0
9,2020-03-15,21.0
10,2020-03-16,22.0
11,2020-03-17,26.0
12,2020-03-18,35.0
13,2020-03-19,47.0
14,2020-03-20,63.0
15,2020-03-21,84.0
16,2020-03-22,103.0
17,2020-03-23,124.0
18,2020-03-24,157.0
19,2020-03-25,198.0
20,2020-03-26,248.0
0,2020-03-26 00:00:00,304.0
0,2020-03-27 00:00:00,366.0
0,2020-03-28 00:00:00,434.0
0,2020-03-29 00:00:00,508.0
0,2020-03-30 00:00:00,588.0
0,2020-03-31 00:00:00,674.0
0,2020-04-01 00:00:00,766.0
0,2020-04-02 00:00:00,864.0
0,2020-04-03 00:00:00,968.0
0,2020-04-04 00:00:00,1078.0
0,2020-04-05 00:00:00,1194.0
0,2020-04-06 00:00:00,1316.0
0,2020-04-07 00:00:00,1444.0
0,2020-04-08 00:00:00,1578.0
0,2020-04-09 00:00:00,1718.0
0,2020-04-10 00:00:00,1864.0
0,2020-04-11 00:00:00,2016.0
0,2020-04-12 00:00:00,2174.0
0,2020-04-13 00:00:00,2338.0
0,2020-04-14 00:00:00,2508.0
0,2020-04-15 00:00:00,2684.0
0,2020-04-16 00:00:00,2866.0
0,2020-04-17 00:00:00,3054.0
0,2020-04-18 00:00:00,3248.0
0,2020-04-19 00:00:00,3448.0
0,2020-04-20 00:00:00,3654.0
0,2020-04-21 00:00:00,3866.0
0,2020-04-22 00:00:00,4084.0
0,2020-04-23 00:00:00,4308.0
0,2020-04-24 00:00:00,4538.0
0,2020-04-25 00:00:00,4774.0
0,2020-04-26 00:00:00,5016.0
0,2020-04-27 00:00:00,5264.0
0,2020-04-28 00:00:00,5518.0
0,2020-04-29 00:00:00,5778.0
0,2020-04-30 00:00:00,6044.0
0,2020-05-01 00:00:00,6316.0
0,2020-05-02 00:00:00,6594.0
0,2020-05-03 00:00:00,6878.0
0,2020-05-04 00:00:00,7168.0
0,2020-05-05 00:00:00,7464.0
0,2020-05-06 00:00:00,7766.0
0,2020-05-07 00:00:00,8074.0
0,2020-05-08 00:00:00,8388.0
0,2020-05-09 00:00:00,8708.0
0,2020-05-10 00:00:00,9034.0
0,2020-05-11 00:00:00,9366.0
0,2020-05-12 00:00:00,9704.0
0,2020-05-13 00:00:00,10048.0
0,2020-05-14 00:00:00,10398.0
0,2020-05-15 00:00:00,10754.0
0,2020-05-16 00:00:00,11116.0
0,2020-05-17 00:00:00,11484.0
0,2020-05-18 00:00:00,11858.0
0,2020-05-19 00:00:00,12238.0
0,2020-05-20 00:00:00,12624.0
0,2020-05-21 00:00:00,13016.0
0,2020-05-22 00:00:00,13414.0
0,2020-05-23 00:00:00,13818.0
0,2020-05-24 00:00:00,14228.0
0,2020-05-25 00:00:00,14644.0
0,2020-05-26 00:00:00,15066.0
0,2020-05-27 00:00:00,15494.0
0,2020-05-28 00:00:00,15928.0
0,2020-05-29 00:00:00,16368.0
0,2020-05-30 00:00:00,16814.0
0,2020-05-31 00:00:00,17266.0
0,2020-06-01 00:00:00,17724.0
0,2020-06-02 00:00:00,18188.0
0,2020-06-03 00:00:00,18658.0
0,2020-06-04 00:00:00,19134.0
0,2020-06-05 00:00:00,19616.0
0,2020-06-06 00:00:00,20104.0
0,2020-06-07 00:00:00,20598.0
0,2020-06-08 00:00:00,21098.0
0,2020-06-09 00:00:00,21604.0
0,2020-06-10 00:00:00,22116.0
0,2020-06-11 00:00:00,22634.0
0,2020-06-12 00:00:00,23158.0
0,2020-06-13 00:00:00,23688.0
0,2020-06-14 00:00:00,24224.0
0,2020-06-15 00:00:00,24766.0
0,2020-06-16 00:00:00,25314.0
0,2020-06-17 00:00:00,25868.0
0,2020-06-18 00:00:00,26428.0
0,2020-06-19 00:00:00,26994.0
0,2020-06-20 00:00:00,27566.0
0,2020-06-21 00:00:00,28144.0
0,2020-06-22 00:00:00,28728.0
0,2020-06-23 00:00:00,29318.0
0,2020-06-24 00:00:00,29914.0
0,2020-06-25 00:00:00,30516.0
0,2020-06-26 00:00:00,31124.0
0,2020-06-27 00:00:00,31738.0
0,2020-06-28 00:00:00,32358.0
0,2020-06-29 00:00:00,32984.0
0,2020-06-30 00:00:00,33616.0
0,2020-07-01 00:00:00,34254.0
0,2020-07-02 00:00:00,34898.0
0,2020-07-03 00:00:00,35548.0
0,2020-07-04 00:00:00,36204.0
0,2020-07-05 00:00:00,36866.0
0,2020-07-06 00:00:00,37534.0
0,2020-07-07 00:00:00,38208.0
0,2020-07-08 00:00:00,38888.0
0,2020-07-09 00:00:00,39574.0
0,2020-07-10 00:00:00,40266.0
0,2020-07-11 00:00:00,40964.0
0,2020-07-12 00:00:00,41668.0
0,2020-07-13 00:00:00,42378.0
0,2020-07-14 00:00:00,43094.0
0,2020-07-15 00:00:00,43816.0
0,2020-07-16 00:00:00,44544.0
0,2020-07-17 00:00:00,45278.0
0,2020-07-18 00:00:00,46018.0
0,2020-07-19 00:00:00,46764.0
0,2020-07-20 00:00:00,47516.0
0,2020-07-21 00:00:00,48274.0
0,2020-07-22 00:00:00,49038.0
0,2020-07-23 00:00:00,49808.0
0,2020-07-24 00:00:00,50584.0
0,2020-07-25 00:00:00,51366.0
0,2020-07-26 00:00:00,52154.0
0,2020-07-27 00:00:00,52948.0
0,2020-07-28 00:00:00,53748.0
0,2020-07-29 00:00:00,54554.0
0,2020-07-30 00:00:00,55366.0
0,2020-07-31 00:00:00,56184.0
0,2020-08-01 00:00:00,57008.0
0,2020-08-02 00:00:00,57838.0
0,2020-08-03 00:00:00,58674.0
0,2020-08-04 00:00:00,59516.0
0,2020-08-05 00:00:00,60364.0
0,2020-08-06 00:00:00,61218.0
0,2020-08-07 00:00:00,62078.0
0,2020-08-08 00:00:00,62944.0
0,2020-08-09 00:00:00,63816.0
0,2020-08-10 00:00:00,64694.0
0,2020-08-11 00:00:00,65578.0
0,2020-08-12 00:00:00,66468.0
