,date,cases
0,2020-03-09,1.0
1,2020-03-10,6.0
2,2020-03-11,13.0
3,2020-03-12,14.0
4,2020-03-13,36.0
5,2020-03-14,77.0
6,2020-03-15,103.0
7,2020-03-16,137.0
8,2020-03-17,196.0
9,2020-03-18,280.0
10,2020-03-19,392.0
11,2020-03-20,537.0
12,2020-03-21,763.0
13,2020-03-22,837.0
14,2020-03-23,1172.0
0,2020-03-23 00:00:00,1567.0
0,2020-03-24 00:00:00,2022.0
0,2020-03-25 00:00:00,2537.0
0,2020-03-26 00:00:00,3113.0
0,2020-03-27 00:00:00,3750.0
0,2020-03-28 00:00:00,4448.0
0,2020-03-29 00:00:00,5207.0
0,2020-03-30 00:00:00,6027.0
0,2020-03-31 00:00:00,6908.0
0,2020-04-01 00:00:00,7850.0
0,2020-04-02 00:00:00,8853.0
0,2020-04-03 00:00:00,9918.0
0,2020-04-04 00:00:00,11045.0
0,2020-04-05 00:00:00,12234.0
0,2020-04-06 00:00:00,13485.0
0,2020-04-07 00:00:00,14798.0
0,2020-04-08 00:00:00,16173.0
0,2020-04-09 00:00:00,17610.0
0,2020-04-10 00:00:00,19109.0
0,2020-04-11 00:00:00,20670.0
0,2020-04-12 00:00:00,22293.0
0,2020-04-13 00:00:00,23978.0
0,2020-04-14 00:00:00,25725.0
0,2020-04-15 00:00:00,27534.0
0,2020-04-16 00:00:00,29405.0
0,2020-04-17 00:00:00,31338.0
0,2020-04-18 00:00:00,33333.0
0,2020-04-19 00:00:00,35390.0
0,2020-04-20 00:00:00,37509.0
0,2020-04-21 00:00:00,39690.0
0,2020-04-22 00:00:00,41933.0
0,2020-04-23 00:00:00,44238.0
0,2020-04-24 00:00:00,46605.0
0,2020-04-25 00:00:00,49034.0
0,2020-04-26 00:00:00,51525.0
0,2020-04-27 00:00:00,54078.0
0,2020-04-28 00:00:00,56693.0
0,2020-04-29 00:00:00,59370.0
0,2020-04-30 00:00:00,62109.0
0,2020-05-01 00:00:00,64910.0
0,2020-05-02 00:00:00,67773.0
0,2020-05-03 00:00:00,70698.0
0,2020-05-04 00:00:00,73685.0
0,2020-05-05 00:00:00,76734.0
0,2020-05-06 00:00:00,79845.0
0,2020-05-07 00:00:00,83018.0
0,2020-05-08 00:00:00,86253.0
0,2020-05-09 00:00:00,89550.0
0,2020-05-10 00:00:00,92909.0
0,2020-05-11 00:00:00,96330.0
0,2020-05-12 00:00:00,99813.0
0,2020-05-13 00:00:00,103358.0
0,2020-05-14 00:00:00,106965.0
0,2020-05-15 00:00:00,110634.0
0,2020-05-16 00:00:00,114365.0
0,2020-05-17 00:00:00,118158.0
0,2020-05-18 00:00:00,122013.0
0,2020-05-19 00:00:00,125930.0
0,2020-05-20 00:00:00,129909.0
0,2020-05-21 00:00:00,133950.0
0,2020-05-22 00:00:00,138053.0
0,2020-05-23 00:00:00,142218.0
0,2020-05-24 00:00:00,146445.0
0,2020-05-25 00:00:00,150734.0
0,2020-05-26 00:00:00,155085.0
0,2020-05-27 00:00:00,159498.0
0,2020-05-28 00:00:00,163973.0
0,2020-05-29 00:00:00,168510.0
0,2020-05-30 00:00:00,173109.0
0,2020-05-31 00:00:00,177770.0
0,2020-06-01 00:00:00,182493.0
0,2020-06-02 00:00:00,187278.0
0,2020-06-03 00:00:00,192125.0
0,2020-06-04 00:00:00,197034.0
0,2020-06-05 00:00:00,202005.0
0,2020-06-06 00:00:00,207038.0
0,2020-06-07 00:00:00,212133.0
0,2020-06-08 00:00:00,217290.0
0,2020-06-09 00:00:00,222509.0
0,2020-06-10 00:00:00,227790.0
0,2020-06-11 00:00:00,233133.0
0,2020-06-12 00:00:00,238538.0
0,2020-06-13 00:00:00,244005.0
0,2020-06-14 00:00:00,249534.0
0,2020-06-15 00:00:00,255125.0
0,2020-06-16 00:00:00,260778.0
0,2020-06-17 00:00:00,266493.0
