,date,cases
0,2020-03-12,1.0
1,2020-03-13,2.0
2,2020-03-14,3.0
3,2020-03-15,12.0
4,2020-03-16,17.0
5,2020-03-17,32.0
6,2020-03-18,43.0
7,2020-03-19,52.0
8,2020-03-20,57.0
9,2020-03-21,70.0
10,2020-03-22,89.0
11,2020-03-23,107.0
12,2020-03-24,118.0
13,2020-03-25,142.0
14,2020-03-26,155.0
15,2020-03-27,168.0
16,2020-03-28,211.0
17,2020-03-29,253.0
18,2020-03-30,275.0
19,2020-03-31,303.0
20,2020-04-01,344.0
21,2020-04-02,376.0
0,2020-04-02 00:00:00,409.0
0,2020-04-03 00:00:00,443.0
0,2020-04-04 00:00:00,478.0
0,2020-04-05 00:00:00,514.0
0,2020-04-06 00:00:00,551.0
0,2020-04-07 00:00:00,589.0
0,2020-04-08 00:00:00,628.0
0,2020-04-09 00:00:00,668.0
0,2020-04-10 00:00:00,709.0
0,2020-04-11 00:00:00,751.0
0,2020-04-12 00:00:00,794.0
0,2020-04-13 00:00:00,838.0
0,2020-04-14 00:00:00,883.0
0,2020-04-15 00:00:00,929.0
0,2020-04-16 00:00:00,976.0
0,2020-04-17 00:00:00,1024.0
0,2020-04-18 00:00:00,1073.0
0,2020-04-19 00:00:00,1123.0
0,2020-04-20 00:00:00,1174.0
0,2020-04-21 00:00:00,1226.0
0,2020-04-22 00:00:00,1279.0
0,2020-04-23 00:00:00,1333.0
0,2020-04-24 00:00:00,1388.0
0,2020-04-25 00:00:00,1444.0
0,2020-04-26 00:00:00,1501.0
0,2020-04-27 00:00:00,1559.0
0,2020-04-28 00:00:00,1618.0
0,2020-04-29 00:00:00,1678.0
0,2020-04-30 00:00:00,1739.0
0,2020-05-01 00:00:00,1801.0
0,2020-05-02 00:00:00,1864.0
0,2020-05-03 00:00:00,1928.0
0,2020-05-04 00:00:00,1993.0
0,2020-05-05 00:00:00,2059.0
0,2020-05-06 00:00:00,2126.0
0,2020-05-07 00:00:00,2194.0
0,2020-05-08 00:00:00,2263.0
0,2020-05-09 00:00:00,2333.0
0,2020-05-10 00:00:00,2404.0
0,2020-05-11 00:00:00,2476.0
0,2020-05-12 00:00:00,2549.0
0,2020-05-13 00:00:00,2623.0
0,2020-05-14 00:00:00,2698.0
0,2020-05-15 00:00:00,2774.0
