,date,cases
0,2020-03-05,3.0
1,2020-03-06,3.0
2,2020-03-07,3.0
3,2020-03-08,5.0
4,2020-03-09,6.0
5,2020-03-10,9.0
6,2020-03-11,13.0
7,2020-03-12,13.0
8,2020-03-13,18.0
9,2020-03-14,27.0
10,2020-03-15,32.0
11,2020-03-16,39.0
12,2020-03-17,57.0
13,2020-03-18,85.0
14,2020-03-19,108.0
15,2020-03-20,150.0
16,2020-03-21,195.0
17,2020-03-22,245.0
18,2020-03-23,290.0
19,2020-03-24,349.0
20,2020-03-25,423.0
21,2020-03-26,581.0
22,2020-03-27,790.0
23,2020-03-28,1066.0
24,2020-03-29,1244.0
25,2020-03-30,1415.0
0,2020-03-30 00:00:00,1597.0
0,2020-03-31 00:00:00,1790.0
0,2020-04-01 00:00:00,1994.0
0,2020-04-02 00:00:00,2209.0
0,2020-04-03 00:00:00,2435.0
0,2020-04-04 00:00:00,2672.0
0,2020-04-05 00:00:00,2920.0
0,2020-04-06 00:00:00,3179.0
0,2020-04-07 00:00:00,3449.0
0,2020-04-08 00:00:00,3730.0
0,2020-04-09 00:00:00,4022.0
0,2020-04-10 00:00:00,4325.0
0,2020-04-11 00:00:00,4639.0
0,2020-04-12 00:00:00,4964.0
0,2020-04-13 00:00:00,5300.0
0,2020-04-14 00:00:00,5647.0
0,2020-04-15 00:00:00,6005.0
0,2020-04-16 00:00:00,6374.0
0,2020-04-17 00:00:00,6754.0
0,2020-04-18 00:00:00,7145.0
0,2020-04-19 00:00:00,7547.0
0,2020-04-20 00:00:00,7960.0
0,2020-04-21 00:00:00,8384.0
0,2020-04-22 00:00:00,8819.0
0,2020-04-23 00:00:00,9265.0
0,2020-04-24 00:00:00,9722.0
0,2020-04-25 00:00:00,10190.0
0,2020-04-26 00:00:00,10669.0
0,2020-04-27 00:00:00,11159.0
0,2020-04-28 00:00:00,11660.0
0,2020-04-29 00:00:00,12172.0
0,2020-04-30 00:00:00,12695.0
0,2020-05-01 00:00:00,13229.0
0,2020-05-02 00:00:00,13774.0
0,2020-05-03 00:00:00,14330.0
0,2020-05-04 00:00:00,14897.0
0,2020-05-05 00:00:00,15475.0
0,2020-05-06 00:00:00,16064.0
0,2020-05-07 00:00:00,16664.0
0,2020-05-08 00:00:00,17275.0
0,2020-05-09 00:00:00,17897.0
0,2020-05-10 00:00:00,18530.0
0,2020-05-11 00:00:00,19174.0
0,2020-05-12 00:00:00,19829.0
0,2020-05-13 00:00:00,20495.0
0,2020-05-14 00:00:00,21172.0
0,2020-05-15 00:00:00,21860.0
0,2020-05-16 00:00:00,22559.0
0,2020-05-17 00:00:00,23269.0
0,2020-05-18 00:00:00,23990.0
0,2020-05-19 00:00:00,24722.0
0,2020-05-20 00:00:00,25465.0
0,2020-05-21 00:00:00,26219.0
0,2020-05-22 00:00:00,26984.0
0,2020-05-23 00:00:00,27760.0
0,2020-05-24 00:00:00,28547.0
0,2020-05-25 00:00:00,29345.0
0,2020-05-26 00:00:00,30154.0
0,2020-05-27 00:00:00,30974.0
0,2020-05-28 00:00:00,31805.0
0,2020-05-29 00:00:00,32647.0
0,2020-05-30 00:00:00,33500.0
0,2020-05-31 00:00:00,34364.0
0,2020-06-01 00:00:00,35239.0
0,2020-06-02 00:00:00,36125.0
0,2020-06-03 00:00:00,37022.0
0,2020-06-04 00:00:00,37930.0
0,2020-06-05 00:00:00,38849.0
0,2020-06-06 00:00:00,39779.0
0,2020-06-07 00:00:00,40720.0
0,2020-06-08 00:00:00,41672.0
0,2020-06-09 00:00:00,42635.0
0,2020-06-10 00:00:00,43609.0
0,2020-06-11 00:00:00,44594.0
0,2020-06-12 00:00:00,45590.0
0,2020-06-13 00:00:00,46597.0
0,2020-06-14 00:00:00,47615.0
0,2020-06-15 00:00:00,48644.0
0,2020-06-16 00:00:00,49684.0
0,2020-06-17 00:00:00,50735.0
0,2020-06-18 00:00:00,51797.0
0,2020-06-19 00:00:00,52870.0
0,2020-06-20 00:00:00,53954.0
0,2020-06-21 00:00:00,55049.0
0,2020-06-22 00:00:00,56155.0
0,2020-06-23 00:00:00,57272.0
0,2020-06-24 00:00:00,58400.0
0,2020-06-25 00:00:00,59539.0
0,2020-06-26 00:00:00,60689.0
0,2020-06-27 00:00:00,61850.0
0,2020-06-28 00:00:00,63022.0
0,2020-06-29 00:00:00,64205.0
0,2020-06-30 00:00:00,65399.0
0,2020-07-01 00:00:00,66604.0
0,2020-07-02 00:00:00,67820.0
0,2020-07-03 00:00:00,69047.0
0,2020-07-04 00:00:00,70285.0
0,2020-07-05 00:00:00,71534.0
0,2020-07-06 00:00:00,72794.0
0,2020-07-07 00:00:00,74065.0
0,2020-07-08 00:00:00,75347.0
0,2020-07-09 00:00:00,76640.0
0,2020-07-10 00:00:00,77944.0
0,2020-07-11 00:00:00,79259.0
0,2020-07-12 00:00:00,80585.0
0,2020-07-13 00:00:00,81922.0
0,2020-07-14 00:00:00,83270.0
0,2020-07-15 00:00:00,84629.0
0,2020-07-16 00:00:00,85999.0
0,2020-07-17 00:00:00,87380.0
0,2020-07-18 00:00:00,88772.0
0,2020-07-19 00:00:00,90175.0
0,2020-07-20 00:00:00,91589.0
0,2020-07-21 00:00:00,93014.0
0,2020-07-22 00:00:00,94450.0
0,2020-07-23 00:00:00,95897.0
0,2020-07-24 00:00:00,97355.0
0,2020-07-25 00:00:00,98824.0
0,2020-07-26 00:00:00,100304.0
0,2020-07-27 00:00:00,101795.0
0,2020-07-28 00:00:00,103297.0
0,2020-07-29 00:00:00,104810.0
0,2020-07-30 00:00:00,106334.0
0,2020-07-31 00:00:00,107869.0
0,2020-08-01 00:00:00,109415.0
0,2020-08-02 00:00:00,110972.0
0,2020-08-03 00:00:00,112540.0
0,2020-08-04 00:00:00,114119.0
0,2020-08-05 00:00:00,115709.0
0,2020-08-06 00:00:00,117310.0
0,2020-08-07 00:00:00,118922.0
0,2020-08-08 00:00:00,120545.0
0,2020-08-09 00:00:00,122179.0
0,2020-08-10 00:00:00,123824.0
0,2020-08-11 00:00:00,125480.0
0,2020-08-12 00:00:00,127147.0
