,date,cases
0,2020-02-01,1.0
1,2020-02-02,1.0
2,2020-02-03,1.0
3,2020-02-04,1.0
4,2020-02-05,1.0
5,2020-02-06,1.0
6,2020-02-07,1.0
7,2020-02-08,1.0
8,2020-02-09,1.0
9,2020-02-10,1.0
10,2020-02-11,1.0
11,2020-02-12,1.0
12,2020-02-13,1.0
13,2020-02-14,1.0
14,2020-02-15,1.0
15,2020-02-16,1.0
16,2020-02-17,1.0
17,2020-02-18,1.0
18,2020-02-19,1.0
19,2020-02-20,1.0
20,2020-02-21,1.0
21,2020-02-22,1.0
22,2020-02-23,1.0
23,2020-02-24,1.0
24,2020-02-25,1.0
25,2020-02-26,1.0
26,2020-02-27,1.0
27,2020-02-28,1.0
28,2020-02-29,1.0
29,2020-03-01,1.0
30,2020-03-02,2.0
31,2020-03-03,2.0
32,2020-03-04,2.0
33,2020-03-05,3.0
34,2020-03-06,8.0
35,2020-03-07,13.0
36,2020-03-08,28.0
37,2020-03-09,41.0
38,2020-03-10,92.0
39,2020-03-11,95.0
40,2020-03-12,108.0
41,2020-03-13,123.0
42,2020-03-14,138.0
43,2020-03-15,164.0
44,2020-03-16,197.0
45,2020-03-17,218.0
46,2020-03-18,256.0
47,2020-03-19,328.0
48,2020-03-20,413.0
49,2020-03-21,525.0
50,2020-03-22,646.0
51,2020-03-23,777.0
52,2020-03-24,1159.0
0,2020-03-24 00:00:00,1622.0
0,2020-03-25 00:00:00,2167.0
0,2020-03-26 00:00:00,2795.0
0,2020-03-27 00:00:00,3506.0
0,2020-03-28 00:00:00,4301.0
0,2020-03-29 00:00:00,5180.0
0,2020-03-30 00:00:00,6143.0
0,2020-03-31 00:00:00,7190.0
0,2020-04-01 00:00:00,8322.0
0,2020-04-02 00:00:00,9539.0
0,2020-04-03 00:00:00,10841.0
0,2020-04-04 00:00:00,12228.0
0,2020-04-05 00:00:00,13700.0
0,2020-04-06 00:00:00,15257.0
0,2020-04-07 00:00:00,16899.0
0,2020-04-08 00:00:00,18626.0
0,2020-04-09 00:00:00,20438.0
0,2020-04-10 00:00:00,22335.0
0,2020-04-11 00:00:00,24317.0
0,2020-04-12 00:00:00,26384.0
0,2020-04-13 00:00:00,28536.0
0,2020-04-14 00:00:00,30773.0
0,2020-04-15 00:00:00,33095.0
0,2020-04-16 00:00:00,35502.0
0,2020-04-17 00:00:00,37994.0
0,2020-04-18 00:00:00,40571.0
0,2020-04-19 00:00:00,43233.0
0,2020-04-20 00:00:00,45980.0
0,2020-04-21 00:00:00,48812.0
0,2020-04-22 00:00:00,51729.0
0,2020-04-23 00:00:00,54731.0
0,2020-04-24 00:00:00,57818.0
0,2020-04-25 00:00:00,60990.0
0,2020-04-26 00:00:00,64247.0
0,2020-04-27 00:00:00,67589.0
0,2020-04-28 00:00:00,71016.0
0,2020-04-29 00:00:00,74528.0
0,2020-04-30 00:00:00,78125.0
0,2020-05-01 00:00:00,81807.0
0,2020-05-02 00:00:00,85574.0
