,date,cases
0,2020-03-10,2.0
1,2020-03-11,2.0
2,2020-03-12,12.0
3,2020-03-13,25.0
4,2020-03-14,33.0
5,2020-03-15,53.0
6,2020-03-16,54.0
7,2020-03-17,65.0
8,2020-03-18,80.0
9,2020-03-19,334.0
10,2020-03-20,548.0
11,2020-03-21,787.0
12,2020-03-22,1033.0
13,2020-03-23,1324.0
14,2020-03-24,1791.0
0,2020-03-24 00:00:00,2332.0
0,2020-03-25 00:00:00,2948.0
0,2020-03-26 00:00:00,3639.0
0,2020-03-27 00:00:00,4405.0
0,2020-03-28 00:00:00,5246.0
0,2020-03-29 00:00:00,6163.0
0,2020-03-30 00:00:00,7156.0
0,2020-03-31 00:00:00,8225.0
0,2020-04-01 00:00:00,9370.0
0,2020-04-02 00:00:00,10591.0
0,2020-04-03 00:00:00,11888.0
0,2020-04-04 00:00:00,13261.0
0,2020-04-05 00:00:00,14710.0
0,2020-04-06 00:00:00,16235.0
0,2020-04-07 00:00:00,17836.0
0,2020-04-08 00:00:00,19513.0
0,2020-04-09 00:00:00,21266.0
0,2020-04-10 00:00:00,23095.0
0,2020-04-11 00:00:00,25000.0
0,2020-04-12 00:00:00,26981.0
0,2020-04-13 00:00:00,29038.0
0,2020-04-14 00:00:00,31171.0
0,2020-04-15 00:00:00,33380.0
0,2020-04-16 00:00:00,35665.0
0,2020-04-17 00:00:00,38026.0
0,2020-04-18 00:00:00,40463.0
0,2020-04-19 00:00:00,42976.0
0,2020-04-20 00:00:00,45565.0
0,2020-04-21 00:00:00,48230.0
0,2020-04-22 00:00:00,50971.0
0,2020-04-23 00:00:00,53788.0
0,2020-04-24 00:00:00,56681.0
0,2020-04-25 00:00:00,59650.0
0,2020-04-26 00:00:00,62695.0
0,2020-04-27 00:00:00,65816.0
0,2020-04-28 00:00:00,69013.0
0,2020-04-29 00:00:00,72286.0
0,2020-04-30 00:00:00,75635.0
0,2020-05-01 00:00:00,79060.0
0,2020-05-02 00:00:00,82561.0
0,2020-05-03 00:00:00,86138.0
0,2020-05-04 00:00:00,89791.0
0,2020-05-05 00:00:00,93520.0
0,2020-05-06 00:00:00,97325.0
0,2020-05-07 00:00:00,101206.0
0,2020-05-08 00:00:00,105163.0
0,2020-05-09 00:00:00,109196.0
0,2020-05-10 00:00:00,113305.0
0,2020-05-11 00:00:00,117490.0
0,2020-05-12 00:00:00,121751.0
0,2020-05-13 00:00:00,126088.0
0,2020-05-14 00:00:00,130501.0
0,2020-05-15 00:00:00,134990.0
0,2020-05-16 00:00:00,139555.0
0,2020-05-17 00:00:00,144196.0
0,2020-05-18 00:00:00,148913.0
0,2020-05-19 00:00:00,153706.0
0,2020-05-20 00:00:00,158575.0
0,2020-05-21 00:00:00,163520.0
0,2020-05-22 00:00:00,168541.0
0,2020-05-23 00:00:00,173638.0
0,2020-05-24 00:00:00,178811.0
0,2020-05-25 00:00:00,184060.0
0,2020-05-26 00:00:00,189385.0
0,2020-05-27 00:00:00,194786.0
0,2020-05-28 00:00:00,200263.0
0,2020-05-29 00:00:00,205816.0
0,2020-05-30 00:00:00,211445.0
0,2020-05-31 00:00:00,217150.0
0,2020-06-01 00:00:00,222931.0
0,2020-06-02 00:00:00,228788.0
0,2020-06-03 00:00:00,234721.0
0,2020-06-04 00:00:00,240730.0
0,2020-06-05 00:00:00,246815.0
0,2020-06-06 00:00:00,252976.0
0,2020-06-07 00:00:00,259213.0
0,2020-06-08 00:00:00,265526.0
0,2020-06-09 00:00:00,271915.0
0,2020-06-10 00:00:00,278380.0
0,2020-06-11 00:00:00,284921.0
0,2020-06-12 00:00:00,291538.0
0,2020-06-13 00:00:00,298231.0
0,2020-06-14 00:00:00,305000.0
0,2020-06-15 00:00:00,311845.0
0,2020-06-16 00:00:00,318766.0
0,2020-06-17 00:00:00,325763.0
0,2020-06-18 00:00:00,332836.0
0,2020-06-19 00:00:00,339985.0
0,2020-06-20 00:00:00,347210.0
0,2020-06-21 00:00:00,354511.0
0,2020-06-22 00:00:00,361888.0
0,2020-06-23 00:00:00,369341.0
0,2020-06-24 00:00:00,376870.0
0,2020-06-25 00:00:00,384475.0
0,2020-06-26 00:00:00,392156.0
0,2020-06-27 00:00:00,399913.0
0,2020-06-28 00:00:00,407746.0
0,2020-06-29 00:00:00,415655.0
0,2020-06-30 00:00:00,423640.0
0,2020-07-01 00:00:00,431701.0
0,2020-07-02 00:00:00,439838.0
0,2020-07-03 00:00:00,448051.0
0,2020-07-04 00:00:00,456340.0
0,2020-07-05 00:00:00,464705.0
0,2020-07-06 00:00:00,473146.0
0,2020-07-07 00:00:00,481663.0
0,2020-07-08 00:00:00,490256.0
0,2020-07-09 00:00:00,498925.0
0,2020-07-10 00:00:00,507670.0
0,2020-07-11 00:00:00,516491.0
0,2020-07-12 00:00:00,525388.0
0,2020-07-13 00:00:00,534361.0
0,2020-07-14 00:00:00,543410.0
0,2020-07-15 00:00:00,552535.0
0,2020-07-16 00:00:00,561736.0
0,2020-07-17 00:00:00,571013.0
0,2020-07-18 00:00:00,580366.0
0,2020-07-19 00:00:00,589795.0
0,2020-07-20 00:00:00,599300.0
0,2020-07-21 00:00:00,608881.0
0,2020-07-22 00:00:00,618538.0
0,2020-07-23 00:00:00,628271.0
0,2020-07-24 00:00:00,638080.0
0,2020-07-25 00:00:00,647965.0
0,2020-07-26 00:00:00,657926.0
0,2020-07-27 00:00:00,667963.0
0,2020-07-28 00:00:00,678076.0
0,2020-07-29 00:00:00,688265.0
0,2020-07-30 00:00:00,698530.0
0,2020-07-31 00:00:00,708871.0
0,2020-08-01 00:00:00,719288.0
0,2020-08-02 00:00:00,729781.0
0,2020-08-03 00:00:00,740350.0
0,2020-08-04 00:00:00,750995.0
0,2020-08-05 00:00:00,761716.0
0,2020-08-06 00:00:00,772513.0
0,2020-08-07 00:00:00,783386.0
0,2020-08-08 00:00:00,794335.0
0,2020-08-09 00:00:00,805360.0
0,2020-08-10 00:00:00,816461.0
0,2020-08-11 00:00:00,827638.0
0,2020-08-12 00:00:00,838891.0
