,date,cases
0,2020-03-06,1.0
1,2020-03-07,1.0
2,2020-03-08,2.0
3,2020-03-09,2.0
4,2020-03-10,3.0
5,2020-03-11,5.0
6,2020-03-12,9.0
7,2020-03-13,14.0
8,2020-03-14,21.0
9,2020-03-15,35.0
10,2020-03-16,54.0
11,2020-03-17,60.0
12,2020-03-18,77.0
13,2020-03-19,89.0
14,2020-03-20,115.0
15,2020-03-21,138.0
16,2020-03-22,171.0
17,2020-03-23,235.0
18,2020-03-24,264.0
19,2020-03-25,289.0
20,2020-03-26,346.0
21,2020-03-27,398.0
0,2020-03-27 00:00:00,454.0
0,2020-03-28 00:00:00,514.0
0,2020-03-29 00:00:00,578.0
0,2020-03-30 00:00:00,646.0
0,2020-03-31 00:00:00,718.0
0,2020-04-01 00:00:00,794.0
0,2020-04-02 00:00:00,874.0
0,2020-04-03 00:00:00,958.0
0,2020-04-04 00:00:00,1046.0
0,2020-04-05 00:00:00,1138.0
0,2020-04-06 00:00:00,1234.0
0,2020-04-07 00:00:00,1334.0
0,2020-04-08 00:00:00,1438.0
0,2020-04-09 00:00:00,1546.0
0,2020-04-10 00:00:00,1658.0
0,2020-04-11 00:00:00,1774.0
0,2020-04-12 00:00:00,1894.0
0,2020-04-13 00:00:00,2018.0
0,2020-04-14 00:00:00,2146.0
0,2020-04-15 00:00:00,2278.0
0,2020-04-16 00:00:00,2414.0
0,2020-04-17 00:00:00,2554.0
0,2020-04-18 00:00:00,2698.0
0,2020-04-19 00:00:00,2846.0
0,2020-04-20 00:00:00,2998.0
0,2020-04-21 00:00:00,3154.0
0,2020-04-22 00:00:00,3314.0
0,2020-04-23 00:00:00,3478.0
0,2020-04-24 00:00:00,3646.0
0,2020-04-25 00:00:00,3818.0
0,2020-04-26 00:00:00,3994.0
0,2020-04-27 00:00:00,4174.0
0,2020-04-28 00:00:00,4358.0
0,2020-04-29 00:00:00,4546.0
0,2020-04-30 00:00:00,4738.0
0,2020-05-01 00:00:00,4934.0
0,2020-05-02 00:00:00,5134.0
0,2020-05-03 00:00:00,5338.0
0,2020-05-04 00:00:00,5546.0
0,2020-05-05 00:00:00,5758.0
0,2020-05-06 00:00:00,5974.0
0,2020-05-07 00:00:00,6194.0
0,2020-05-08 00:00:00,6418.0
0,2020-05-09 00:00:00,6646.0
0,2020-05-10 00:00:00,6878.0
0,2020-05-11 00:00:00,7114.0
0,2020-05-12 00:00:00,7354.0
0,2020-05-13 00:00:00,7598.0
0,2020-05-14 00:00:00,7846.0
0,2020-05-15 00:00:00,8098.0
0,2020-05-16 00:00:00,8354.0
0,2020-05-17 00:00:00,8614.0
0,2020-05-18 00:00:00,8878.0
0,2020-05-19 00:00:00,9146.0
0,2020-05-20 00:00:00,9418.0
0,2020-05-21 00:00:00,9694.0
0,2020-05-22 00:00:00,9974.0
0,2020-05-23 00:00:00,10258.0
0,2020-05-24 00:00:00,10546.0
0,2020-05-25 00:00:00,10838.0
0,2020-05-26 00:00:00,11134.0
0,2020-05-27 00:00:00,11434.0
0,2020-05-28 00:00:00,11738.0
0,2020-05-29 00:00:00,12046.0
0,2020-05-30 00:00:00,12358.0
0,2020-05-31 00:00:00,12674.0
0,2020-06-01 00:00:00,12994.0
0,2020-06-02 00:00:00,13318.0
0,2020-06-03 00:00:00,13646.0
0,2020-06-04 00:00:00,13978.0
0,2020-06-05 00:00:00,14314.0
0,2020-06-06 00:00:00,14654.0
0,2020-06-07 00:00:00,14998.0
0,2020-06-08 00:00:00,15346.0
0,2020-06-09 00:00:00,15698.0
0,2020-06-10 00:00:00,16054.0
0,2020-06-11 00:00:00,16414.0
0,2020-06-12 00:00:00,16778.0
0,2020-06-13 00:00:00,17146.0
0,2020-06-14 00:00:00,17518.0
0,2020-06-15 00:00:00,17894.0
0,2020-06-16 00:00:00,18274.0
0,2020-06-17 00:00:00,18658.0
0,2020-06-18 00:00:00,19046.0
0,2020-06-19 00:00:00,19438.0
0,2020-06-20 00:00:00,19834.0
0,2020-06-21 00:00:00,20234.0
0,2020-06-22 00:00:00,20638.0
0,2020-06-23 00:00:00,21046.0
0,2020-06-24 00:00:00,21458.0
0,2020-06-25 00:00:00,21874.0
0,2020-06-26 00:00:00,22294.0
0,2020-06-27 00:00:00,22718.0
0,2020-06-28 00:00:00,23146.0
0,2020-06-29 00:00:00,23578.0
0,2020-06-30 00:00:00,24014.0
0,2020-07-01 00:00:00,24454.0
0,2020-07-02 00:00:00,24898.0
0,2020-07-03 00:00:00,25346.0
0,2020-07-04 00:00:00,25798.0
0,2020-07-05 00:00:00,26254.0
0,2020-07-06 00:00:00,26714.0
0,2020-07-07 00:00:00,27178.0
0,2020-07-08 00:00:00,27646.0
0,2020-07-09 00:00:00,28118.0
0,2020-07-10 00:00:00,28594.0
0,2020-07-11 00:00:00,29074.0
0,2020-07-12 00:00:00,29558.0
0,2020-07-13 00:00:00,30046.0
0,2020-07-14 00:00:00,30538.0
0,2020-07-15 00:00:00,31034.0
0,2020-07-16 00:00:00,31534.0
0,2020-07-17 00:00:00,32038.0
0,2020-07-18 00:00:00,32546.0
0,2020-07-19 00:00:00,33058.0
0,2020-07-20 00:00:00,33574.0
0,2020-07-21 00:00:00,34094.0
0,2020-07-22 00:00:00,34618.0
0,2020-07-23 00:00:00,35146.0
0,2020-07-24 00:00:00,35678.0
0,2020-07-25 00:00:00,36214.0
0,2020-07-26 00:00:00,36754.0
0,2020-07-27 00:00:00,37298.0
0,2020-07-28 00:00:00,37846.0
0,2020-07-29 00:00:00,38398.0
0,2020-07-30 00:00:00,38954.0
0,2020-07-31 00:00:00,39514.0
0,2020-08-01 00:00:00,40078.0
0,2020-08-02 00:00:00,40646.0
0,2020-08-03 00:00:00,41218.0
0,2020-08-04 00:00:00,41794.0
0,2020-08-05 00:00:00,42374.0
0,2020-08-06 00:00:00,42958.0
0,2020-08-07 00:00:00,43546.0
0,2020-08-08 00:00:00,44138.0
0,2020-08-09 00:00:00,44734.0
0,2020-08-10 00:00:00,45334.0
0,2020-08-11 00:00:00,45938.0
0,2020-08-12 00:00:00,46546.0
