,date,cases
0,2020-03-11,1.0
1,2020-03-12,1.0
2,2020-03-13,6.0
3,2020-03-14,6.0
4,2020-03-15,10.0
5,2020-03-16,12.0
6,2020-03-17,21.0
7,2020-03-18,34.0
8,2020-03-19,50.0
9,2020-03-20,80.0
10,2020-03-21,140.0
11,2020-03-22,207.0
12,2020-03-23,249.0
13,2020-03-24,320.0
14,2020-03-25,376.0
15,2020-03-26,486.0
16,2020-03-27,579.0
17,2020-03-28,669.0
18,2020-03-29,759.0
19,2020-03-30,848.0
20,2020-03-31,937.0
21,2020-04-01,1073.0
22,2020-04-02,1177.0
23,2020-04-03,1358.0
0,2020-04-03 00:00:00,1552.0
0,2020-04-04 00:00:00,1759.0
0,2020-04-05 00:00:00,1979.0
0,2020-04-06 00:00:00,2212.0
0,2020-04-07 00:00:00,2458.0
0,2020-04-08 00:00:00,2717.0
0,2020-04-09 00:00:00,2989.0
0,2020-04-10 00:00:00,3274.0
0,2020-04-11 00:00:00,3572.0
0,2020-04-12 00:00:00,3883.0
0,2020-04-13 00:00:00,4207.0
0,2020-04-14 00:00:00,4544.0
0,2020-04-15 00:00:00,4894.0
0,2020-04-16 00:00:00,5257.0
0,2020-04-17 00:00:00,5633.0
0,2020-04-18 00:00:00,6022.0
0,2020-04-19 00:00:00,6424.0
0,2020-04-20 00:00:00,6839.0
0,2020-04-21 00:00:00,7267.0
0,2020-04-22 00:00:00,7708.0
0,2020-04-23 00:00:00,8162.0
0,2020-04-24 00:00:00,8629.0
0,2020-04-25 00:00:00,9109.0
0,2020-04-26 00:00:00,9602.0
0,2020-04-27 00:00:00,10108.0
0,2020-04-28 00:00:00,10627.0
0,2020-04-29 00:00:00,11159.0
0,2020-04-30 00:00:00,11704.0
0,2020-05-01 00:00:00,12262.0
0,2020-05-02 00:00:00,12833.0
0,2020-05-03 00:00:00,13417.0
0,2020-05-04 00:00:00,14014.0
0,2020-05-05 00:00:00,14624.0
0,2020-05-06 00:00:00,15247.0
0,2020-05-07 00:00:00,15883.0
0,2020-05-08 00:00:00,16532.0
0,2020-05-09 00:00:00,17194.0
0,2020-05-10 00:00:00,17869.0
0,2020-05-11 00:00:00,18557.0
0,2020-05-12 00:00:00,19258.0
0,2020-05-13 00:00:00,19972.0
0,2020-05-14 00:00:00,20699.0
0,2020-05-15 00:00:00,21439.0
0,2020-05-16 00:00:00,22192.0
0,2020-05-17 00:00:00,22958.0
0,2020-05-18 00:00:00,23737.0
0,2020-05-19 00:00:00,24529.0
0,2020-05-20 00:00:00,25334.0
0,2020-05-21 00:00:00,26152.0
