,date,cases
0,2020-03-07,1.0
1,2020-03-08,1.0
2,2020-03-09,1.0
3,2020-03-10,1.0
4,2020-03-11,1.0
5,2020-03-12,2.0
6,2020-03-13,4.0
7,2020-03-14,5.0
8,2020-03-15,5.0
9,2020-03-16,9.0
10,2020-03-17,16.0
11,2020-03-18,21.0
12,2020-03-19,35.0
13,2020-03-20,73.0
14,2020-03-21,93.0
15,2020-03-22,130.0
16,2020-03-23,183.0
17,2020-03-24,255.0
18,2020-03-25,384.0
19,2020-03-26,508.0
20,2020-03-27,670.0
21,2020-03-28,837.0
22,2020-03-29,902.0
23,2020-03-30,1049.0
24,2020-03-31,1350.0
25,2020-04-01,1580.0
26,2020-04-02,1834.0
27,2020-04-03,2113.0
28,2020-04-04,2291.0
29,2020-04-05,2367.0
30,2020-04-06,2722.0
0,2020-04-06 00:00:00,3102.0
0,2020-04-07 00:00:00,3507.0
0,2020-04-08 00:00:00,3937.0
0,2020-04-09 00:00:00,4392.0
0,2020-04-10 00:00:00,4872.0
0,2020-04-11 00:00:00,5377.0
0,2020-04-12 00:00:00,5907.0
0,2020-04-13 00:00:00,6462.0
0,2020-04-14 00:00:00,7042.0
0,2020-04-15 00:00:00,7647.0
0,2020-04-16 00:00:00,8277.0
0,2020-04-17 00:00:00,8932.0
0,2020-04-18 00:00:00,9612.0
0,2020-04-19 00:00:00,10317.0
0,2020-04-20 00:00:00,11047.0
0,2020-04-21 00:00:00,11802.0
0,2020-04-22 00:00:00,12582.0
0,2020-04-23 00:00:00,13387.0
0,2020-04-24 00:00:00,14217.0
0,2020-04-25 00:00:00,15072.0
0,2020-04-26 00:00:00,15952.0
0,2020-04-27 00:00:00,16857.0
0,2020-04-28 00:00:00,17787.0
0,2020-04-29 00:00:00,18742.0
0,2020-04-30 00:00:00,19722.0
0,2020-05-01 00:00:00,20727.0
0,2020-05-02 00:00:00,21757.0
0,2020-05-03 00:00:00,22812.0
0,2020-05-04 00:00:00,23892.0
0,2020-05-05 00:00:00,24997.0
0,2020-05-06 00:00:00,26127.0
0,2020-05-07 00:00:00,27282.0
0,2020-05-08 00:00:00,28462.0
0,2020-05-09 00:00:00,29667.0
0,2020-05-10 00:00:00,30897.0
0,2020-05-11 00:00:00,32152.0
0,2020-05-12 00:00:00,33432.0
0,2020-05-13 00:00:00,34737.0
0,2020-05-14 00:00:00,36067.0
0,2020-05-15 00:00:00,37422.0
0,2020-05-16 00:00:00,38802.0
0,2020-05-17 00:00:00,40207.0
0,2020-05-18 00:00:00,41637.0
0,2020-05-19 00:00:00,43092.0
0,2020-05-20 00:00:00,44572.0
0,2020-05-21 00:00:00,46077.0
0,2020-05-22 00:00:00,47607.0
0,2020-05-23 00:00:00,49162.0
0,2020-05-24 00:00:00,50742.0
