,date,cases
0,2020-03-13,4.0
1,2020-03-14,6.0
2,2020-03-15,6.0
3,2020-03-16,8.0
4,2020-03-17,8.0
5,2020-03-18,12.0
6,2020-03-19,19.0
7,2020-03-20,19.0
8,2020-03-21,29.0
9,2020-03-22,34.0
10,2020-03-23,45.0
11,2020-03-24,51.0
12,2020-03-25,65.0
13,2020-03-26,90.0
14,2020-03-27,121.0
15,2020-03-28,147.0
0,2020-03-28 00:00:00,176.0
0,2020-03-29 00:00:00,208.0
0,2020-03-30 00:00:00,243.0
0,2020-03-31 00:00:00,281.0
0,2020-04-01 00:00:00,322.0
0,2020-04-02 00:00:00,366.0
0,2020-04-03 00:00:00,413.0
0,2020-04-04 00:00:00,463.0
0,2020-04-05 00:00:00,516.0
0,2020-04-06 00:00:00,572.0
0,2020-04-07 00:00:00,631.0
0,2020-04-08 00:00:00,693.0
0,2020-04-09 00:00:00,758.0
0,2020-04-10 00:00:00,826.0
0,2020-04-11 00:00:00,897.0
0,2020-04-12 00:00:00,971.0
0,2020-04-13 00:00:00,1048.0
0,2020-04-14 00:00:00,1128.0
0,2020-04-15 00:00:00,1211.0
0,2020-04-16 00:00:00,1297.0
0,2020-04-17 00:00:00,1386.0
0,2020-04-18 00:00:00,1478.0
0,2020-04-19 00:00:00,1573.0
0,2020-04-20 00:00:00,1671.0
0,2020-04-21 00:00:00,1772.0
0,2020-04-22 00:00:00,1876.0
0,2020-04-23 00:00:00,1983.0
0,2020-04-24 00:00:00,2093.0
0,2020-04-25 00:00:00,2206.0
0,2020-04-26 00:00:00,2322.0
0,2020-04-27 00:00:00,2441.0
0,2020-04-28 00:00:00,2563.0
0,2020-04-29 00:00:00,2688.0
0,2020-04-30 00:00:00,2816.0
0,2020-05-01 00:00:00,2947.0
0,2020-05-02 00:00:00,3081.0
0,2020-05-03 00:00:00,3218.0
0,2020-05-04 00:00:00,3358.0
0,2020-05-05 00:00:00,3501.0
0,2020-05-06 00:00:00,3647.0
0,2020-05-07 00:00:00,3796.0
0,2020-05-08 00:00:00,3948.0
0,2020-05-09 00:00:00,4103.0
0,2020-05-10 00:00:00,4261.0
0,2020-05-11 00:00:00,4422.0
0,2020-05-12 00:00:00,4586.0
0,2020-05-13 00:00:00,4753.0
0,2020-05-14 00:00:00,4923.0
0,2020-05-15 00:00:00,5096.0
0,2020-05-16 00:00:00,5272.0
0,2020-05-17 00:00:00,5451.0
0,2020-05-18 00:00:00,5633.0
0,2020-05-19 00:00:00,5818.0
0,2020-05-20 00:00:00,6006.0
0,2020-05-21 00:00:00,6197.0
0,2020-05-22 00:00:00,6391.0
0,2020-05-23 00:00:00,6588.0
0,2020-05-24 00:00:00,6788.0
0,2020-05-25 00:00:00,6991.0
0,2020-05-26 00:00:00,7197.0
0,2020-05-27 00:00:00,7406.0
0,2020-05-28 00:00:00,7618.0
0,2020-05-29 00:00:00,7833.0
0,2020-05-30 00:00:00,8051.0
0,2020-05-31 00:00:00,8272.0
0,2020-06-01 00:00:00,8496.0
0,2020-06-02 00:00:00,8723.0
0,2020-06-03 00:00:00,8953.0
0,2020-06-04 00:00:00,9186.0
0,2020-06-05 00:00:00,9422.0
0,2020-06-06 00:00:00,9661.0
0,2020-06-07 00:00:00,9903.0
0,2020-06-08 00:00:00,10148.0
0,2020-06-09 00:00:00,10396.0
0,2020-06-10 00:00:00,10647.0
0,2020-06-11 00:00:00,10901.0
0,2020-06-12 00:00:00,11158.0
0,2020-06-13 00:00:00,11418.0
0,2020-06-14 00:00:00,11681.0
0,2020-06-15 00:00:00,11947.0
0,2020-06-16 00:00:00,12216.0
0,2020-06-17 00:00:00,12488.0
0,2020-06-18 00:00:00,12763.0
0,2020-06-19 00:00:00,13041.0
0,2020-06-20 00:00:00,13322.0
0,2020-06-21 00:00:00,13606.0
0,2020-06-22 00:00:00,13893.0
0,2020-06-23 00:00:00,14183.0
0,2020-06-24 00:00:00,14476.0
0,2020-06-25 00:00:00,14772.0
0,2020-06-26 00:00:00,15071.0
0,2020-06-27 00:00:00,15373.0
0,2020-06-28 00:00:00,15678.0
0,2020-06-29 00:00:00,15986.0
0,2020-06-30 00:00:00,16297.0
0,2020-07-01 00:00:00,16611.0
0,2020-07-02 00:00:00,16928.0
0,2020-07-03 00:00:00,17248.0
0,2020-07-04 00:00:00,17571.0
0,2020-07-05 00:00:00,17897.0
