,date,cases
0,2020-03-05,2.0
1,2020-03-06,2.0
2,2020-03-07,2.0
3,2020-03-08,4.0
4,2020-03-09,4.0
5,2020-03-10,4.0
6,2020-03-11,7.0
7,2020-03-12,11.0
8,2020-03-13,19.0
9,2020-03-14,21.0
10,2020-03-15,26.0
11,2020-03-16,45.0
12,2020-03-17,55.0
13,2020-03-18,82.0
14,2020-03-19,99.0
15,2020-03-20,165.0
16,2020-03-21,165.0
17,2020-03-22,190.0
18,2020-03-23,265.0
19,2020-03-24,315.0
20,2020-03-25,405.0
21,2020-03-26,535.0
22,2020-03-27,621.0
23,2020-03-28,738.0
24,2020-03-29,920.0
25,2020-03-30,1044.0
26,2020-03-31,1113.0
27,2020-04-01,1279.0
0,2020-04-01 00:00:00,1457.0
0,2020-04-02 00:00:00,1647.0
0,2020-04-03 00:00:00,1849.0
0,2020-04-04 00:00:00,2063.0
0,2020-04-05 00:00:00,2289.0
0,2020-04-06 00:00:00,2527.0
0,2020-04-07 00:00:00,2777.0
0,2020-04-08 00:00:00,3039.0
0,2020-04-09 00:00:00,3313.0
0,2020-04-10 00:00:00,3599.0
0,2020-04-11 00:00:00,3897.0
0,2020-04-12 00:00:00,4207.0
0,2020-04-13 00:00:00,4529.0
0,2020-04-14 00:00:00,4863.0
0,2020-04-15 00:00:00,5209.0
0,2020-04-16 00:00:00,5567.0
0,2020-04-17 00:00:00,5937.0
0,2020-04-18 00:00:00,6319.0
0,2020-04-19 00:00:00,6713.0
0,2020-04-20 00:00:00,7119.0
0,2020-04-21 00:00:00,7537.0
0,2020-04-22 00:00:00,7967.0
0,2020-04-23 00:00:00,8409.0
0,2020-04-24 00:00:00,8863.0
0,2020-04-25 00:00:00,9329.0
0,2020-04-26 00:00:00,9807.0
0,2020-04-27 00:00:00,10297.0
0,2020-04-28 00:00:00,10799.0
0,2020-04-29 00:00:00,11313.0
0,2020-04-30 00:00:00,11839.0
0,2020-05-01 00:00:00,12377.0
0,2020-05-02 00:00:00,12927.0
0,2020-05-03 00:00:00,13489.0
0,2020-05-04 00:00:00,14063.0
0,2020-05-05 00:00:00,14649.0
0,2020-05-06 00:00:00,15247.0
0,2020-05-07 00:00:00,15857.0
0,2020-05-08 00:00:00,16479.0
0,2020-05-09 00:00:00,17113.0
0,2020-05-10 00:00:00,17759.0
0,2020-05-11 00:00:00,18417.0
0,2020-05-12 00:00:00,19087.0
0,2020-05-13 00:00:00,19769.0
0,2020-05-14 00:00:00,20463.0
0,2020-05-15 00:00:00,21169.0
0,2020-05-16 00:00:00,21887.0
0,2020-05-17 00:00:00,22617.0
0,2020-05-18 00:00:00,23359.0
0,2020-05-19 00:00:00,24113.0
0,2020-05-20 00:00:00,24879.0
0,2020-05-21 00:00:00,25657.0
0,2020-05-22 00:00:00,26447.0
0,2020-05-23 00:00:00,27249.0
0,2020-05-24 00:00:00,28063.0
0,2020-05-25 00:00:00,28889.0
0,2020-05-26 00:00:00,29727.0
0,2020-05-27 00:00:00,30577.0
0,2020-05-28 00:00:00,31439.0
0,2020-05-29 00:00:00,32313.0
0,2020-05-30 00:00:00,33199.0
0,2020-05-31 00:00:00,34097.0
0,2020-06-01 00:00:00,35007.0
0,2020-06-02 00:00:00,35929.0
0,2020-06-03 00:00:00,36863.0
0,2020-06-04 00:00:00,37809.0
0,2020-06-05 00:00:00,38767.0
0,2020-06-06 00:00:00,39737.0
0,2020-06-07 00:00:00,40719.0
0,2020-06-08 00:00:00,41713.0
0,2020-06-09 00:00:00,42719.0
0,2020-06-10 00:00:00,43737.0
0,2020-06-11 00:00:00,44767.0
0,2020-06-12 00:00:00,45809.0
0,2020-06-13 00:00:00,46863.0
0,2020-06-14 00:00:00,47929.0
0,2020-06-15 00:00:00,49007.0
0,2020-06-16 00:00:00,50097.0
0,2020-06-17 00:00:00,51199.0
0,2020-06-18 00:00:00,52313.0
0,2020-06-19 00:00:00,53439.0
0,2020-06-20 00:00:00,54577.0
0,2020-06-21 00:00:00,55727.0
0,2020-06-22 00:00:00,56889.0
0,2020-06-23 00:00:00,58063.0
0,2020-06-24 00:00:00,59249.0
0,2020-06-25 00:00:00,60447.0
0,2020-06-26 00:00:00,61657.0
0,2020-06-27 00:00:00,62879.0
0,2020-06-28 00:00:00,64113.0
0,2020-06-29 00:00:00,65359.0
0,2020-06-30 00:00:00,66617.0
0,2020-07-01 00:00:00,67887.0
0,2020-07-02 00:00:00,69169.0
0,2020-07-03 00:00:00,70463.0
0,2020-07-04 00:00:00,71769.0
0,2020-07-05 00:00:00,73087.0
0,2020-07-06 00:00:00,74417.0
0,2020-07-07 00:00:00,75759.0
0,2020-07-08 00:00:00,77113.0
0,2020-07-09 00:00:00,78479.0
0,2020-07-10 00:00:00,79857.0
0,2020-07-11 00:00:00,81247.0
0,2020-07-12 00:00:00,82649.0
0,2020-07-13 00:00:00,84063.0
0,2020-07-14 00:00:00,85489.0
0,2020-07-15 00:00:00,86927.0
0,2020-07-16 00:00:00,88377.0
0,2020-07-17 00:00:00,89839.0
0,2020-07-18 00:00:00,91313.0
0,2020-07-19 00:00:00,92799.0
0,2020-07-20 00:00:00,94297.0
