,date,cases
0,2020-03-02,1.0
1,2020-03-03,2.0
2,2020-03-04,2.0
3,2020-03-05,2.0
4,2020-03-06,2.0
5,2020-03-07,4.0
6,2020-03-08,4.0
7,2020-03-09,4.0
8,2020-03-10,5.0
9,2020-03-11,5.0
10,2020-03-12,6.0
11,2020-03-13,7.0
12,2020-03-14,7.0
13,2020-03-15,13.0
14,2020-03-16,17.0
15,2020-03-17,26.0
16,2020-03-18,39.0
17,2020-03-19,44.0
18,2020-03-20,55.0
19,2020-03-21,65.0
20,2020-03-22,78.0
21,2020-03-23,101.0
22,2020-03-24,108.0
23,2020-03-25,137.0
24,2020-03-26,158.0
25,2020-03-27,187.0
0,2020-03-27 00:00:00,219.0
0,2020-03-28 00:00:00,254.0
0,2020-03-29 00:00:00,292.0
0,2020-03-30 00:00:00,333.0
0,2020-03-31 00:00:00,377.0
0,2020-04-01 00:00:00,424.0
0,2020-04-02 00:00:00,474.0
0,2020-04-03 00:00:00,527.0
0,2020-04-04 00:00:00,583.0
0,2020-04-05 00:00:00,642.0
0,2020-04-06 00:00:00,704.0
0,2020-04-07 00:00:00,769.0
0,2020-04-08 00:00:00,837.0
0,2020-04-09 00:00:00,908.0
0,2020-04-10 00:00:00,982.0
0,2020-04-11 00:00:00,1059.0
0,2020-04-12 00:00:00,1139.0
0,2020-04-13 00:00:00,1222.0
0,2020-04-14 00:00:00,1308.0
0,2020-04-15 00:00:00,1397.0
0,2020-04-16 00:00:00,1489.0
0,2020-04-17 00:00:00,1584.0
0,2020-04-18 00:00:00,1682.0
0,2020-04-19 00:00:00,1783.0
0,2020-04-20 00:00:00,1887.0
0,2020-04-21 00:00:00,1994.0
0,2020-04-22 00:00:00,2104.0
0,2020-04-23 00:00:00,2217.0
0,2020-04-24 00:00:00,2333.0
0,2020-04-25 00:00:00,2452.0
0,2020-04-26 00:00:00,2574.0
0,2020-04-27 00:00:00,2699.0
0,2020-04-28 00:00:00,2827.0
0,2020-04-29 00:00:00,2958.0
0,2020-04-30 00:00:00,3092.0
0,2020-05-01 00:00:00,3229.0
0,2020-05-02 00:00:00,3369.0
0,2020-05-03 00:00:00,3512.0
0,2020-05-04 00:00:00,3658.0
0,2020-05-05 00:00:00,3807.0
0,2020-05-06 00:00:00,3959.0
0,2020-05-07 00:00:00,4114.0
0,2020-05-08 00:00:00,4272.0
0,2020-05-09 00:00:00,4433.0
0,2020-05-10 00:00:00,4597.0
0,2020-05-11 00:00:00,4764.0
0,2020-05-12 00:00:00,4934.0
0,2020-05-13 00:00:00,5107.0
0,2020-05-14 00:00:00,5283.0
0,2020-05-15 00:00:00,5462.0
0,2020-05-16 00:00:00,5644.0
0,2020-05-17 00:00:00,5829.0
0,2020-05-18 00:00:00,6017.0
0,2020-05-19 00:00:00,6208.0
0,2020-05-20 00:00:00,6402.0
0,2020-05-21 00:00:00,6599.0
0,2020-05-22 00:00:00,6799.0
0,2020-05-23 00:00:00,7002.0
0,2020-05-24 00:00:00,7208.0
0,2020-05-25 00:00:00,7417.0
0,2020-05-26 00:00:00,7629.0
0,2020-05-27 00:00:00,7844.0
0,2020-05-28 00:00:00,8062.0
0,2020-05-29 00:00:00,8283.0
0,2020-05-30 00:00:00,8507.0
0,2020-05-31 00:00:00,8734.0
0,2020-06-01 00:00:00,8964.0
0,2020-06-02 00:00:00,9197.0
0,2020-06-03 00:00:00,9433.0
0,2020-06-04 00:00:00,9672.0
0,2020-06-05 00:00:00,9914.0
0,2020-06-06 00:00:00,10159.0
0,2020-06-07 00:00:00,10407.0
0,2020-06-08 00:00:00,10658.0
0,2020-06-09 00:00:00,10912.0
0,2020-06-10 00:00:00,11169.0
0,2020-06-11 00:00:00,11429.0
0,2020-06-12 00:00:00,11692.0
0,2020-06-13 00:00:00,11958.0
0,2020-06-14 00:00:00,12227.0
0,2020-06-15 00:00:00,12499.0
0,2020-06-16 00:00:00,12774.0
0,2020-06-17 00:00:00,13052.0
0,2020-06-18 00:00:00,13333.0
0,2020-06-19 00:00:00,13617.0
0,2020-06-20 00:00:00,13904.0
0,2020-06-21 00:00:00,14194.0
0,2020-06-22 00:00:00,14487.0
0,2020-06-23 00:00:00,14783.0
0,2020-06-24 00:00:00,15082.0
0,2020-06-25 00:00:00,15384.0
0,2020-06-26 00:00:00,15689.0
0,2020-06-27 00:00:00,15997.0
0,2020-06-28 00:00:00,16308.0
0,2020-06-29 00:00:00,16622.0
0,2020-06-30 00:00:00,16939.0
0,2020-07-01 00:00:00,17259.0
0,2020-07-02 00:00:00,17582.0
0,2020-07-03 00:00:00,17908.0
0,2020-07-04 00:00:00,18237.0
0,2020-07-05 00:00:00,18569.0
0,2020-07-06 00:00:00,18904.0
0,2020-07-07 00:00:00,19242.0
0,2020-07-08 00:00:00,19583.0
0,2020-07-09 00:00:00,19927.0
0,2020-07-10 00:00:00,20274.0
0,2020-07-11 00:00:00,20624.0
0,2020-07-12 00:00:00,20977.0
0,2020-07-13 00:00:00,21333.0
0,2020-07-14 00:00:00,21692.0
0,2020-07-15 00:00:00,22054.0
0,2020-07-16 00:00:00,22419.0
0,2020-07-17 00:00:00,22787.0
0,2020-07-18 00:00:00,23158.0
