,date,cases
0,2020-03-04,1.0
1,2020-03-05,2.0
2,2020-03-06,4.0
3,2020-03-07,4.0
4,2020-03-08,6.0
5,2020-03-09,11.0
6,2020-03-10,15.0
7,2020-03-11,23.0
8,2020-03-12,29.0
9,2020-03-13,50.0
10,2020-03-14,75.0
11,2020-03-15,98.0
12,2020-03-16,176.0
13,2020-03-17,268.0
14,2020-03-18,427.0
15,2020-03-19,735.0
16,2020-03-20,896.0
17,2020-03-21,1336.0
0,2020-03-21 00:00:00,1870.0
0,2020-03-22 00:00:00,2499.0
0,2020-03-23 00:00:00,3224.0
0,2020-03-24 00:00:00,4045.0
0,2020-03-25 00:00:00,4963.0
0,2020-03-26 00:00:00,5978.0
0,2020-03-27 00:00:00,7090.0
0,2020-03-28 00:00:00,8300.0
0,2020-03-29 00:00:00,9608.0
0,2020-03-30 00:00:00,11014.0
0,2020-03-31 00:00:00,12518.0
0,2020-04-01 00:00:00,14120.0
0,2020-04-02 00:00:00,15820.0
0,2020-04-03 00:00:00,17618.0
0,2020-04-04 00:00:00,19515.0
0,2020-04-05 00:00:00,21511.0
0,2020-04-06 00:00:00,23606.0
0,2020-04-07 00:00:00,25800.0
0,2020-04-08 00:00:00,28093.0
0,2020-04-09 00:00:00,30485.0
0,2020-04-10 00:00:00,32976.0
0,2020-04-11 00:00:00,35566.0
0,2020-04-12 00:00:00,38255.0
0,2020-04-13 00:00:00,41043.0
0,2020-04-14 00:00:00,43930.0
0,2020-04-15 00:00:00,46916.0
0,2020-04-16 00:00:00,50001.0
0,2020-04-17 00:00:00,53185.0
0,2020-04-18 00:00:00,56468.0
0,2020-04-19 00:00:00,59850.0
0,2020-04-20 00:00:00,63331.0
0,2020-04-21 00:00:00,66911.0
0,2020-04-22 00:00:00,70590.0
0,2020-04-23 00:00:00,74368.0
0,2020-04-24 00:00:00,78245.0
0,2020-04-25 00:00:00,82221.0
0,2020-04-26 00:00:00,86296.0
0,2020-04-27 00:00:00,90470.0
0,2020-04-28 00:00:00,94743.0
0,2020-04-29 00:00:00,99115.0
0,2020-04-30 00:00:00,103586.0
0,2020-05-01 00:00:00,108156.0
0,2020-05-02 00:00:00,112825.0
0,2020-05-03 00:00:00,117593.0
0,2020-05-04 00:00:00,122460.0
0,2020-05-05 00:00:00,127426.0
0,2020-05-06 00:00:00,132491.0
0,2020-05-07 00:00:00,137655.0
0,2020-05-08 00:00:00,142918.0
0,2020-05-09 00:00:00,148280.0
0,2020-05-10 00:00:00,153741.0
0,2020-05-11 00:00:00,159301.0
0,2020-05-12 00:00:00,164960.0
0,2020-05-13 00:00:00,170718.0
0,2020-05-14 00:00:00,176575.0
0,2020-05-15 00:00:00,182531.0
0,2020-05-16 00:00:00,188586.0
0,2020-05-17 00:00:00,194740.0
0,2020-05-18 00:00:00,200993.0
0,2020-05-19 00:00:00,207345.0
0,2020-05-20 00:00:00,213796.0
0,2020-05-21 00:00:00,220346.0
0,2020-05-22 00:00:00,226995.0
0,2020-05-23 00:00:00,233743.0
0,2020-05-24 00:00:00,240590.0
0,2020-05-25 00:00:00,247536.0
0,2020-05-26 00:00:00,254581.0
0,2020-05-27 00:00:00,261725.0
0,2020-05-28 00:00:00,268968.0
0,2020-05-29 00:00:00,276310.0
0,2020-05-30 00:00:00,283751.0
0,2020-05-31 00:00:00,291291.0
0,2020-06-01 00:00:00,298930.0
0,2020-06-02 00:00:00,306668.0
0,2020-06-03 00:00:00,314505.0
0,2020-06-04 00:00:00,322441.0
0,2020-06-05 00:00:00,330476.0
0,2020-06-06 00:00:00,338610.0
0,2020-06-07 00:00:00,346843.0
0,2020-06-08 00:00:00,355175.0
0,2020-06-09 00:00:00,363606.0
0,2020-06-10 00:00:00,372136.0
0,2020-06-11 00:00:00,380765.0
0,2020-06-12 00:00:00,389493.0
0,2020-06-13 00:00:00,398320.0
0,2020-06-14 00:00:00,407246.0
0,2020-06-15 00:00:00,416271.0
0,2020-06-16 00:00:00,425395.0
0,2020-06-17 00:00:00,434618.0
0,2020-06-18 00:00:00,443940.0
0,2020-06-19 00:00:00,453361.0
0,2020-06-20 00:00:00,462881.0
0,2020-06-21 00:00:00,472500.0
0,2020-06-22 00:00:00,482218.0
0,2020-06-23 00:00:00,492035.0
0,2020-06-24 00:00:00,501951.0
0,2020-06-25 00:00:00,511966.0
0,2020-06-26 00:00:00,522080.0
0,2020-06-27 00:00:00,532293.0
0,2020-06-28 00:00:00,542605.0
0,2020-06-29 00:00:00,553016.0
0,2020-06-30 00:00:00,563526.0
0,2020-07-01 00:00:00,574135.0
0,2020-07-02 00:00:00,584843.0
0,2020-07-03 00:00:00,595650.0
0,2020-07-04 00:00:00,606556.0
0,2020-07-05 00:00:00,617561.0
0,2020-07-06 00:00:00,628665.0
0,2020-07-07 00:00:00,639868.0
0,2020-07-08 00:00:00,651170.0
0,2020-07-09 00:00:00,662571.0
0,2020-07-10 00:00:00,674071.0
0,2020-07-11 00:00:00,685670.0
0,2020-07-12 00:00:00,697368.0
0,2020-07-13 00:00:00,709165.0
0,2020-07-14 00:00:00,721061.0
0,2020-07-15 00:00:00,733056.0
0,2020-07-16 00:00:00,745150.0
0,2020-07-17 00:00:00,757343.0
0,2020-07-18 00:00:00,769635.0
0,2020-07-19 00:00:00,782026.0
0,2020-07-20 00:00:00,794516.0
0,2020-07-21 00:00:00,807105.0
0,2020-07-22 00:00:00,819793.0
0,2020-07-23 00:00:00,832580.0
0,2020-07-24 00:00:00,845466.0
0,2020-07-25 00:00:00,858451.0
0,2020-07-26 00:00:00,871535.0
0,2020-07-27 00:00:00,884718.0
0,2020-07-28 00:00:00,898000.0
0,2020-07-29 00:00:00,911381.0
0,2020-07-30 00:00:00,924861.0
0,2020-07-31 00:00:00,938440.0
0,2020-08-01 00:00:00,952118.0
0,2020-08-02 00:00:00,965895.0
0,2020-08-03 00:00:00,979771.0
0,2020-08-04 00:00:00,993746.0
0,2020-08-05 00:00:00,1007820.0
0,2020-08-06 00:00:00,1021993.0
0,2020-08-07 00:00:00,1036265.0
0,2020-08-08 00:00:00,1050636.0
0,2020-08-09 00:00:00,1065106.0
0,2020-08-10 00:00:00,1079675.0
0,2020-08-11 00:00:00,1094343.0
0,2020-08-12 00:00:00,1109110.0
