,date,cases
0,2020-03-11,4.0
1,2020-03-12,6.0
2,2020-03-13,10.0
3,2020-03-14,13.0
4,2020-03-15,17.0
5,2020-03-16,21.0
6,2020-03-17,23.0
7,2020-03-18,28.0
8,2020-03-19,35.0
9,2020-03-20,43.0
10,2020-03-21,57.0
11,2020-03-22,65.0
12,2020-03-23,83.0
13,2020-03-24,100.0
0,2020-03-24 00:00:00,119.0
0,2020-03-25 00:00:00,140.0
0,2020-03-26 00:00:00,163.0
0,2020-03-27 00:00:00,188.0
0,2020-03-28 00:00:00,215.0
0,2020-03-29 00:00:00,244.0
0,2020-03-30 00:00:00,275.0
0,2020-03-31 00:00:00,308.0
0,2020-04-01 00:00:00,343.0
0,2020-04-02 00:00:00,380.0
0,2020-04-03 00:00:00,419.0
0,2020-04-04 00:00:00,460.0
0,2020-04-05 00:00:00,503.0
0,2020-04-06 00:00:00,548.0
0,2020-04-07 00:00:00,595.0
0,2020-04-08 00:00:00,644.0
0,2020-04-09 00:00:00,695.0
0,2020-04-10 00:00:00,748.0
0,2020-04-11 00:00:00,803.0
0,2020-04-12 00:00:00,860.0
0,2020-04-13 00:00:00,919.0
0,2020-04-14 00:00:00,980.0
0,2020-04-15 00:00:00,1043.0
0,2020-04-16 00:00:00,1108.0
0,2020-04-17 00:00:00,1175.0
0,2020-04-18 00:00:00,1244.0
0,2020-04-19 00:00:00,1315.0
0,2020-04-20 00:00:00,1388.0
0,2020-04-21 00:00:00,1463.0
0,2020-04-22 00:00:00,1540.0
0,2020-04-23 00:00:00,1619.0
0,2020-04-24 00:00:00,1700.0
0,2020-04-25 00:00:00,1783.0
0,2020-04-26 00:00:00,1868.0
0,2020-04-27 00:00:00,1955.0
0,2020-04-28 00:00:00,2044.0
0,2020-04-29 00:00:00,2135.0
0,2020-04-30 00:00:00,2228.0
0,2020-05-01 00:00:00,2323.0
0,2020-05-02 00:00:00,2420.0
0,2020-05-03 00:00:00,2519.0
0,2020-05-04 00:00:00,2620.0
0,2020-05-05 00:00:00,2723.0
0,2020-05-06 00:00:00,2828.0
0,2020-05-07 00:00:00,2935.0
0,2020-05-08 00:00:00,3044.0
0,2020-05-09 00:00:00,3155.0
0,2020-05-10 00:00:00,3268.0
0,2020-05-11 00:00:00,3383.0
0,2020-05-12 00:00:00,3500.0
0,2020-05-13 00:00:00,3619.0
0,2020-05-14 00:00:00,3740.0
0,2020-05-15 00:00:00,3863.0
0,2020-05-16 00:00:00,3988.0
0,2020-05-17 00:00:00,4115.0
0,2020-05-18 00:00:00,4244.0
0,2020-05-19 00:00:00,4375.0
0,2020-05-20 00:00:00,4508.0
0,2020-05-21 00:00:00,4643.0
0,2020-05-22 00:00:00,4780.0
0,2020-05-23 00:00:00,4919.0
0,2020-05-24 00:00:00,5060.0
0,2020-05-25 00:00:00,5203.0
0,2020-05-26 00:00:00,5348.0
0,2020-05-27 00:00:00,5495.0
0,2020-05-28 00:00:00,5644.0
0,2020-05-29 00:00:00,5795.0
0,2020-05-30 00:00:00,5948.0
0,2020-05-31 00:00:00,6103.0
0,2020-06-01 00:00:00,6260.0
0,2020-06-02 00:00:00,6419.0
0,2020-06-03 00:00:00,6580.0
0,2020-06-04 00:00:00,6743.0
0,2020-06-05 00:00:00,6908.0
0,2020-06-06 00:00:00,7075.0
0,2020-06-07 00:00:00,7244.0
0,2020-06-08 00:00:00,7415.0
0,2020-06-09 00:00:00,7588.0
0,2020-06-10 00:00:00,7763.0
0,2020-06-11 00:00:00,7940.0
0,2020-06-12 00:00:00,8119.0
0,2020-06-13 00:00:00,8300.0
0,2020-06-14 00:00:00,8483.0
0,2020-06-15 00:00:00,8668.0
0,2020-06-16 00:00:00,8855.0
0,2020-06-17 00:00:00,9044.0
0,2020-06-18 00:00:00,9235.0
0,2020-06-19 00:00:00,9428.0
0,2020-06-20 00:00:00,9623.0
0,2020-06-21 00:00:00,9820.0
0,2020-06-22 00:00:00,10019.0
0,2020-06-23 00:00:00,10220.0
0,2020-06-24 00:00:00,10423.0
0,2020-06-25 00:00:00,10628.0
0,2020-06-26 00:00:00,10835.0
0,2020-06-27 00:00:00,11044.0
0,2020-06-28 00:00:00,11255.0
0,2020-06-29 00:00:00,11468.0
0,2020-06-30 00:00:00,11683.0
0,2020-07-01 00:00:00,11900.0
0,2020-07-02 00:00:00,12119.0
0,2020-07-03 00:00:00,12340.0
0,2020-07-04 00:00:00,12563.0
0,2020-07-05 00:00:00,12788.0
0,2020-07-06 00:00:00,13015.0
0,2020-07-07 00:00:00,13244.0
0,2020-07-08 00:00:00,13475.0
0,2020-07-09 00:00:00,13708.0
0,2020-07-10 00:00:00,13943.0
0,2020-07-11 00:00:00,14180.0
0,2020-07-12 00:00:00,14419.0
0,2020-07-13 00:00:00,14660.0
0,2020-07-14 00:00:00,14903.0
0,2020-07-15 00:00:00,15148.0
0,2020-07-16 00:00:00,15395.0
0,2020-07-17 00:00:00,15644.0
0,2020-07-18 00:00:00,15895.0
0,2020-07-19 00:00:00,16148.0
0,2020-07-20 00:00:00,16403.0
0,2020-07-21 00:00:00,16660.0
0,2020-07-22 00:00:00,16919.0
0,2020-07-23 00:00:00,17180.0
0,2020-07-24 00:00:00,17443.0
0,2020-07-25 00:00:00,17708.0
0,2020-07-26 00:00:00,17975.0
0,2020-07-27 00:00:00,18244.0
0,2020-07-28 00:00:00,18515.0
0,2020-07-29 00:00:00,18788.0
0,2020-07-30 00:00:00,19063.0
0,2020-07-31 00:00:00,19340.0
0,2020-08-01 00:00:00,19619.0
0,2020-08-02 00:00:00,19900.0
0,2020-08-03 00:00:00,20183.0
0,2020-08-04 00:00:00,20468.0
0,2020-08-05 00:00:00,20755.0
0,2020-08-06 00:00:00,21044.0
0,2020-08-07 00:00:00,21335.0
0,2020-08-08 00:00:00,21628.0
0,2020-08-09 00:00:00,21923.0
0,2020-08-10 00:00:00,22220.0
0,2020-08-11 00:00:00,22519.0
0,2020-08-12 00:00:00,22820.0
