,date,cases
0,2020-03-01,1.0
1,2020-03-02,1.0
2,2020-03-03,2.0
3,2020-03-04,11.0
4,2020-03-05,22.0
5,2020-03-06,44.0
6,2020-03-07,89.0
7,2020-03-08,106.0
8,2020-03-09,142.0
9,2020-03-10,173.0
10,2020-03-11,217.0
11,2020-03-12,326.0
12,2020-03-13,421.0
13,2020-03-14,610.0
14,2020-03-15,732.0
15,2020-03-16,950.0
16,2020-03-17,1375.0
17,2020-03-18,2387.0
18,2020-03-19,4161.0
19,2020-03-20,7113.0
20,2020-03-21,10371.0
21,2020-03-22,15188.0
0,2020-03-22 00:00:00,20982.0
0,2020-03-23 00:00:00,27763.0
0,2020-03-24 00:00:00,35538.0
0,2020-03-25 00:00:00,44312.0
0,2020-03-26 00:00:00,54090.0
0,2020-03-27 00:00:00,64875.0
0,2020-03-28 00:00:00,76670.0
0,2020-03-29 00:00:00,89478.0
0,2020-03-30 00:00:00,103301.0
0,2020-03-31 00:00:00,118141.0
0,2020-04-01 00:00:00,133999.0
0,2020-04-02 00:00:00,150877.0
0,2020-04-03 00:00:00,168776.0
0,2020-04-04 00:00:00,187697.0
0,2020-04-05 00:00:00,207641.0
0,2020-04-06 00:00:00,228609.0
0,2020-04-07 00:00:00,250602.0
0,2020-04-08 00:00:00,273621.0
0,2020-04-09 00:00:00,297666.0
0,2020-04-10 00:00:00,322738.0
0,2020-04-11 00:00:00,348837.0
0,2020-04-12 00:00:00,375964.0
0,2020-04-13 00:00:00,404119.0
0,2020-04-14 00:00:00,433303.0
0,2020-04-15 00:00:00,463516.0
0,2020-04-16 00:00:00,494759.0
0,2020-04-17 00:00:00,527032.0
0,2020-04-18 00:00:00,560335.0
0,2020-04-19 00:00:00,594669.0
0,2020-04-20 00:00:00,630034.0
0,2020-04-21 00:00:00,666430.0
0,2020-04-22 00:00:00,703858.0
0,2020-04-23 00:00:00,742318.0
0,2020-04-24 00:00:00,781810.0
0,2020-04-25 00:00:00,822334.0
0,2020-04-26 00:00:00,863891.0
0,2020-04-27 00:00:00,906481.0
0,2020-04-28 00:00:00,950104.0
0,2020-04-29 00:00:00,994760.0
0,2020-04-30 00:00:00,1040449.0
0,2020-05-01 00:00:00,1087172.0
0,2020-05-02 00:00:00,1134929.0
0,2020-05-03 00:00:00,1183720.0
0,2020-05-04 00:00:00,1233545.0
0,2020-05-05 00:00:00,1284404.0
0,2020-05-06 00:00:00,1336297.0
0,2020-05-07 00:00:00,1389224.0
0,2020-05-08 00:00:00,1443186.0
0,2020-05-09 00:00:00,1498183.0
0,2020-05-10 00:00:00,1554215.0
0,2020-05-11 00:00:00,1611282.0
0,2020-05-12 00:00:00,1669384.0
0,2020-05-13 00:00:00,1728521.0
0,2020-05-14 00:00:00,1788693.0
0,2020-05-15 00:00:00,1849900.0
0,2020-05-16 00:00:00,1912142.0
0,2020-05-17 00:00:00,1975420.0
0,2020-05-18 00:00:00,2039734.0
0,2020-05-19 00:00:00,2105084.0
0,2020-05-20 00:00:00,2171470.0
0,2020-05-21 00:00:00,2238892.0
0,2020-05-22 00:00:00,2307350.0
0,2020-05-23 00:00:00,2376844.0
0,2020-05-24 00:00:00,2447374.0
0,2020-05-25 00:00:00,2518940.0
0,2020-05-26 00:00:00,2591542.0
0,2020-05-27 00:00:00,2665180.0
0,2020-05-28 00:00:00,2739854.0
0,2020-05-29 00:00:00,2815564.0
0,2020-05-30 00:00:00,2892311.0
0,2020-05-31 00:00:00,2970095.0
0,2020-06-01 00:00:00,3048916.0
0,2020-06-02 00:00:00,3128774.0
0,2020-06-03 00:00:00,3209669.0
0,2020-06-04 00:00:00,3291601.0
0,2020-06-05 00:00:00,3374570.0
0,2020-06-06 00:00:00,3458576.0
0,2020-06-07 00:00:00,3543619.0
0,2020-06-08 00:00:00,3629699.0
0,2020-06-09 00:00:00,3716816.0
0,2020-06-10 00:00:00,3804970.0
0,2020-06-11 00:00:00,3894161.0
0,2020-06-12 00:00:00,3984389.0
0,2020-06-13 00:00:00,4075654.0
0,2020-06-14 00:00:00,4167956.0
0,2020-06-15 00:00:00,4261295.0
0,2020-06-16 00:00:00,4355671.0
0,2020-06-17 00:00:00,4451084.0
0,2020-06-18 00:00:00,4547534.0
0,2020-06-19 00:00:00,4645022.0
0,2020-06-20 00:00:00,4743548.0
0,2020-06-21 00:00:00,4843112.0
0,2020-06-22 00:00:00,4943714.0
0,2020-06-23 00:00:00,5045354.0
0,2020-06-24 00:00:00,5148032.0
0,2020-06-25 00:00:00,5251748.0
0,2020-06-26 00:00:00,5356502.0
0,2020-06-27 00:00:00,5462294.0
0,2020-06-28 00:00:00,5569124.0
0,2020-06-29 00:00:00,5676992.0
0,2020-06-30 00:00:00,5785898.0
0,2020-07-01 00:00:00,5895842.0
0,2020-07-02 00:00:00,6006824.0
0,2020-07-03 00:00:00,6118844.0
0,2020-07-04 00:00:00,6231902.0
0,2020-07-05 00:00:00,6345998.0
0,2020-07-06 00:00:00,6461132.0
0,2020-07-07 00:00:00,6577304.0
0,2020-07-08 00:00:00,6694514.0
0,2020-07-09 00:00:00,6812762.0
0,2020-07-10 00:00:00,6932048.0
0,2020-07-11 00:00:00,7052372.0
0,2020-07-12 00:00:00,7173734.0
0,2020-07-13 00:00:00,7296134.0
0,2020-07-14 00:00:00,7419572.0
0,2020-07-15 00:00:00,7544048.0
0,2020-07-16 00:00:00,7669562.0
0,2020-07-17 00:00:00,7796114.0
0,2020-07-18 00:00:00,7923704.0
0,2020-07-19 00:00:00,8052332.0
0,2020-07-20 00:00:00,8181998.0
0,2020-07-21 00:00:00,8312702.0
