,date,cases
0,2020-03-03,1.0
1,2020-03-04,1.0
2,2020-03-05,1.0
3,2020-03-06,2.0
4,2020-03-07,2.0
5,2020-03-08,2.0
6,2020-03-09,7.0
7,2020-03-10,7.0
8,2020-03-11,8.0
9,2020-03-12,16.0
10,2020-03-13,18.0
11,2020-03-14,25.0
12,2020-03-15,32.0
13,2020-03-16,34.0
14,2020-03-17,42.0
15,2020-03-18,66.0
16,2020-03-19,104.0
17,2020-03-20,144.0
18,2020-03-21,184.0
19,2020-03-22,269.0
20,2020-03-23,302.0
21,2020-03-24,397.0
22,2020-03-25,562.0
23,2020-03-26,639.0
24,2020-03-27,784.0
25,2020-03-28,972.0
26,2020-03-29,1166.0
27,2020-03-30,1303.0
0,2020-03-30 00:00:00,1448.0
0,2020-03-31 00:00:00,1601.0
0,2020-04-01 00:00:00,1762.0
0,2020-04-02 00:00:00,1931.0
0,2020-04-03 00:00:00,2108.0
0,2020-04-04 00:00:00,2293.0
0,2020-04-05 00:00:00,2486.0
0,2020-04-06 00:00:00,2687.0
0,2020-04-07 00:00:00,2896.0
0,2020-04-08 00:00:00,3113.0
0,2020-04-09 00:00:00,3338.0
0,2020-04-10 00:00:00,3571.0
0,2020-04-11 00:00:00,3812.0
0,2020-04-12 00:00:00,4061.0
0,2020-04-13 00:00:00,4318.0
0,2020-04-14 00:00:00,4583.0
0,2020-04-15 00:00:00,4856.0
0,2020-04-16 00:00:00,5137.0
0,2020-04-17 00:00:00,5426.0
0,2020-04-18 00:00:00,5723.0
0,2020-04-19 00:00:00,6028.0
0,2020-04-20 00:00:00,6341.0
0,2020-04-21 00:00:00,6662.0
0,2020-04-22 00:00:00,6991.0
0,2020-04-23 00:00:00,7328.0
0,2020-04-24 00:00:00,7673.0
0,2020-04-25 00:00:00,8026.0
0,2020-04-26 00:00:00,8387.0
0,2020-04-27 00:00:00,8756.0
0,2020-04-28 00:00:00,9133.0
0,2020-04-29 00:00:00,9518.0
0,2020-04-30 00:00:00,9911.0
0,2020-05-01 00:00:00,10312.0
0,2020-05-02 00:00:00,10721.0
0,2020-05-03 00:00:00,11138.0
0,2020-05-04 00:00:00,11563.0
0,2020-05-05 00:00:00,11996.0
0,2020-05-06 00:00:00,12437.0
0,2020-05-07 00:00:00,12886.0
0,2020-05-08 00:00:00,13343.0
0,2020-05-09 00:00:00,13808.0
0,2020-05-10 00:00:00,14281.0
0,2020-05-11 00:00:00,14762.0
0,2020-05-12 00:00:00,15251.0
0,2020-05-13 00:00:00,15748.0
0,2020-05-14 00:00:00,16253.0
0,2020-05-15 00:00:00,16766.0
0,2020-05-16 00:00:00,17287.0
0,2020-05-17 00:00:00,17816.0
0,2020-05-18 00:00:00,18353.0
0,2020-05-19 00:00:00,18898.0
0,2020-05-20 00:00:00,19451.0
0,2020-05-21 00:00:00,20012.0
0,2020-05-22 00:00:00,20581.0
0,2020-05-23 00:00:00,21158.0
0,2020-05-24 00:00:00,21743.0
0,2020-05-25 00:00:00,22336.0
0,2020-05-26 00:00:00,22937.0
0,2020-05-27 00:00:00,23546.0
0,2020-05-28 00:00:00,24163.0
0,2020-05-29 00:00:00,24788.0
0,2020-05-30 00:00:00,25421.0
0,2020-05-31 00:00:00,26062.0
0,2020-06-01 00:00:00,26711.0
0,2020-06-02 00:00:00,27368.0
0,2020-06-03 00:00:00,28033.0
0,2020-06-04 00:00:00,28706.0
0,2020-06-05 00:00:00,29387.0
0,2020-06-06 00:00:00,30076.0
0,2020-06-07 00:00:00,30773.0
0,2020-06-08 00:00:00,31478.0
0,2020-06-09 00:00:00,32191.0
0,2020-06-10 00:00:00,32912.0
0,2020-06-11 00:00:00,33641.0
0,2020-06-12 00:00:00,34378.0
0,2020-06-13 00:00:00,35123.0
0,2020-06-14 00:00:00,35876.0
0,2020-06-15 00:00:00,36637.0
0,2020-06-16 00:00:00,37406.0
0,2020-06-17 00:00:00,38183.0
0,2020-06-18 00:00:00,38968.0
0,2020-06-19 00:00:00,39761.0
0,2020-06-20 00:00:00,40562.0
0,2020-06-21 00:00:00,41371.0
0,2020-06-22 00:00:00,42188.0
0,2020-06-23 00:00:00,43013.0
0,2020-06-24 00:00:00,43846.0
0,2020-06-25 00:00:00,44687.0
0,2020-06-26 00:00:00,45536.0
0,2020-06-27 00:00:00,46393.0
0,2020-06-28 00:00:00,47258.0
