,date,cases
0,2020-03-09,3.0
1,2020-03-10,3.0
2,2020-03-11,4.0
3,2020-03-12,5.0
4,2020-03-13,13.0
5,2020-03-14,26.0
6,2020-03-15,37.0
7,2020-03-16,50.0
8,2020-03-17,67.0
9,2020-03-18,90.0
10,2020-03-19,120.0
11,2020-03-20,169.0
12,2020-03-21,247.0
13,2020-03-22,351.0
14,2020-03-23,444.0
0,2020-03-23 00:00:00,548.0
0,2020-03-24 00:00:00,663.0
0,2020-03-25 00:00:00,789.0
0,2020-03-26 00:00:00,926.0
0,2020-03-27 00:00:00,1074.0
0,2020-03-28 00:00:00,1233.0
0,2020-03-29 00:00:00,1403.0
0,2020-03-30 00:00:00,1584.0
0,2020-03-31 00:00:00,1776.0
0,2020-04-01 00:00:00,1979.0
0,2020-04-02 00:00:00,2193.0
0,2020-04-03 00:00:00,2418.0
0,2020-04-04 00:00:00,2654.0
0,2020-04-05 00:00:00,2901.0
0,2020-04-06 00:00:00,3159.0
0,2020-04-07 00:00:00,3428.0
0,2020-04-08 00:00:00,3708.0
0,2020-04-09 00:00:00,3999.0
0,2020-04-10 00:00:00,4301.0
0,2020-04-11 00:00:00,4614.0
0,2020-04-12 00:00:00,4938.0
0,2020-04-13 00:00:00,5273.0
0,2020-04-14 00:00:00,5619.0
0,2020-04-15 00:00:00,5976.0
0,2020-04-16 00:00:00,6344.0
0,2020-04-17 00:00:00,6723.0
0,2020-04-18 00:00:00,7113.0
0,2020-04-19 00:00:00,7514.0
0,2020-04-20 00:00:00,7926.0
0,2020-04-21 00:00:00,8349.0
0,2020-04-22 00:00:00,8783.0
0,2020-04-23 00:00:00,9228.0
0,2020-04-24 00:00:00,9684.0
0,2020-04-25 00:00:00,10151.0
0,2020-04-26 00:00:00,10629.0
0,2020-04-27 00:00:00,11118.0
0,2020-04-28 00:00:00,11618.0
0,2020-04-29 00:00:00,12129.0
0,2020-04-30 00:00:00,12651.0
0,2020-05-01 00:00:00,13184.0
0,2020-05-02 00:00:00,13728.0
0,2020-05-03 00:00:00,14283.0
0,2020-05-04 00:00:00,14849.0
0,2020-05-05 00:00:00,15426.0
0,2020-05-06 00:00:00,16014.0
0,2020-05-07 00:00:00,16613.0
0,2020-05-08 00:00:00,17223.0
0,2020-05-09 00:00:00,17844.0
0,2020-05-10 00:00:00,18476.0
0,2020-05-11 00:00:00,19119.0
0,2020-05-12 00:00:00,19773.0
0,2020-05-13 00:00:00,20438.0
0,2020-05-14 00:00:00,21114.0
0,2020-05-15 00:00:00,21801.0
0,2020-05-16 00:00:00,22499.0
0,2020-05-17 00:00:00,23208.0
0,2020-05-18 00:00:00,23928.0
0,2020-05-19 00:00:00,24659.0
0,2020-05-20 00:00:00,25401.0
0,2020-05-21 00:00:00,26154.0
0,2020-05-22 00:00:00,26918.0
0,2020-05-23 00:00:00,27693.0
0,2020-05-24 00:00:00,28479.0
0,2020-05-25 00:00:00,29276.0
0,2020-05-26 00:00:00,30084.0
0,2020-05-27 00:00:00,30903.0
0,2020-05-28 00:00:00,31733.0
0,2020-05-29 00:00:00,32574.0
0,2020-05-30 00:00:00,33426.0
0,2020-05-31 00:00:00,34289.0
0,2020-06-01 00:00:00,35163.0
0,2020-06-02 00:00:00,36048.0
0,2020-06-03 00:00:00,36944.0
0,2020-06-04 00:00:00,37851.0
0,2020-06-05 00:00:00,38769.0
0,2020-06-06 00:00:00,39698.0
0,2020-06-07 00:00:00,40638.0
0,2020-06-08 00:00:00,41589.0
0,2020-06-09 00:00:00,42551.0
0,2020-06-10 00:00:00,43524.0
0,2020-06-11 00:00:00,44508.0
0,2020-06-12 00:00:00,45503.0
0,2020-06-13 00:00:00,46509.0
0,2020-06-14 00:00:00,47526.0
0,2020-06-15 00:00:00,48554.0
0,2020-06-16 00:00:00,49593.0
0,2020-06-17 00:00:00,50643.0
0,2020-06-18 00:00:00,51704.0
0,2020-06-19 00:00:00,52776.0
0,2020-06-20 00:00:00,53859.0
0,2020-06-21 00:00:00,54953.0
0,2020-06-22 00:00:00,56058.0
0,2020-06-23 00:00:00,57174.0
0,2020-06-24 00:00:00,58301.0
0,2020-06-25 00:00:00,59439.0
0,2020-06-26 00:00:00,60588.0
0,2020-06-27 00:00:00,61748.0
0,2020-06-28 00:00:00,62919.0
0,2020-06-29 00:00:00,64101.0
0,2020-06-30 00:00:00,65294.0
0,2020-07-01 00:00:00,66498.0
0,2020-07-02 00:00:00,67713.0
0,2020-07-03 00:00:00,68939.0
0,2020-07-04 00:00:00,70176.0
0,2020-07-05 00:00:00,71424.0
0,2020-07-06 00:00:00,72683.0
0,2020-07-07 00:00:00,73953.0
0,2020-07-08 00:00:00,75234.0
0,2020-07-09 00:00:00,76526.0
0,2020-07-10 00:00:00,77829.0
0,2020-07-11 00:00:00,79143.0
0,2020-07-12 00:00:00,80468.0
0,2020-07-13 00:00:00,81804.0
0,2020-07-14 00:00:00,83151.0
0,2020-07-15 00:00:00,84509.0
0,2020-07-16 00:00:00,85878.0
0,2020-07-17 00:00:00,87258.0
0,2020-07-18 00:00:00,88649.0
0,2020-07-19 00:00:00,90051.0
0,2020-07-20 00:00:00,91464.0
0,2020-07-21 00:00:00,92888.0
0,2020-07-22 00:00:00,94323.0
0,2020-07-23 00:00:00,95769.0
0,2020-07-24 00:00:00,97226.0
0,2020-07-25 00:00:00,98694.0
0,2020-07-26 00:00:00,100173.0
0,2020-07-27 00:00:00,101663.0
0,2020-07-28 00:00:00,103164.0
0,2020-07-29 00:00:00,104676.0
0,2020-07-30 00:00:00,106199.0
0,2020-07-31 00:00:00,107733.0
0,2020-08-01 00:00:00,109278.0
0,2020-08-02 00:00:00,110834.0
0,2020-08-03 00:00:00,112401.0
0,2020-08-04 00:00:00,113979.0
0,2020-08-05 00:00:00,115568.0
0,2020-08-06 00:00:00,117168.0
0,2020-08-07 00:00:00,118779.0
