,date,cases
0,2020-03-06,1.0
1,2020-03-07,1.0
2,2020-03-08,1.0
3,2020-03-09,1.0
4,2020-03-10,2.0
5,2020-03-11,2.0
6,2020-03-12,2.0
7,2020-03-13,3.0
8,2020-03-14,4.0
9,2020-03-15,8.0
10,2020-03-16,10.0
11,2020-03-17,18.0
12,2020-03-18,29.0
13,2020-03-19,44.0
14,2020-03-20,49.0
15,2020-03-21,53.0
16,2020-03-22,67.0
17,2020-03-23,81.0
18,2020-03-24,106.0
19,2020-03-25,164.0
20,2020-03-26,248.0
21,2020-03-27,322.0
22,2020-03-28,377.0
23,2020-03-29,429.0
24,2020-03-30,481.0
25,2020-03-31,566.0
26,2020-04-01,719.0
27,2020-04-02,879.0
0,2020-04-02 00:00:00,1056.0
0,2020-04-03 00:00:00,1250.0
0,2020-04-04 00:00:00,1461.0
0,2020-04-05 00:00:00,1689.0
0,2020-04-06 00:00:00,1934.0
0,2020-04-07 00:00:00,2196.0
0,2020-04-08 00:00:00,2475.0
0,2020-04-09 00:00:00,2771.0
0,2020-04-10 00:00:00,3084.0
0,2020-04-11 00:00:00,3414.0
0,2020-04-12 00:00:00,3761.0
0,2020-04-13 00:00:00,4125.0
0,2020-04-14 00:00:00,4506.0
0,2020-04-15 00:00:00,4904.0
0,2020-04-16 00:00:00,5319.0
0,2020-04-17 00:00:00,5751.0
0,2020-04-18 00:00:00,6200.0
0,2020-04-19 00:00:00,6666.0
0,2020-04-20 00:00:00,7149.0
0,2020-04-21 00:00:00,7649.0
0,2020-04-22 00:00:00,8166.0
0,2020-04-23 00:00:00,8700.0
0,2020-04-24 00:00:00,9251.0
0,2020-04-25 00:00:00,9819.0
0,2020-04-26 00:00:00,10404.0
0,2020-04-27 00:00:00,11006.0
0,2020-04-28 00:00:00,11625.0
0,2020-04-29 00:00:00,12261.0
0,2020-04-30 00:00:00,12914.0
0,2020-05-01 00:00:00,13584.0
0,2020-05-02 00:00:00,14271.0
0,2020-05-03 00:00:00,14975.0
0,2020-05-04 00:00:00,15696.0
0,2020-05-05 00:00:00,16434.0
0,2020-05-06 00:00:00,17189.0
0,2020-05-07 00:00:00,17961.0
0,2020-05-08 00:00:00,18750.0
0,2020-05-09 00:00:00,19556.0
0,2020-05-10 00:00:00,20379.0
0,2020-05-11 00:00:00,21219.0
0,2020-05-12 00:00:00,22076.0
0,2020-05-13 00:00:00,22950.0
0,2020-05-14 00:00:00,23841.0
0,2020-05-15 00:00:00,24749.0
0,2020-05-16 00:00:00,25674.0
0,2020-05-17 00:00:00,26616.0
0,2020-05-18 00:00:00,27575.0
0,2020-05-19 00:00:00,28551.0
0,2020-05-20 00:00:00,29544.0
0,2020-05-21 00:00:00,30554.0
0,2020-05-22 00:00:00,31581.0
0,2020-05-23 00:00:00,32625.0
0,2020-05-24 00:00:00,33686.0
0,2020-05-25 00:00:00,34764.0
0,2020-05-26 00:00:00,35859.0
0,2020-05-27 00:00:00,36971.0
0,2020-05-28 00:00:00,38100.0
0,2020-05-29 00:00:00,39246.0
0,2020-05-30 00:00:00,40409.0
0,2020-05-31 00:00:00,41589.0
0,2020-06-01 00:00:00,42786.0
0,2020-06-02 00:00:00,44000.0
0,2020-06-03 00:00:00,45231.0
0,2020-06-04 00:00:00,46479.0
0,2020-06-05 00:00:00,47744.0
0,2020-06-06 00:00:00,49026.0
0,2020-06-07 00:00:00,50325.0
0,2020-06-08 00:00:00,51641.0
0,2020-06-09 00:00:00,52974.0
0,2020-06-10 00:00:00,54324.0
0,2020-06-11 00:00:00,55691.0
0,2020-06-12 00:00:00,57075.0
0,2020-06-13 00:00:00,58476.0
0,2020-06-14 00:00:00,59894.0
0,2020-06-15 00:00:00,61329.0
0,2020-06-16 00:00:00,62781.0
0,2020-06-17 00:00:00,64250.0
0,2020-06-18 00:00:00,65736.0
0,2020-06-19 00:00:00,67239.0
0,2020-06-20 00:00:00,68759.0
0,2020-06-21 00:00:00,70296.0
0,2020-06-22 00:00:00,71850.0
0,2020-06-23 00:00:00,73421.0
0,2020-06-24 00:00:00,75009.0
0,2020-06-25 00:00:00,76614.0
0,2020-06-26 00:00:00,78236.0
0,2020-06-27 00:00:00,79875.0
0,2020-06-28 00:00:00,81531.0
0,2020-06-29 00:00:00,83204.0
0,2020-06-30 00:00:00,84894.0
0,2020-07-01 00:00:00,86601.0
0,2020-07-02 00:00:00,88325.0
0,2020-07-03 00:00:00,90066.0
0,2020-07-04 00:00:00,91824.0
0,2020-07-05 00:00:00,93599.0
0,2020-07-06 00:00:00,95391.0
0,2020-07-07 00:00:00,97200.0
0,2020-07-08 00:00:00,99026.0
0,2020-07-09 00:00:00,100869.0
0,2020-07-10 00:00:00,102729.0
0,2020-07-11 00:00:00,104606.0
0,2020-07-12 00:00:00,106500.0
0,2020-07-13 00:00:00,108411.0
0,2020-07-14 00:00:00,110339.0
0,2020-07-15 00:00:00,112284.0
0,2020-07-16 00:00:00,114246.0
0,2020-07-17 00:00:00,116225.0
0,2020-07-18 00:00:00,118221.0
0,2020-07-19 00:00:00,120234.0
0,2020-07-20 00:00:00,122264.0
0,2020-07-21 00:00:00,124311.0
0,2020-07-22 00:00:00,126375.0
0,2020-07-23 00:00:00,128456.0
0,2020-07-24 00:00:00,130554.0
0,2020-07-25 00:00:00,132669.0
0,2020-07-26 00:00:00,134801.0
0,2020-07-27 00:00:00,136950.0
0,2020-07-28 00:00:00,139116.0
0,2020-07-29 00:00:00,141299.0
0,2020-07-30 00:00:00,143499.0
0,2020-07-31 00:00:00,145716.0
0,2020-08-01 00:00:00,147950.0
0,2020-08-02 00:00:00,150201.0
0,2020-08-03 00:00:00,152469.0
0,2020-08-04 00:00:00,154754.0
0,2020-08-05 00:00:00,157056.0
0,2020-08-06 00:00:00,159375.0
0,2020-08-07 00:00:00,161711.0
0,2020-08-08 00:00:00,164064.0
0,2020-08-09 00:00:00,166434.0
0,2020-08-10 00:00:00,168821.0
0,2020-08-11 00:00:00,171225.0
0,2020-08-12 00:00:00,173646.0
