,date,cases
0,2020-02-28,1.0
1,2020-02-29,1.0
2,2020-03-01,2.0
3,2020-03-02,2.0
4,2020-03-03,2.0
5,2020-03-04,2.0
6,2020-03-05,2.0
7,2020-03-06,2.0
8,2020-03-07,6.0
9,2020-03-08,13.0
10,2020-03-09,13.0
11,2020-03-10,14.0
12,2020-03-11,20.0
13,2020-03-12,30.0
14,2020-03-13,30.0
15,2020-03-14,36.0
16,2020-03-15,39.0
17,2020-03-16,46.0
18,2020-03-17,66.0
19,2020-03-18,74.0
20,2020-03-19,87.0
21,2020-03-20,114.0
22,2020-03-21,137.0
23,2020-03-22,161.0
24,2020-03-23,191.0
0,2020-03-23 00:00:00,224.0
0,2020-03-24 00:00:00,260.0
0,2020-03-25 00:00:00,299.0
0,2020-03-26 00:00:00,341.0
0,2020-03-27 00:00:00,386.0
0,2020-03-28 00:00:00,434.0
0,2020-03-29 00:00:00,485.0
0,2020-03-30 00:00:00,539.0
0,2020-03-31 00:00:00,596.0
0,2020-04-01 00:00:00,656.0
0,2020-04-02 00:00:00,719.0
0,2020-04-03 00:00:00,785.0
0,2020-04-04 00:00:00,854.0
0,2020-04-05 00:00:00,926.0
0,2020-04-06 00:00:00,1001.0
0,2020-04-07 00:00:00,1079.0
0,2020-04-08 00:00:00,1160.0
0,2020-04-09 00:00:00,1244.0
0,2020-04-10 00:00:00,1331.0
0,2020-04-11 00:00:00,1421.0
0,2020-04-12 00:00:00,1514.0
0,2020-04-13 00:00:00,1610.0
0,2020-04-14 00:00:00,1709.0
0,2020-04-15 00:00:00,1811.0
0,2020-04-16 00:00:00,1916.0
0,2020-04-17 00:00:00,2024.0
0,2020-04-18 00:00:00,2135.0
0,2020-04-19 00:00:00,2249.0
0,2020-04-20 00:00:00,2366.0
0,2020-04-21 00:00:00,2486.0
0,2020-04-22 00:00:00,2609.0
0,2020-04-23 00:00:00,2735.0
0,2020-04-24 00:00:00,2864.0
0,2020-04-25 00:00:00,2996.0
0,2020-04-26 00:00:00,3131.0
0,2020-04-27 00:00:00,3269.0
0,2020-04-28 00:00:00,3410.0
0,2020-04-29 00:00:00,3554.0
0,2020-04-30 00:00:00,3701.0
0,2020-05-01 00:00:00,3851.0
0,2020-05-02 00:00:00,4004.0
0,2020-05-03 00:00:00,4160.0
0,2020-05-04 00:00:00,4319.0
0,2020-05-05 00:00:00,4481.0
0,2020-05-06 00:00:00,4646.0
0,2020-05-07 00:00:00,4814.0
0,2020-05-08 00:00:00,4985.0
0,2020-05-09 00:00:00,5159.0
0,2020-05-10 00:00:00,5336.0
0,2020-05-11 00:00:00,5516.0
0,2020-05-12 00:00:00,5699.0
0,2020-05-13 00:00:00,5885.0
0,2020-05-14 00:00:00,6074.0
0,2020-05-15 00:00:00,6266.0
0,2020-05-16 00:00:00,6461.0
0,2020-05-17 00:00:00,6659.0
0,2020-05-18 00:00:00,6860.0
0,2020-05-19 00:00:00,7064.0
0,2020-05-20 00:00:00,7271.0
0,2020-05-21 00:00:00,7481.0
0,2020-05-22 00:00:00,7694.0
0,2020-05-23 00:00:00,7910.0
0,2020-05-24 00:00:00,8129.0
0,2020-05-25 00:00:00,8351.0
0,2020-05-26 00:00:00,8576.0
0,2020-05-27 00:00:00,8804.0
0,2020-05-28 00:00:00,9035.0
0,2020-05-29 00:00:00,9269.0
0,2020-05-30 00:00:00,9506.0
0,2020-05-31 00:00:00,9746.0
0,2020-06-01 00:00:00,9989.0
0,2020-06-02 00:00:00,10235.0
0,2020-06-03 00:00:00,10484.0
0,2020-06-04 00:00:00,10736.0
0,2020-06-05 00:00:00,10991.0
0,2020-06-06 00:00:00,11249.0
0,2020-06-07 00:00:00,11510.0
0,2020-06-08 00:00:00,11774.0
0,2020-06-09 00:00:00,12041.0
0,2020-06-10 00:00:00,12311.0
0,2020-06-11 00:00:00,12584.0
0,2020-06-12 00:00:00,12860.0
0,2020-06-13 00:00:00,13139.0
0,2020-06-14 00:00:00,13421.0
0,2020-06-15 00:00:00,13706.0
0,2020-06-16 00:00:00,13994.0
0,2020-06-17 00:00:00,14285.0
0,2020-06-18 00:00:00,14579.0
0,2020-06-19 00:00:00,14876.0
0,2020-06-20 00:00:00,15176.0
0,2020-06-21 00:00:00,15479.0
0,2020-06-22 00:00:00,15785.0
0,2020-06-23 00:00:00,16094.0
0,2020-06-24 00:00:00,16406.0
0,2020-06-25 00:00:00,16721.0
0,2020-06-26 00:00:00,17039.0
0,2020-06-27 00:00:00,17360.0
0,2020-06-28 00:00:00,17684.0
0,2020-06-29 00:00:00,18011.0
0,2020-06-30 00:00:00,18341.0
0,2020-07-01 00:00:00,18674.0
0,2020-07-02 00:00:00,19010.0
0,2020-07-03 00:00:00,19349.0
0,2020-07-04 00:00:00,19691.0
0,2020-07-05 00:00:00,20036.0
0,2020-07-06 00:00:00,20384.0
0,2020-07-07 00:00:00,20735.0
0,2020-07-08 00:00:00,21089.0
0,2020-07-09 00:00:00,21446.0
0,2020-07-10 00:00:00,21806.0
0,2020-07-11 00:00:00,22169.0
0,2020-07-12 00:00:00,22535.0
0,2020-07-13 00:00:00,22904.0
0,2020-07-14 00:00:00,23276.0
0,2020-07-15 00:00:00,23651.0
0,2020-07-16 00:00:00,24029.0
0,2020-07-17 00:00:00,24410.0
0,2020-07-18 00:00:00,24794.0
0,2020-07-19 00:00:00,25181.0
0,2020-07-20 00:00:00,25571.0
0,2020-07-21 00:00:00,25964.0
0,2020-07-22 00:00:00,26360.0
0,2020-07-23 00:00:00,26759.0
0,2020-07-24 00:00:00,27161.0
0,2020-07-25 00:00:00,27566.0
0,2020-07-26 00:00:00,27974.0
0,2020-07-27 00:00:00,28385.0
0,2020-07-28 00:00:00,28799.0
0,2020-07-29 00:00:00,29216.0
0,2020-07-30 00:00:00,29636.0
0,2020-07-31 00:00:00,30059.0
0,2020-08-01 00:00:00,30485.0
0,2020-08-02 00:00:00,30914.0
0,2020-08-03 00:00:00,31346.0
0,2020-08-04 00:00:00,31781.0
0,2020-08-05 00:00:00,32219.0
0,2020-08-06 00:00:00,32660.0
0,2020-08-07 00:00:00,33104.0
0,2020-08-08 00:00:00,33551.0
0,2020-08-09 00:00:00,34001.0
0,2020-08-10 00:00:00,34454.0
0,2020-08-11 00:00:00,34910.0
0,2020-08-12 00:00:00,35369.0
