,date,cases
0,2020-03-06,2.0
1,2020-03-07,4.0
2,2020-03-08,6.0
3,2020-03-09,10.0
4,2020-03-10,12.0
5,2020-03-11,16.0
6,2020-03-12,22.0
7,2020-03-13,41.0
8,2020-03-14,47.0
9,2020-03-15,68.0
10,2020-03-16,81.0
11,2020-03-17,101.0
12,2020-03-18,139.0
13,2020-03-19,187.0
14,2020-03-20,269.0
15,2020-03-21,388.0
16,2020-03-22,504.0
17,2020-03-23,644.0
18,2020-03-24,851.0
19,2020-03-25,1151.0
20,2020-03-26,1690.0
21,2020-03-27,2217.0
22,2020-03-28,2815.0
23,2020-03-29,3441.0
24,2020-03-30,4156.0
25,2020-03-31,4997.0
26,2020-04-01,5805.0
0,2020-04-01 00:00:00,6675.0
0,2020-04-02 00:00:00,7607.0
0,2020-04-03 00:00:00,8601.0
0,2020-04-04 00:00:00,9657.0
0,2020-04-05 00:00:00,10775.0
0,2020-04-06 00:00:00,11955.0
0,2020-04-07 00:00:00,13197.0
0,2020-04-08 00:00:00,14501.0
0,2020-04-09 00:00:00,15867.0
0,2020-04-10 00:00:00,17295.0
0,2020-04-11 00:00:00,18785.0
0,2020-04-12 00:00:00,20337.0
0,2020-04-13 00:00:00,21951.0
0,2020-04-14 00:00:00,23627.0
0,2020-04-15 00:00:00,25365.0
0,2020-04-16 00:00:00,27165.0
0,2020-04-17 00:00:00,29027.0
0,2020-04-18 00:00:00,30951.0
0,2020-04-19 00:00:00,32937.0
0,2020-04-20 00:00:00,34985.0
0,2020-04-21 00:00:00,37095.0
0,2020-04-22 00:00:00,39267.0
0,2020-04-23 00:00:00,41501.0
0,2020-04-24 00:00:00,43797.0
0,2020-04-25 00:00:00,46155.0
0,2020-04-26 00:00:00,48575.0
0,2020-04-27 00:00:00,51057.0
0,2020-04-28 00:00:00,53601.0
0,2020-04-29 00:00:00,56207.0
0,2020-04-30 00:00:00,58875.0
0,2020-05-01 00:00:00,61605.0
0,2020-05-02 00:00:00,64397.0
0,2020-05-03 00:00:00,67251.0
0,2020-05-04 00:00:00,70167.0
0,2020-05-05 00:00:00,73145.0
0,2020-05-06 00:00:00,76185.0
0,2020-05-07 00:00:00,79287.0
0,2020-05-08 00:00:00,82451.0
0,2020-05-09 00:00:00,85677.0
0,2020-05-10 00:00:00,88965.0
0,2020-05-11 00:00:00,92315.0
0,2020-05-12 00:00:00,95727.0
0,2020-05-13 00:00:00,99201.0
0,2020-05-14 00:00:00,102737.0
0,2020-05-15 00:00:00,106335.0
0,2020-05-16 00:00:00,109995.0
0,2020-05-17 00:00:00,113717.0
0,2020-05-18 00:00:00,117501.0
0,2020-05-19 00:00:00,121347.0
0,2020-05-20 00:00:00,125255.0
0,2020-05-21 00:00:00,129225.0
0,2020-05-22 00:00:00,133257.0
0,2020-05-23 00:00:00,137351.0
0,2020-05-24 00:00:00,141507.0
0,2020-05-25 00:00:00,145725.0
0,2020-05-26 00:00:00,150005.0
0,2020-05-27 00:00:00,154347.0
0,2020-05-28 00:00:00,158751.0
0,2020-05-29 00:00:00,163217.0
0,2020-05-30 00:00:00,167745.0
0,2020-05-31 00:00:00,172335.0
0,2020-06-01 00:00:00,176987.0
0,2020-06-02 00:00:00,181701.0
0,2020-06-03 00:00:00,186477.0
0,2020-06-04 00:00:00,191315.0
0,2020-06-05 00:00:00,196215.0
0,2020-06-06 00:00:00,201177.0
0,2020-06-07 00:00:00,206201.0
0,2020-06-08 00:00:00,211287.0
0,2020-06-09 00:00:00,216435.0
0,2020-06-10 00:00:00,221645.0
0,2020-06-11 00:00:00,226917.0
0,2020-06-12 00:00:00,232251.0
0,2020-06-13 00:00:00,237647.0
0,2020-06-14 00:00:00,243105.0
0,2020-06-15 00:00:00,248625.0
0,2020-06-16 00:00:00,254207.0
0,2020-06-17 00:00:00,259851.0
0,2020-06-18 00:00:00,265557.0
0,2020-06-19 00:00:00,271325.0
0,2020-06-20 00:00:00,277155.0
0,2020-06-21 00:00:00,283047.0
0,2020-06-22 00:00:00,289001.0
0,2020-06-23 00:00:00,295017.0
0,2020-06-24 00:00:00,301095.0
0,2020-06-25 00:00:00,307235.0
0,2020-06-26 00:00:00,313437.0
0,2020-06-27 00:00:00,319701.0
0,2020-06-28 00:00:00,326027.0
0,2020-06-29 00:00:00,332415.0
0,2020-06-30 00:00:00,338865.0
0,2020-07-01 00:00:00,345377.0
0,2020-07-02 00:00:00,351951.0
0,2020-07-03 00:00:00,358587.0
0,2020-07-04 00:00:00,365285.0
0,2020-07-05 00:00:00,372045.0
0,2020-07-06 00:00:00,378867.0
0,2020-07-07 00:00:00,385751.0
0,2020-07-08 00:00:00,392697.0
0,2020-07-09 00:00:00,399705.0
0,2020-07-10 00:00:00,406775.0
