,date,cases
0,2020-03-01,2.0
1,2020-03-02,2.0
2,2020-03-03,2.0
3,2020-03-04,2.0
4,2020-03-05,2.0
5,2020-03-06,3.0
6,2020-03-07,3.0
7,2020-03-08,3.0
8,2020-03-09,3.0
9,2020-03-10,5.0
10,2020-03-11,5.0
11,2020-03-12,5.0
12,2020-03-13,20.0
13,2020-03-14,20.0
14,2020-03-15,20.0
15,2020-03-16,21.0
16,2020-03-17,23.0
17,2020-03-18,33.0
18,2020-03-19,44.0
19,2020-03-20,44.0
20,2020-03-21,66.0
21,2020-03-22,83.0
22,2020-03-23,106.0
23,2020-03-24,124.0
24,2020-03-25,132.0
25,2020-03-26,165.0
26,2020-03-27,203.0
27,2020-03-28,239.0
0,2020-03-28 00:00:00,278.0
0,2020-03-29 00:00:00,320.0
0,2020-03-30 00:00:00,365.0
0,2020-03-31 00:00:00,413.0
0,2020-04-01 00:00:00,464.0
0,2020-04-02 00:00:00,518.0
0,2020-04-03 00:00:00,575.0
0,2020-04-04 00:00:00,635.0
0,2020-04-05 00:00:00,698.0
0,2020-04-06 00:00:00,764.0
0,2020-04-07 00:00:00,833.0
0,2020-04-08 00:00:00,905.0
0,2020-04-09 00:00:00,980.0
0,2020-04-10 00:00:00,1058.0
0,2020-04-11 00:00:00,1139.0
0,2020-04-12 00:00:00,1223.0
0,2020-04-13 00:00:00,1310.0
0,2020-04-14 00:00:00,1400.0
0,2020-04-15 00:00:00,1493.0
0,2020-04-16 00:00:00,1589.0
0,2020-04-17 00:00:00,1688.0
0,2020-04-18 00:00:00,1790.0
0,2020-04-19 00:00:00,1895.0
0,2020-04-20 00:00:00,2003.0
0,2020-04-21 00:00:00,2114.0
0,2020-04-22 00:00:00,2228.0
0,2020-04-23 00:00:00,2345.0
0,2020-04-24 00:00:00,2465.0
0,2020-04-25 00:00:00,2588.0
0,2020-04-26 00:00:00,2714.0
0,2020-04-27 00:00:00,2843.0
0,2020-04-28 00:00:00,2975.0
0,2020-04-29 00:00:00,3110.0
0,2020-04-30 00:00:00,3248.0
0,2020-05-01 00:00:00,3389.0
0,2020-05-02 00:00:00,3533.0
0,2020-05-03 00:00:00,3680.0
0,2020-05-04 00:00:00,3830.0
0,2020-05-05 00:00:00,3983.0
0,2020-05-06 00:00:00,4139.0
0,2020-05-07 00:00:00,4298.0
0,2020-05-08 00:00:00,4460.0
0,2020-05-09 00:00:00,4625.0
0,2020-05-10 00:00:00,4793.0
0,2020-05-11 00:00:00,4964.0
0,2020-05-12 00:00:00,5138.0
0,2020-05-13 00:00:00,5315.0
0,2020-05-14 00:00:00,5495.0
0,2020-05-15 00:00:00,5678.0
0,2020-05-16 00:00:00,5864.0
0,2020-05-17 00:00:00,6053.0
