,date,cases
0,2020-03-06,2.0
1,2020-03-07,2.0
2,2020-03-08,6.0
3,2020-03-09,7.0
4,2020-03-10,9.0
5,2020-03-11,10.0
6,2020-03-12,12.0
7,2020-03-13,13.0
8,2020-03-14,19.0
9,2020-03-15,28.0
10,2020-03-16,33.0
11,2020-03-17,47.0
12,2020-03-18,60.0
13,2020-03-19,81.0
14,2020-03-20,126.0
15,2020-03-21,172.0
16,2020-03-22,194.0
17,2020-03-23,299.0
18,2020-03-24,342.0
19,2020-03-25,425.0
20,2020-03-26,456.0
21,2020-03-27,542.0
22,2020-03-28,661.0
23,2020-03-29,775.0
24,2020-03-30,925.0
25,2020-03-31,1083.0
26,2020-04-01,1293.0
27,2020-04-02,1554.0
28,2020-04-03,1700.0
29,2020-04-04,1917.0
30,2020-04-05,2049.0
31,2020-04-06,2232.0
32,2020-04-07,2417.0
0,2020-04-07 00:00:00,2609.0
0,2020-04-08 00:00:00,2808.0
0,2020-04-09 00:00:00,3014.0
0,2020-04-10 00:00:00,3227.0
0,2020-04-11 00:00:00,3447.0
0,2020-04-12 00:00:00,3674.0
0,2020-04-13 00:00:00,3908.0
0,2020-04-14 00:00:00,4149.0
0,2020-04-15 00:00:00,4397.0
0,2020-04-16 00:00:00,4652.0
0,2020-04-17 00:00:00,4914.0
0,2020-04-18 00:00:00,5183.0
0,2020-04-19 00:00:00,5459.0
0,2020-04-20 00:00:00,5742.0
0,2020-04-21 00:00:00,6032.0
0,2020-04-22 00:00:00,6329.0
0,2020-04-23 00:00:00,6633.0
0,2020-04-24 00:00:00,6944.0
0,2020-04-25 00:00:00,7262.0
0,2020-04-26 00:00:00,7587.0
0,2020-04-27 00:00:00,7919.0
0,2020-04-28 00:00:00,8258.0
0,2020-04-29 00:00:00,8604.0
0,2020-04-30 00:00:00,8957.0
0,2020-05-01 00:00:00,9317.0
0,2020-05-02 00:00:00,9684.0
0,2020-05-03 00:00:00,10058.0
0,2020-05-04 00:00:00,10439.0
0,2020-05-05 00:00:00,10827.0
0,2020-05-06 00:00:00,11222.0
0,2020-05-07 00:00:00,11624.0
0,2020-05-08 00:00:00,12033.0
0,2020-05-09 00:00:00,12449.0
0,2020-05-10 00:00:00,12872.0
0,2020-05-11 00:00:00,13302.0
0,2020-05-12 00:00:00,13739.0
0,2020-05-13 00:00:00,14183.0
0,2020-05-14 00:00:00,14634.0
0,2020-05-15 00:00:00,15092.0
0,2020-05-16 00:00:00,15557.0
0,2020-05-17 00:00:00,16029.0
0,2020-05-18 00:00:00,16508.0
0,2020-05-19 00:00:00,16994.0
0,2020-05-20 00:00:00,17487.0
0,2020-05-21 00:00:00,17987.0
0,2020-05-22 00:00:00,18494.0
0,2020-05-23 00:00:00,19008.0
0,2020-05-24 00:00:00,19529.0
