,date,cases
0,2020-03-05,1.0
1,2020-03-06,1.0
2,2020-03-07,1.0
3,2020-03-08,3.0
4,2020-03-09,4.0
5,2020-03-10,7.0
6,2020-03-11,8.0
7,2020-03-12,18.0
8,2020-03-13,26.0
9,2020-03-14,32.0
10,2020-03-15,39.0
11,2020-03-16,52.0
12,2020-03-17,73.0
13,2020-03-18,98.0
14,2020-03-19,155.0
15,2020-03-20,237.0
16,2020-03-21,312.0
17,2020-03-22,424.0
18,2020-03-23,522.0
19,2020-03-24,678.0
20,2020-03-25,806.0
21,2020-03-26,981.0
22,2020-03-27,1180.0
23,2020-03-28,1363.0
24,2020-03-29,1569.0
25,2020-03-30,1721.0
26,2020-03-31,2049.0
27,2020-04-01,2689.0
28,2020-04-02,2868.0
0,2020-04-02 00:00:00,3053.0
0,2020-04-03 00:00:00,3244.0
0,2020-04-04 00:00:00,3441.0
0,2020-04-05 00:00:00,3644.0
0,2020-04-06 00:00:00,3853.0
0,2020-04-07 00:00:00,4068.0
0,2020-04-08 00:00:00,4289.0
0,2020-04-09 00:00:00,4516.0
0,2020-04-10 00:00:00,4749.0
0,2020-04-11 00:00:00,4988.0
0,2020-04-12 00:00:00,5233.0
0,2020-04-13 00:00:00,5484.0
0,2020-04-14 00:00:00,5741.0
0,2020-04-15 00:00:00,6004.0
0,2020-04-16 00:00:00,6273.0
0,2020-04-17 00:00:00,6548.0
0,2020-04-18 00:00:00,6829.0
0,2020-04-19 00:00:00,7116.0
0,2020-04-20 00:00:00,7409.0
0,2020-04-21 00:00:00,7708.0
0,2020-04-22 00:00:00,8013.0
0,2020-04-23 00:00:00,8324.0
0,2020-04-24 00:00:00,8641.0
0,2020-04-25 00:00:00,8964.0
0,2020-04-26 00:00:00,9293.0
0,2020-04-27 00:00:00,9628.0
0,2020-04-28 00:00:00,9969.0
0,2020-04-29 00:00:00,10316.0
0,2020-04-30 00:00:00,10669.0
0,2020-05-01 00:00:00,11028.0
0,2020-05-02 00:00:00,11393.0
0,2020-05-03 00:00:00,11764.0
0,2020-05-04 00:00:00,12141.0
0,2020-05-05 00:00:00,12524.0
0,2020-05-06 00:00:00,12913.0
0,2020-05-07 00:00:00,13308.0
0,2020-05-08 00:00:00,13709.0
0,2020-05-09 00:00:00,14116.0
0,2020-05-10 00:00:00,14529.0
0,2020-05-11 00:00:00,14948.0
0,2020-05-12 00:00:00,15373.0
0,2020-05-13 00:00:00,15804.0
0,2020-05-14 00:00:00,16241.0
0,2020-05-15 00:00:00,16684.0
0,2020-05-16 00:00:00,17133.0
0,2020-05-17 00:00:00,17588.0
0,2020-05-18 00:00:00,18049.0
0,2020-05-19 00:00:00,18516.0
0,2020-05-20 00:00:00,18989.0
0,2020-05-21 00:00:00,19468.0
0,2020-05-22 00:00:00,19953.0
0,2020-05-23 00:00:00,20444.0
0,2020-05-24 00:00:00,20941.0
0,2020-05-25 00:00:00,21444.0
0,2020-05-26 00:00:00,21953.0
0,2020-05-27 00:00:00,22468.0
0,2020-05-28 00:00:00,22989.0
0,2020-05-29 00:00:00,23516.0
0,2020-05-30 00:00:00,24049.0
0,2020-05-31 00:00:00,24588.0
0,2020-06-01 00:00:00,25133.0
0,2020-06-02 00:00:00,25684.0
0,2020-06-03 00:00:00,26241.0
0,2020-06-04 00:00:00,26804.0
0,2020-06-05 00:00:00,27373.0
0,2020-06-06 00:00:00,27948.0
0,2020-06-07 00:00:00,28529.0
0,2020-06-08 00:00:00,29116.0
0,2020-06-09 00:00:00,29709.0
0,2020-06-10 00:00:00,30308.0
0,2020-06-11 00:00:00,30913.0
0,2020-06-12 00:00:00,31524.0
0,2020-06-13 00:00:00,32141.0
0,2020-06-14 00:00:00,32764.0
0,2020-06-15 00:00:00,33393.0
0,2020-06-16 00:00:00,34028.0
0,2020-06-17 00:00:00,34669.0
0,2020-06-18 00:00:00,35316.0
0,2020-06-19 00:00:00,35969.0
0,2020-06-20 00:00:00,36628.0
0,2020-06-21 00:00:00,37293.0
0,2020-06-22 00:00:00,37964.0
0,2020-06-23 00:00:00,38641.0
0,2020-06-24 00:00:00,39324.0
0,2020-06-25 00:00:00,40013.0
0,2020-06-26 00:00:00,40708.0
0,2020-06-27 00:00:00,41409.0
0,2020-06-28 00:00:00,42116.0
0,2020-06-29 00:00:00,42829.0
0,2020-06-30 00:00:00,43548.0
0,2020-07-01 00:00:00,44273.0
0,2020-07-02 00:00:00,45004.0
0,2020-07-03 00:00:00,45741.0
0,2020-07-04 00:00:00,46484.0
0,2020-07-05 00:00:00,47233.0
0,2020-07-06 00:00:00,47988.0
0,2020-07-07 00:00:00,48749.0
0,2020-07-08 00:00:00,49516.0
0,2020-07-09 00:00:00,50289.0
0,2020-07-10 00:00:00,51068.0
0,2020-07-11 00:00:00,51853.0
0,2020-07-12 00:00:00,52644.0
0,2020-07-13 00:00:00,53441.0
0,2020-07-14 00:00:00,54244.0
0,2020-07-15 00:00:00,55053.0
0,2020-07-16 00:00:00,55868.0
0,2020-07-17 00:00:00,56689.0
0,2020-07-18 00:00:00,57516.0
0,2020-07-19 00:00:00,58349.0
0,2020-07-20 00:00:00,59188.0
0,2020-07-21 00:00:00,60033.0
0,2020-07-22 00:00:00,60884.0
0,2020-07-23 00:00:00,61741.0
0,2020-07-24 00:00:00,62604.0
0,2020-07-25 00:00:00,63473.0
0,2020-07-26 00:00:00,64348.0
0,2020-07-27 00:00:00,65229.0
0,2020-07-28 00:00:00,66116.0
0,2020-07-29 00:00:00,67009.0
0,2020-07-30 00:00:00,67908.0
0,2020-07-31 00:00:00,68813.0
0,2020-08-01 00:00:00,69724.0
0,2020-08-02 00:00:00,70641.0
0,2020-08-03 00:00:00,71564.0
0,2020-08-04 00:00:00,72493.0
0,2020-08-05 00:00:00,73428.0
0,2020-08-06 00:00:00,74369.0
0,2020-08-07 00:00:00,75316.0
0,2020-08-08 00:00:00,76269.0
0,2020-08-09 00:00:00,77228.0
0,2020-08-10 00:00:00,78193.0
0,2020-08-11 00:00:00,79164.0
0,2020-08-12 00:00:00,80141.0
