,date,cases
0,2020-02-12,1.0
1,2020-02-13,2.0
2,2020-02-14,2.0
3,2020-02-15,2.0
4,2020-02-16,2.0
5,2020-02-17,2.0
6,2020-02-18,2.0
7,2020-02-19,2.0
8,2020-02-20,2.0
9,2020-02-21,4.0
10,2020-02-22,4.0
11,2020-02-23,4.0
12,2020-02-24,10.0
13,2020-02-25,10.0
14,2020-02-26,10.0
15,2020-02-27,10.0
16,2020-02-28,11.0
17,2020-02-29,11.0
18,2020-03-01,11.0
19,2020-03-02,11.0
20,2020-03-03,11.0
21,2020-03-04,12.0
22,2020-03-05,16.0
23,2020-03-06,19.0
24,2020-03-07,19.0
25,2020-03-08,23.0
26,2020-03-09,24.0
27,2020-03-10,31.0
28,2020-03-11,33.0
29,2020-03-12,41.0
30,2020-03-13,58.0
31,2020-03-14,69.0
32,2020-03-15,80.0
33,2020-03-16,87.0
34,2020-03-17,106.0
35,2020-03-18,166.0
36,2020-03-19,248.0
37,2020-03-20,386.0
38,2020-03-21,547.0
39,2020-03-22,639.0
40,2020-03-23,728.0
41,2020-03-24,857.0
42,2020-03-25,1132.0
43,2020-03-26,1542.0
44,2020-03-27,1971.0
45,2020-03-28,2381.0
46,2020-03-29,2722.0
47,2020-03-30,3065.0
48,2020-03-31,3588.0
49,2020-04-01,4402.0
50,2020-04-02,4952.0
0,2020-04-02 00:00:00,5535.0
0,2020-04-03 00:00:00,6151.0
0,2020-04-04 00:00:00,6800.0
0,2020-04-05 00:00:00,7482.0
0,2020-04-06 00:00:00,8197.0
0,2020-04-07 00:00:00,8945.0
0,2020-04-08 00:00:00,9726.0
0,2020-04-09 00:00:00,10540.0
0,2020-04-10 00:00:00,11387.0
0,2020-04-11 00:00:00,12267.0
0,2020-04-12 00:00:00,13180.0
0,2020-04-13 00:00:00,14126.0
0,2020-04-14 00:00:00,15105.0
0,2020-04-15 00:00:00,16117.0
0,2020-04-16 00:00:00,17162.0
0,2020-04-17 00:00:00,18240.0
0,2020-04-18 00:00:00,19351.0
0,2020-04-19 00:00:00,20495.0
0,2020-04-20 00:00:00,21672.0
0,2020-04-21 00:00:00,22882.0
0,2020-04-22 00:00:00,24125.0
0,2020-04-23 00:00:00,25401.0
0,2020-04-24 00:00:00,26710.0
0,2020-04-25 00:00:00,28052.0
0,2020-04-26 00:00:00,29427.0
0,2020-04-27 00:00:00,30835.0
0,2020-04-28 00:00:00,32276.0
0,2020-04-29 00:00:00,33750.0
0,2020-04-30 00:00:00,35257.0
0,2020-05-01 00:00:00,36797.0
0,2020-05-02 00:00:00,38370.0
0,2020-05-03 00:00:00,39976.0
0,2020-05-04 00:00:00,41615.0
0,2020-05-05 00:00:00,43287.0
0,2020-05-06 00:00:00,44992.0
0,2020-05-07 00:00:00,46730.0
0,2020-05-08 00:00:00,48501.0
0,2020-05-09 00:00:00,50305.0
0,2020-05-10 00:00:00,52142.0
0,2020-05-11 00:00:00,54012.0
0,2020-05-12 00:00:00,55915.0
0,2020-05-13 00:00:00,57851.0
0,2020-05-14 00:00:00,59820.0
0,2020-05-15 00:00:00,61822.0
0,2020-05-16 00:00:00,63857.0
0,2020-05-17 00:00:00,65925.0
0,2020-05-18 00:00:00,68026.0
0,2020-05-19 00:00:00,70160.0
0,2020-05-20 00:00:00,72327.0
0,2020-05-21 00:00:00,74527.0
0,2020-05-22 00:00:00,76760.0
0,2020-05-23 00:00:00,79026.0
0,2020-05-24 00:00:00,81325.0
0,2020-05-25 00:00:00,83657.0
0,2020-05-26 00:00:00,86022.0
0,2020-05-27 00:00:00,88420.0
0,2020-05-28 00:00:00,90851.0
0,2020-05-29 00:00:00,93315.0
0,2020-05-30 00:00:00,95812.0
0,2020-05-31 00:00:00,98342.0
0,2020-06-01 00:00:00,100905.0
0,2020-06-02 00:00:00,103501.0
0,2020-06-03 00:00:00,106130.0
0,2020-06-04 00:00:00,108792.0
0,2020-06-05 00:00:00,111487.0
0,2020-06-06 00:00:00,114215.0
0,2020-06-07 00:00:00,116976.0
0,2020-06-08 00:00:00,119770.0
0,2020-06-09 00:00:00,122597.0
0,2020-06-10 00:00:00,125457.0
0,2020-06-11 00:00:00,128350.0
0,2020-06-12 00:00:00,131276.0
0,2020-06-13 00:00:00,134235.0
0,2020-06-14 00:00:00,137227.0
0,2020-06-15 00:00:00,140252.0
0,2020-06-16 00:00:00,143310.0
0,2020-06-17 00:00:00,146401.0
0,2020-06-18 00:00:00,149525.0
0,2020-06-19 00:00:00,152682.0
0,2020-06-20 00:00:00,155872.0
0,2020-06-21 00:00:00,159095.0
0,2020-06-22 00:00:00,162351.0
0,2020-06-23 00:00:00,165640.0
0,2020-06-24 00:00:00,168962.0
0,2020-06-25 00:00:00,172317.0
0,2020-06-26 00:00:00,175705.0
0,2020-06-27 00:00:00,179126.0
0,2020-06-28 00:00:00,182580.0
0,2020-06-29 00:00:00,186067.0
0,2020-06-30 00:00:00,189587.0
0,2020-07-01 00:00:00,193140.0
0,2020-07-02 00:00:00,196726.0
0,2020-07-03 00:00:00,200345.0
0,2020-07-04 00:00:00,203997.0
0,2020-07-05 00:00:00,207682.0
0,2020-07-06 00:00:00,211400.0
0,2020-07-07 00:00:00,215151.0
0,2020-07-08 00:00:00,218935.0
0,2020-07-09 00:00:00,222752.0
0,2020-07-10 00:00:00,226602.0
0,2020-07-11 00:00:00,230485.0
0,2020-07-12 00:00:00,234401.0
0,2020-07-13 00:00:00,238350.0
0,2020-07-14 00:00:00,242332.0
0,2020-07-15 00:00:00,246347.0
0,2020-07-16 00:00:00,250395.0
0,2020-07-17 00:00:00,254476.0
0,2020-07-18 00:00:00,258590.0
0,2020-07-19 00:00:00,262737.0
0,2020-07-20 00:00:00,266917.0
0,2020-07-21 00:00:00,271130.0
0,2020-07-22 00:00:00,275376.0
0,2020-07-23 00:00:00,279655.0
0,2020-07-24 00:00:00,283967.0
0,2020-07-25 00:00:00,288312.0
0,2020-07-26 00:00:00,292690.0
0,2020-07-27 00:00:00,297101.0
0,2020-07-28 00:00:00,301545.0
0,2020-07-29 00:00:00,306022.0
0,2020-07-30 00:00:00,310532.0
0,2020-07-31 00:00:00,315075.0
0,2020-08-01 00:00:00,319651.0
0,2020-08-02 00:00:00,324260.0
0,2020-08-03 00:00:00,328902.0
0,2020-08-04 00:00:00,333577.0
0,2020-08-05 00:00:00,338285.0
0,2020-08-06 00:00:00,343026.0
0,2020-08-07 00:00:00,347800.0
0,2020-08-08 00:00:00,352607.0
0,2020-08-09 00:00:00,357447.0
0,2020-08-10 00:00:00,362320.0
0,2020-08-11 00:00:00,367226.0
0,2020-08-12 00:00:00,372165.0
