,date,cases
0,2020-03-07,1.0
1,2020-03-08,2.0
2,2020-03-09,5.0
3,2020-03-10,8.0
4,2020-03-11,10.0
5,2020-03-12,17.0
6,2020-03-13,30.0
7,2020-03-14,42.0
8,2020-03-15,45.0
9,2020-03-16,51.0
10,2020-03-17,67.0
11,2020-03-18,78.0
12,2020-03-19,94.0
13,2020-03-20,115.0
14,2020-03-21,152.0
15,2020-03-22,219.0
16,2020-03-23,254.0
17,2020-03-24,291.0
18,2020-03-25,390.0
19,2020-03-26,603.0
20,2020-03-27,605.0
21,2020-03-28,739.0
22,2020-03-29,889.0
23,2020-03-30,1020.0
0,2020-03-30 00:00:00,1160.0
0,2020-03-31 00:00:00,1309.0
0,2020-04-01 00:00:00,1467.0
0,2020-04-02 00:00:00,1634.0
0,2020-04-03 00:00:00,1810.0
0,2020-04-04 00:00:00,1995.0
0,2020-04-05 00:00:00,2189.0
0,2020-04-06 00:00:00,2392.0
0,2020-04-07 00:00:00,2604.0
0,2020-04-08 00:00:00,2825.0
0,2020-04-09 00:00:00,3055.0
0,2020-04-10 00:00:00,3294.0
0,2020-04-11 00:00:00,3542.0
0,2020-04-12 00:00:00,3799.0
0,2020-04-13 00:00:00,4065.0
0,2020-04-14 00:00:00,4340.0
0,2020-04-15 00:00:00,4624.0
0,2020-04-16 00:00:00,4917.0
0,2020-04-17 00:00:00,5219.0
0,2020-04-18 00:00:00,5530.0
0,2020-04-19 00:00:00,5850.0
0,2020-04-20 00:00:00,6179.0
0,2020-04-21 00:00:00,6517.0
0,2020-04-22 00:00:00,6864.0
0,2020-04-23 00:00:00,7220.0
0,2020-04-24 00:00:00,7585.0
0,2020-04-25 00:00:00,7959.0
0,2020-04-26 00:00:00,8342.0
0,2020-04-27 00:00:00,8734.0
0,2020-04-28 00:00:00,9135.0
0,2020-04-29 00:00:00,9545.0
0,2020-04-30 00:00:00,9964.0
0,2020-05-01 00:00:00,10392.0
0,2020-05-02 00:00:00,10829.0
0,2020-05-03 00:00:00,11275.0
0,2020-05-04 00:00:00,11730.0
0,2020-05-05 00:00:00,12194.0
0,2020-05-06 00:00:00,12667.0
0,2020-05-07 00:00:00,13149.0
0,2020-05-08 00:00:00,13640.0
0,2020-05-09 00:00:00,14140.0
0,2020-05-10 00:00:00,14649.0
0,2020-05-11 00:00:00,15167.0
0,2020-05-12 00:00:00,15694.0
0,2020-05-13 00:00:00,16230.0
0,2020-05-14 00:00:00,16775.0
0,2020-05-15 00:00:00,17329.0
0,2020-05-16 00:00:00,17892.0
0,2020-05-17 00:00:00,18464.0
0,2020-05-18 00:00:00,19045.0
0,2020-05-19 00:00:00,19635.0
0,2020-05-20 00:00:00,20234.0
0,2020-05-21 00:00:00,20842.0
0,2020-05-22 00:00:00,21459.0
0,2020-05-23 00:00:00,22085.0
0,2020-05-24 00:00:00,22720.0
0,2020-05-25 00:00:00,23364.0
0,2020-05-26 00:00:00,24017.0
0,2020-05-27 00:00:00,24679.0
0,2020-05-28 00:00:00,25350.0
0,2020-05-29 00:00:00,26030.0
0,2020-05-30 00:00:00,26719.0
0,2020-05-31 00:00:00,27417.0
0,2020-06-01 00:00:00,28124.0
0,2020-06-02 00:00:00,28840.0
0,2020-06-03 00:00:00,29565.0
0,2020-06-04 00:00:00,30299.0
0,2020-06-05 00:00:00,31042.0
0,2020-06-06 00:00:00,31794.0
0,2020-06-07 00:00:00,32555.0
0,2020-06-08 00:00:00,33325.0
0,2020-06-09 00:00:00,34104.0
0,2020-06-10 00:00:00,34892.0
0,2020-06-11 00:00:00,35689.0
0,2020-06-12 00:00:00,36495.0
0,2020-06-13 00:00:00,37310.0
0,2020-06-14 00:00:00,38134.0
0,2020-06-15 00:00:00,38967.0
0,2020-06-16 00:00:00,39809.0
0,2020-06-17 00:00:00,40660.0
0,2020-06-18 00:00:00,41520.0
0,2020-06-19 00:00:00,42389.0
0,2020-06-20 00:00:00,43267.0
0,2020-06-21 00:00:00,44154.0
0,2020-06-22 00:00:00,45050.0
0,2020-06-23 00:00:00,45955.0
0,2020-06-24 00:00:00,46869.0
0,2020-06-25 00:00:00,47792.0
0,2020-06-26 00:00:00,48724.0
0,2020-06-27 00:00:00,49665.0
0,2020-06-28 00:00:00,50615.0
0,2020-06-29 00:00:00,51574.0
0,2020-06-30 00:00:00,52542.0
0,2020-07-01 00:00:00,53519.0
0,2020-07-02 00:00:00,54505.0
0,2020-07-03 00:00:00,55500.0
