,date,cases
0,2020-01-21,1.0
1,2020-01-22,1.0
2,2020-01-23,1.0
3,2020-01-24,1.0
4,2020-01-25,1.0
5,2020-01-26,1.0
6,2020-01-27,1.0
7,2020-01-28,1.0
8,2020-01-29,1.0
9,2020-01-30,1.0
10,2020-01-31,1.0
11,2020-02-01,1.0
12,2020-02-02,1.0
13,2020-02-03,1.0
14,2020-02-04,1.0
15,2020-02-05,1.0
16,2020-02-06,1.0
17,2020-02-07,1.0
18,2020-02-08,1.0
19,2020-02-09,1.0
20,2020-02-10,1.0
21,2020-02-11,1.0
22,2020-02-12,1.0
23,2020-02-13,1.0
24,2020-02-14,1.0
25,2020-02-15,1.0
26,2020-02-16,1.0
27,2020-02-17,1.0
28,2020-02-18,1.0
29,2020-02-19,1.0
30,2020-02-20,1.0
31,2020-02-21,1.0
32,2020-02-22,1.0
33,2020-02-23,1.0
34,2020-02-24,5.0
35,2020-02-25,5.0
36,2020-02-26,5.0
37,2020-02-27,5.0
38,2020-02-28,7.0
39,2020-02-29,10.0
40,2020-03-01,17.0
41,2020-03-02,23.0
42,2020-03-03,32.0
43,2020-03-04,47.0
44,2020-03-05,75.0
45,2020-03-06,86.0
46,2020-03-07,110.0
47,2020-03-08,141.0
48,2020-03-09,179.0
49,2020-03-10,279.0
50,2020-03-11,338.0
51,2020-03-12,419.0
52,2020-03-13,511.0
53,2020-03-14,609.0
54,2020-03-15,675.0
55,2020-03-16,794.0
56,2020-03-17,908.0
57,2020-03-18,1026.0
58,2020-03-19,1228.0
59,2020-03-20,1404.0
60,2020-03-21,1655.0
61,2020-03-22,1844.0
62,2020-03-23,2101.0
0,2020-03-23 00:00:00,2375.0
0,2020-03-24 00:00:00,2666.0
0,2020-03-25 00:00:00,2974.0
0,2020-03-26 00:00:00,3299.0
0,2020-03-27 00:00:00,3641.0
0,2020-03-28 00:00:00,4000.0
0,2020-03-29 00:00:00,4376.0
0,2020-03-30 00:00:00,4769.0
0,2020-03-31 00:00:00,5179.0
0,2020-04-01 00:00:00,5606.0
0,2020-04-02 00:00:00,6050.0
0,2020-04-03 00:00:00,6511.0
0,2020-04-04 00:00:00,6989.0
0,2020-04-05 00:00:00,7484.0
0,2020-04-06 00:00:00,7996.0
0,2020-04-07 00:00:00,8525.0
0,2020-04-08 00:00:00,9071.0
0,2020-04-09 00:00:00,9634.0
0,2020-04-10 00:00:00,10214.0
0,2020-04-11 00:00:00,10811.0
0,2020-04-12 00:00:00,11425.0
0,2020-04-13 00:00:00,12056.0
0,2020-04-14 00:00:00,12704.0
0,2020-04-15 00:00:00,13369.0
0,2020-04-16 00:00:00,14051.0
0,2020-04-17 00:00:00,14750.0
0,2020-04-18 00:00:00,15466.0
0,2020-04-19 00:00:00,16199.0
0,2020-04-20 00:00:00,16949.0
0,2020-04-21 00:00:00,17716.0
0,2020-04-22 00:00:00,18500.0
0,2020-04-23 00:00:00,19301.0
0,2020-04-24 00:00:00,20119.0
0,2020-04-25 00:00:00,20954.0
0,2020-04-26 00:00:00,21806.0
0,2020-04-27 00:00:00,22675.0
0,2020-04-28 00:00:00,23561.0
0,2020-04-29 00:00:00,24464.0
0,2020-04-30 00:00:00,25384.0
0,2020-05-01 00:00:00,26321.0
0,2020-05-02 00:00:00,27275.0
0,2020-05-03 00:00:00,28246.0
0,2020-05-04 00:00:00,29234.0
0,2020-05-05 00:00:00,30239.0
0,2020-05-06 00:00:00,31261.0
0,2020-05-07 00:00:00,32300.0
0,2020-05-08 00:00:00,33356.0
0,2020-05-09 00:00:00,34429.0
0,2020-05-10 00:00:00,35519.0
0,2020-05-11 00:00:00,36626.0
0,2020-05-12 00:00:00,37750.0
0,2020-05-13 00:00:00,38891.0
0,2020-05-14 00:00:00,40049.0
0,2020-05-15 00:00:00,41224.0
0,2020-05-16 00:00:00,42416.0
0,2020-05-17 00:00:00,43625.0
0,2020-05-18 00:00:00,44851.0
0,2020-05-19 00:00:00,46094.0
0,2020-05-20 00:00:00,47354.0
0,2020-05-21 00:00:00,48631.0
0,2020-05-22 00:00:00,49925.0
0,2020-05-23 00:00:00,51236.0
0,2020-05-24 00:00:00,52564.0
0,2020-05-25 00:00:00,53909.0
0,2020-05-26 00:00:00,55271.0
0,2020-05-27 00:00:00,56650.0
0,2020-05-28 00:00:00,58046.0
0,2020-05-29 00:00:00,59459.0
0,2020-05-30 00:00:00,60889.0
0,2020-05-31 00:00:00,62336.0
0,2020-06-01 00:00:00,63800.0
0,2020-06-02 00:00:00,65281.0
0,2020-06-03 00:00:00,66779.0
0,2020-06-04 00:00:00,68294.0
0,2020-06-05 00:00:00,69826.0
0,2020-06-06 00:00:00,71375.0
0,2020-06-07 00:00:00,72941.0
0,2020-06-08 00:00:00,74524.0
