,date,cases
0,2020-02-05,1.0
1,2020-02-06,1.0
2,2020-02-07,1.0
3,2020-02-08,1.0
4,2020-02-09,1.0
5,2020-02-10,1.0
6,2020-02-11,1.0
7,2020-02-12,1.0
8,2020-02-13,1.0
9,2020-02-14,1.0
10,2020-02-15,1.0
11,2020-02-16,1.0
12,2020-02-17,1.0
13,2020-02-18,1.0
14,2020-02-19,1.0
15,2020-02-20,1.0
16,2020-02-21,1.0
17,2020-02-22,1.0
18,2020-02-23,1.0
19,2020-02-24,1.0
20,2020-02-25,1.0
21,2020-02-26,1.0
22,2020-02-27,1.0
23,2020-02-28,1.0
24,2020-02-29,1.0
25,2020-03-01,1.0
26,2020-03-02,1.0
27,2020-03-03,1.0
28,2020-03-04,1.0
29,2020-03-05,1.0
30,2020-03-06,1.0
31,2020-03-07,1.0
32,2020-03-08,1.0
33,2020-03-09,2.0
34,2020-03-10,3.0
35,2020-03-11,6.0
36,2020-03-12,8.0
37,2020-03-13,19.0
38,2020-03-14,27.0
39,2020-03-15,33.0
40,2020-03-16,47.0
41,2020-03-17,72.0
42,2020-03-18,106.0
43,2020-03-19,155.0
44,2020-03-20,216.0
45,2020-03-21,281.0
46,2020-03-22,382.0
47,2020-03-23,418.0
48,2020-03-24,481.0
49,2020-03-25,623.0
0,2020-03-25 00:00:00,784.0
0,2020-03-26 00:00:00,964.0
0,2020-03-27 00:00:00,1163.0
0,2020-03-28 00:00:00,1381.0
0,2020-03-29 00:00:00,1618.0
0,2020-03-30 00:00:00,1874.0
0,2020-03-31 00:00:00,2149.0
0,2020-04-01 00:00:00,2443.0
0,2020-04-02 00:00:00,2756.0
0,2020-04-03 00:00:00,3088.0
0,2020-04-04 00:00:00,3439.0
0,2020-04-05 00:00:00,3809.0
0,2020-04-06 00:00:00,4198.0
0,2020-04-07 00:00:00,4606.0
0,2020-04-08 00:00:00,5033.0
0,2020-04-09 00:00:00,5479.0
0,2020-04-10 00:00:00,5944.0
0,2020-04-11 00:00:00,6428.0
0,2020-04-12 00:00:00,6931.0
0,2020-04-13 00:00:00,7453.0
0,2020-04-14 00:00:00,7994.0
0,2020-04-15 00:00:00,8554.0
0,2020-04-16 00:00:00,9133.0
0,2020-04-17 00:00:00,9731.0
0,2020-04-18 00:00:00,10348.0
0,2020-04-19 00:00:00,10984.0
0,2020-04-20 00:00:00,11639.0
0,2020-04-21 00:00:00,12313.0
0,2020-04-22 00:00:00,13006.0
0,2020-04-23 00:00:00,13718.0
0,2020-04-24 00:00:00,14449.0
0,2020-04-25 00:00:00,15199.0
0,2020-04-26 00:00:00,15968.0
0,2020-04-27 00:00:00,16756.0
0,2020-04-28 00:00:00,17563.0
0,2020-04-29 00:00:00,18389.0
0,2020-04-30 00:00:00,19234.0
0,2020-05-01 00:00:00,20098.0
0,2020-05-02 00:00:00,20981.0
0,2020-05-03 00:00:00,21883.0
0,2020-05-04 00:00:00,22804.0
0,2020-05-05 00:00:00,23744.0
0,2020-05-06 00:00:00,24703.0
0,2020-05-07 00:00:00,25681.0
0,2020-05-08 00:00:00,26678.0
0,2020-05-09 00:00:00,27694.0
0,2020-05-10 00:00:00,28729.0
0,2020-05-11 00:00:00,29783.0
0,2020-05-12 00:00:00,30856.0
0,2020-05-13 00:00:00,31948.0
0,2020-05-14 00:00:00,33059.0
0,2020-05-15 00:00:00,34189.0
0,2020-05-16 00:00:00,35338.0
0,2020-05-17 00:00:00,36506.0
0,2020-05-18 00:00:00,37693.0
0,2020-05-19 00:00:00,38899.0
0,2020-05-20 00:00:00,40124.0
0,2020-05-21 00:00:00,41368.0
0,2020-05-22 00:00:00,42631.0
0,2020-05-23 00:00:00,43913.0
0,2020-05-24 00:00:00,45214.0
0,2020-05-25 00:00:00,46534.0
0,2020-05-26 00:00:00,47873.0
0,2020-05-27 00:00:00,49231.0
0,2020-05-28 00:00:00,50608.0
0,2020-05-29 00:00:00,52004.0
0,2020-05-30 00:00:00,53419.0
0,2020-05-31 00:00:00,54853.0
0,2020-06-01 00:00:00,56306.0
0,2020-06-02 00:00:00,57778.0
0,2020-06-03 00:00:00,59269.0
0,2020-06-04 00:00:00,60779.0
0,2020-06-05 00:00:00,62308.0
0,2020-06-06 00:00:00,63856.0
0,2020-06-07 00:00:00,65423.0
0,2020-06-08 00:00:00,67009.0
0,2020-06-09 00:00:00,68614.0
0,2020-06-10 00:00:00,70238.0
0,2020-06-11 00:00:00,71881.0
0,2020-06-12 00:00:00,73543.0
0,2020-06-13 00:00:00,75224.0
0,2020-06-14 00:00:00,76924.0
0,2020-06-15 00:00:00,78643.0
0,2020-06-16 00:00:00,80381.0
0,2020-06-17 00:00:00,82138.0
0,2020-06-18 00:00:00,83914.0
0,2020-06-19 00:00:00,85709.0
0,2020-06-20 00:00:00,87523.0
0,2020-06-21 00:00:00,89356.0
0,2020-06-22 00:00:00,91208.0
0,2020-06-23 00:00:00,93079.0
0,2020-06-24 00:00:00,94969.0
0,2020-06-25 00:00:00,96878.0
0,2020-06-26 00:00:00,98806.0
0,2020-06-27 00:00:00,100753.0
0,2020-06-28 00:00:00,102719.0
0,2020-06-29 00:00:00,104704.0
0,2020-06-30 00:00:00,106708.0
0,2020-07-01 00:00:00,108731.0
0,2020-07-02 00:00:00,110773.0
0,2020-07-03 00:00:00,112834.0
0,2020-07-04 00:00:00,114914.0
0,2020-07-05 00:00:00,117013.0
0,2020-07-06 00:00:00,119131.0
0,2020-07-07 00:00:00,121268.0
0,2020-07-08 00:00:00,123424.0
0,2020-07-09 00:00:00,125599.0
0,2020-07-10 00:00:00,127793.0
0,2020-07-11 00:00:00,130006.0
0,2020-07-12 00:00:00,132238.0
0,2020-07-13 00:00:00,134489.0
0,2020-07-14 00:00:00,136759.0
0,2020-07-15 00:00:00,139048.0
0,2020-07-16 00:00:00,141356.0
0,2020-07-17 00:00:00,143683.0
0,2020-07-18 00:00:00,146029.0
0,2020-07-19 00:00:00,148394.0
0,2020-07-20 00:00:00,150778.0
0,2020-07-21 00:00:00,153181.0
0,2020-07-22 00:00:00,155603.0
0,2020-07-23 00:00:00,158044.0
0,2020-07-24 00:00:00,160504.0
0,2020-07-25 00:00:00,162983.0
0,2020-07-26 00:00:00,165481.0
0,2020-07-27 00:00:00,167998.0
0,2020-07-28 00:00:00,170534.0
0,2020-07-29 00:00:00,173089.0
0,2020-07-30 00:00:00,175663.0
0,2020-07-31 00:00:00,178256.0
0,2020-08-01 00:00:00,180868.0
0,2020-08-02 00:00:00,183499.0
0,2020-08-03 00:00:00,186149.0
0,2020-08-04 00:00:00,188818.0
0,2020-08-05 00:00:00,191506.0
0,2020-08-06 00:00:00,194213.0
0,2020-08-07 00:00:00,196939.0
0,2020-08-08 00:00:00,199684.0
0,2020-08-09 00:00:00,202448.0
0,2020-08-10 00:00:00,205231.0
0,2020-08-11 00:00:00,208033.0
0,2020-08-12 00:00:00,210854.0
