,date,cases
0,2020-03-11,1.0
1,2020-03-12,1.0
2,2020-03-13,2.0
3,2020-03-14,3.0
4,2020-03-15,3.0
5,2020-03-16,10.0
6,2020-03-17,15.0
7,2020-03-18,17.0
8,2020-03-19,18.0
9,2020-03-20,22.0
10,2020-03-21,24.0
11,2020-03-22,26.0
12,2020-03-23,28.0
13,2020-03-24,37.0
14,2020-03-25,49.0
15,2020-03-26,56.0
16,2020-03-27,74.0
17,2020-03-28,85.0
0,2020-03-28 00:00:00,97.0
0,2020-03-29 00:00:00,110.0
0,2020-03-30 00:00:00,124.0
0,2020-03-31 00:00:00,139.0
0,2020-04-01 00:00:00,155.0
0,2020-04-02 00:00:00,172.0
0,2020-04-03 00:00:00,190.0
0,2020-04-04 00:00:00,209.0
0,2020-04-05 00:00:00,229.0
0,2020-04-06 00:00:00,250.0
0,2020-04-07 00:00:00,272.0
0,2020-04-08 00:00:00,295.0
0,2020-04-09 00:00:00,319.0
0,2020-04-10 00:00:00,344.0
0,2020-04-11 00:00:00,370.0
0,2020-04-12 00:00:00,397.0
0,2020-04-13 00:00:00,425.0
0,2020-04-14 00:00:00,454.0
0,2020-04-15 00:00:00,484.0
0,2020-04-16 00:00:00,515.0
0,2020-04-17 00:00:00,547.0
0,2020-04-18 00:00:00,580.0
0,2020-04-19 00:00:00,614.0
0,2020-04-20 00:00:00,649.0
0,2020-04-21 00:00:00,685.0
0,2020-04-22 00:00:00,722.0
0,2020-04-23 00:00:00,760.0
0,2020-04-24 00:00:00,799.0
0,2020-04-25 00:00:00,839.0
0,2020-04-26 00:00:00,880.0
0,2020-04-27 00:00:00,922.0
0,2020-04-28 00:00:00,965.0
0,2020-04-29 00:00:00,1009.0
0,2020-04-30 00:00:00,1054.0
0,2020-05-01 00:00:00,1100.0
0,2020-05-02 00:00:00,1147.0
0,2020-05-03 00:00:00,1195.0
0,2020-05-04 00:00:00,1244.0
0,2020-05-05 00:00:00,1294.0
0,2020-05-06 00:00:00,1345.0
0,2020-05-07 00:00:00,1397.0
0,2020-05-08 00:00:00,1450.0
0,2020-05-09 00:00:00,1504.0
0,2020-05-10 00:00:00,1559.0
0,2020-05-11 00:00:00,1615.0
0,2020-05-12 00:00:00,1672.0
0,2020-05-13 00:00:00,1730.0
0,2020-05-14 00:00:00,1789.0
0,2020-05-15 00:00:00,1849.0
0,2020-05-16 00:00:00,1910.0
0,2020-05-17 00:00:00,1972.0
0,2020-05-18 00:00:00,2035.0
0,2020-05-19 00:00:00,2099.0
0,2020-05-20 00:00:00,2164.0
0,2020-05-21 00:00:00,2230.0
