date,state,fips,cases,deaths,"Case/10,000","Death/10,000",Region
2020-03-01,Florida,12,2,0,0.0009311968015997215,0.0,Southeast
2020-03-02,Florida,12,2,0,0.0009311968015997215,0.0,Southeast
2020-03-02,Georgia,13,2,0,0.0018836962603825808,0.0,Southeast
2020-03-03,Florida,12,3,0,0.0013967952023995823,0.0,Southeast
2020-03-03,Georgia,13,2,0,0.0018836962603825808,0.0,Southeast
2020-03-03,North Carolina,37,1,0,0.000953462996673177,0.0,Southeast
2020-03-04,Florida,12,3,0,0.0013967952023995823,0.0,Southeast
2020-03-04,Georgia,13,2,0,0.0018836962603825808,0.0,Southeast
2020-03-04,North Carolina,37,1,0,0.000953462996673177,0.0,Southeast
2020-03-05,Florida,12,4,0,0.001862393603199443,0.0,Southeast
2020-03-05,Georgia,13,2,0,0.0018836962603825808,0.0,Southeast
2020-03-05,North Carolina,37,1,0,0.000953462996673177,0.0,Southeast
2020-03-05,Tennessee,47,1,0,0.0014643059321669061,0.0,Southeast
2020-03-06,Florida,12,7,2,0.0032591888055990255,0.0009311968015997215,Southeast
2020-03-06,Georgia,13,3,0,0.002825544390573871,0.0,Southeast
2020-03-06,Kentucky,21,1,0,0.0022383016841205704,0.0,Southeast
2020-03-06,North Carolina,37,2,0,0.001906925993346354,0.0,Southeast
2020-03-06,South Carolina,45,2,0,0.0038844651305160864,0.0,Southeast
2020-03-06,Tennessee,47,1,0,0.0014643059321669061,0.0,Southeast
2020-03-07,Florida,12,12,2,0.005587180809598329,0.0009311968015997215,Southeast
2020-03-07,Georgia,13,7,0,0.006592936911339033,0.0,Southeast
2020-03-07,Kentucky,21,1,0,0.0022383016841205704,0.0,Southeast
2020-03-07,North Carolina,37,2,0,0.001906925993346354,0.0,Southeast
2020-03-07,South Carolina,45,2,0,0.0038844651305160864,0.0,Southeast
2020-03-07,Tennessee,47,1,0,0.0014643059321669061,0.0,Southeast
2020-03-07,Virginia,51,1,0,0.0011715749212203733,0.0,Southeast
2020-03-08,Florida,12,13,2,0.00605277921039819,0.0009311968015997215,Southeast
2020-03-08,Georgia,13,11,0,0.010360329432104194,0.0,Southeast
2020-03-08,Kentucky,21,4,0,0.008953206736482281,0.0,Southeast
2020-03-08,North Carolina,37,2,0,0.001906925993346354,0.0,Southeast
2020-03-08,South Carolina,45,6,0,0.011653395391548258,0.0,Southeast
2020-03-08,Tennessee,47,3,0,0.004392917796500718,0.0,Southeast
2020-03-08,Virginia,51,2,0,0.0023431498424407466,0.0,Southeast
2020-03-09,Florida,12,14,2,0.006518377611198051,0.0009311968015997215,Southeast
2020-03-09,Georgia,13,17,0,0.016011418213251936,0.0,Southeast
2020-03-09,Kentucky,21,5,0,0.01119150842060285,0.0,Southeast
2020-03-09,Louisiana,22,1,0,0.002151095531443209,0.0,Southeast
2020-03-09,North Carolina,37,7,0,0.006674240976712239,0.0,Southeast
2020-03-09,South Carolina,45,7,0,0.013595627956806302,0.0,Southeast
2020-03-09,Tennessee,47,4,0,0.0058572237286676244,0.0,Southeast
2020-03-09,Virginia,51,5,0,0.0058578746061018665,0.0,Southeast
2020-03-10,Florida,12,23,2,0.010708763218396797,0.0009311968015997215,Southeast
2020-03-10,Georgia,13,22,0,0.02072065886420839,0.0,Southeast
2020-03-10,Kentucky,21,7,0,0.015668111788843992,0.0,Southeast
2020-03-10,Louisiana,22,6,0,0.012906573188659252,0.0,Southeast
2020-03-10,North Carolina,37,7,0,0.006674240976712239,0.0,Southeast
2020-03-10,South Carolina,45,9,0,0.017480093087322388,0.0,Southeast
2020-03-10,Tennessee,47,7,0,0.010250141525168344,0.0,Southeast
2020-03-10,Virginia,51,8,0,0.009372599369762986,0.0,Southeast
2020-03-11,Arkansas,5,1,0,0.0033136678193812458,0.0,Southeast
2020-03-11,Florida,12,26,2,0.01210555842079638,0.0009311968015997215,Southeast
2020-03-11,Georgia,13,31,0,0.02919729203593,0.0,Southeast
2020-03-11,Kentucky,21,7,0,0.015668111788843992,0.0,Southeast
2020-03-11,Louisiana,22,13,0,0.027964241908761716,0.0,Southeast
2020-03-11,Mississippi,28,1,0,0.003360046825612562,0.0,Southeast
2020-03-11,North Carolina,37,8,0,0.007627703973385416,0.0,Southeast
2020-03-11,South Carolina,45,10,0,0.01942232565258043,0.0,Southeast
2020-03-11,Tennessee,47,8,0,0.011714447457335249,0.0,Southeast
2020-03-11,Virginia,51,10,0,0.011715749212203733,0.0,Southeast
2020-03-12,Arkansas,5,6,0,0.019882006916287474,0.0,Southeast
2020-03-12,Florida,12,46,2,0.021417526436793594,0.0009311968015997215,Southeast
2020-03-12,Georgia,13,31,1,0.02919729203593,0.0009418481301912904,Southeast
2020-03-12,Kentucky,21,11,0,0.024621318525326272,0.0,Southeast
2020-03-12,Louisiana,22,14,0,0.030115337440204924,0.0,Southeast
2020-03-12,Mississippi,28,1,0,0.003360046825612562,0.0,Southeast
2020-03-12,North Carolina,37,16,0,0.015255407946770832,0.0,Southeast
2020-03-12,South Carolina,45,12,0,0.023306790783096516,0.0,Southeast
2020-03-12,Tennessee,47,18,0,0.026357506779004312,0.0,Southeast
2020-03-12,Virginia,51,17,0,0.019916773660746345,0.0,Southeast
2020-03-13,Alabama,1,6,0,0.012236943945619022,0.0,Southeast
2020-03-13,Arkansas,5,7,0,0.02319567473566872,0.0,Southeast
2020-03-13,Florida,12,70,2,0.032591888055990254,0.0009311968015997215,Southeast
2020-03-13,Georgia,13,41,1,0.038615773337842905,0.0009418481301912904,Southeast
2020-03-13,Kentucky,21,11,0,0.024621318525326272,0.0,Southeast
2020-03-13,Louisiana,22,36,0,0.07743943913195551,0.0,Southeast
2020-03-13,Mississippi,28,6,0,0.02016028095367537,0.0,Southeast
2020-03-13,North Carolina,37,18,0,0.017162333940117187,0.0,Southeast
2020-03-13,South Carolina,45,13,0,0.02524902334835456,0.0,Southeast
2020-03-13,Tennessee,47,26,0,0.038071954236339564,0.0,Southeast
2020-03-13,Virginia,51,30,0,0.0351472476366112,0.0,Southeast
2020-03-14,Alabama,1,12,0,0.024473887891238045,0.0,Southeast
2020-03-14,Arkansas,5,9,0,0.02982301037443121,0.0,Southeast
2020-03-14,Florida,12,70,3,0.032591888055990254,0.0013967952023995823,Southeast
2020-03-14,Georgia,13,65,1,0.061220128462433875,0.0009418481301912904,Southeast
2020-03-14,Kentucky,21,18,0,0.04028943031417027,0.0,Southeast
2020-03-14,Louisiana,22,77,1,0.16563435592112707,0.002151095531443209,Southeast
2020-03-14,Mississippi,28,6,0,0.02016028095367537,0.0,Southeast
2020-03-14,North Carolina,37,25,0,0.023836574916829424,0.0,Southeast
2020-03-14,South Carolina,45,19,0,0.03690241873990282,0.0,Southeast
2020-03-14,Tennessee,47,32,0,0.046857789829340996,0.0,Southeast
2020-03-14,Virginia,51,42,1,0.04920614669125568,0.0011715749212203733,Southeast
2020-03-15,Alabama,1,23,0,0.04690828512487292,0.0,Southeast
2020-03-15,Arkansas,5,16,0,0.05301868511009993,0.0,Southeast
2020-03-15,Florida,12,109,3,0.050750225687184826,0.0013967952023995823,Southeast
2020-03-15,Georgia,13,97,1,0.09135926862855517,0.0009418481301912904,Southeast
2020-03-15,Kentucky,21,21,0,0.04700433536653197,0.0,Southeast
2020-03-15,Louisiana,22,103,2,0.2215628397386505,0.004302191062886418,Southeast
2020-03-15,Mississippi,28,10,0,0.03360046825612562,0.0,Southeast
2020-03-15,North Carolina,37,32,0,0.030510815893541664,0.0,Southeast
2020-03-15,South Carolina,45,28,0,0.054382511827225206,0.0,Southeast
2020-03-15,Tennessee,47,39,0,0.05710793135450934,0.0,Southeast
2020-03-15,Virginia,51,45,1,0.0527208714549168,0.0011715749212203733,Southeast
2020-03-16,Alabama,1,29,0,0.05914522907049194,0.0,Southeast
2020-03-16,Arkansas,5,22,0,0.07290069202638741,0.0,Southeast
2020-03-16,Florida,12,141,4,0.06564937451278037,0.001862393603199443,Southeast
2020-03-16,Georgia,13,118,1,0.11113807936257226,0.0009418481301912904,Southeast
2020-03-16,Kentucky,21,22,1,0.049242637050652543,0.0022383016841205704,Southeast
2020-03-16,Louisiana,22,137,3,0.2947000878077196,0.006453286594329626,Southeast
2020-03-16,Mississippi,28,12,0,0.04032056190735074,0.0,Southeast
2020-03-16,North Carolina,37,34,0,0.03241774188688802,0.0,Southeast
2020-03-16,South Carolina,45,33,1,0.06409367465351543,0.0019422325652580432,Southeast
2020-03-16,Tennessee,47,52,0,0.07614390847267913,0.0,Southeast
2020-03-16,Virginia,51,51,1,0.059750320982239036,0.0011715749212203733,Southeast
2020-03-17,Alabama,1,39,0,0.07954013564652364,0.0,Southeast
2020-03-17,Arkansas,5,22,0,0.07290069202638741,0.0,Southeast
2020-03-17,Florida,12,210,6,0.09777566416797076,0.0027935904047991645,Southeast
