,date,cases
0,2020-01-21,1.0
1,2020-01-22,1.0
2,2020-01-23,1.0
3,2020-01-24,1.0
4,2020-01-25,1.0
5,2020-01-26,1.0
6,2020-01-27,1.0
7,2020-01-28,1.0
8,2020-01-29,1.0
9,2020-01-30,1.0
10,2020-01-31,1.0
11,2020-02-01,1.0
12,2020-02-02,1.0
13,2020-02-03,1.0
14,2020-02-04,1.0
15,2020-02-05,1.0
16,2020-02-06,1.0
17,2020-02-07,1.0
18,2020-02-08,1.0
19,2020-02-09,1.0
20,2020-02-10,1.0
21,2020-02-11,1.0
22,2020-02-12,1.0
23,2020-02-13,1.0
24,2020-02-14,1.0
25,2020-02-15,1.0
26,2020-02-16,1.0
27,2020-02-17,1.0
28,2020-02-18,1.0
29,2020-02-19,1.0
30,2020-02-20,1.0
31,2020-02-21,1.0
32,2020-02-22,1.0
33,2020-02-23,1.0
34,2020-02-24,5.0
35,2020-02-25,5.0
36,2020-02-26,5.0
37,2020-02-27,5.0
38,2020-02-28,7.0
39,2020-02-29,10.0
40,2020-03-01,17.0
41,2020-03-02,23.0
42,2020-03-03,32.0
43,2020-03-04,47.0
44,2020-03-05,75.0
45,2020-03-06,86.0
46,2020-03-07,110.0
47,2020-03-08,141.0
48,2020-03-09,179.0
49,2020-03-10,279.0
50,2020-03-11,338.0
51,2020-03-12,419.0
52,2020-03-13,511.0
53,2020-03-14,609.0
54,2020-03-15,675.0
55,2020-03-16,794.0
56,2020-03-17,908.0
57,2020-03-18,1026.0
58,2020-03-19,1228.0
59,2020-03-20,1404.0
60,2020-03-21,1655.0
61,2020-03-22,1844.0
62,2020-03-23,2101.0
0,2020-03-23 00:00:00,2375.130699426497
0,2020-03-24 00:00:00,2666.414461216135
0,2020-03-25 00:00:00,2974.8711633608505
0,2020-03-26 00:00:00,3300.518589012562
0,2020-03-27 00:00:00,3643.3727393152785
0,2020-03-28 00:00:00,4003.4480871367687
0,2020-03-29 00:00:00,4380.757784986527
0,2020-03-30 00:00:00,4775.313836984852
0,2020-03-31 00:00:00,5187.127242309815
0,2020-04-01 00:00:00,5616.208115784742
0,2020-04-02 00:00:00,6062.565789974051
0,2020-04-03 00:00:00,6526.208902192661
0,2020-04-04 00:00:00,7007.145469109896
0,2020-04-05 00:00:00,7505.382951077769
0,2020-04-06 00:00:00,8020.928307890111
0,2020-04-07 00:00:00,8553.788047350441
0,2020-04-08 00:00:00,9103.968267769334
0,2020-04-09 00:00:00,9671.474695309145
0,2020-04-10 00:00:00,10256.31271693252
0,2020-04-11 00:00:00,10858.487409581921
0,2020-04-12 00:00:00,11478.003566113124
0,2020-04-13 00:00:00,12114.865718421044
0,2020-04-14 00:00:00,12769.0781581272
0,2020-04-15 00:00:00,13440.644955141393
0,2020-04-16 00:00:00,14129.569974363367
0,2020-04-17 00:00:00,14835.856890751369
0,2020-04-18 00:00:00,15559.509202952147
0,2020-04-19 00:00:00,16300.530245659786
0,2020-04-20 00:00:00,17058.923200847985
0,2020-04-21 00:00:00,17834.69110800108
0,2020-04-22 00:00:00,18627.83687345279
0,2020-04-23 00:00:00,19438.363278927765
0,2020-04-24 00:00:00,20266.272989369074
0,2020-04-25 00:00:00,21111.56856012466
0,2020-04-26 00:00:00,21974.252443556947
0,2020-04-27 00:00:00,22854.3269951323
0,2020-04-28 00:00:00,23751.79447904043
0,2020-04-29 00:00:00,24666.65707338816
0,2020-04-30 00:00:00,25598.916875007133
0,2020-05-01 00:00:00,26548.575903910543
0,2020-05-02 00:00:00,27515.636107430375
0,2020-05-03 00:00:00,28500.09936406319
0,2020-05-04 00:00:00,29501.967487049693
0,2020-05-05 00:00:00,30521.24222771069
0,2020-05-06 00:00:00,31557.92527855976
0,2020-05-07 00:00:00,32612.018276211038
0,2020-05-08 00:00:00,33683.52280409864
0,2020-05-09 00:00:00,34772.44039502276
0,2020-05-10 00:00:00,35878.772533535965
0,2020-05-11 00:00:00,37002.52065818209
0,2020-05-12 00:00:00,38143.68616359886
0,2020-05-13 00:00:00,39302.27040249448
0,2020-05-14 00:00:00,40478.27468750747
0,2020-05-15 00:00:00,41671.70029295826
0,2020-05-16 00:00:00,42882.548456500255
0,2020-05-17 00:00:00,44110.820380677535
0,2020-05-18 00:00:00,45356.517234395615
0,2020-05-19 00:00:00,46619.64015431129
0,2020-05-20 00:00:00,47900.19024614706
0,2020-05-21 00:00:00,49198.16858593515
0,2020-05-22 00:00:00,50513.57622119577
0,2020-05-23 00:00:00,51846.4141720539
0,2020-05-24 00:00:00,53196.6834322986
0,2020-05-25 00:00:00,54564.38497038845
0,2020-05-26 00:00:00,55949.51973040645
0,2020-05-27 00:00:00,57352.08863296764
0,2020-05-28 00:00:00,58772.092576082236
