date,state,fips,cases,deaths,"Case/10,000","Death/10,000",Region
2020-01-24,Illinois,17,1,0,0.0007891525614195466,0.0,Midwest
2020-01-25,Illinois,17,1,0,0.0007891525614195466,0.0,Midwest
2020-01-26,Illinois,17,1,0,0.0007891525614195466,0.0,Midwest
2020-01-27,Illinois,17,1,0,0.0007891525614195466,0.0,Midwest
2020-01-28,Illinois,17,1,0,0.0007891525614195466,0.0,Midwest
2020-01-29,Illinois,17,1,0,0.0007891525614195466,0.0,Midwest
2020-01-30,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-01-31,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-01,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-02,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-03,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-04,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-05,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-05,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-06,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-06,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-07,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-07,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-08,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-08,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-09,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-09,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-10,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-10,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-11,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-11,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-12,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-12,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-13,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-13,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-14,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-14,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-15,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-15,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-16,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-16,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-17,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-17,Nebraska,31,10,0,0.05169540241769058,0.0,Midwest
2020-02-17,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-18,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-18,Nebraska,31,10,0,0.05169540241769058,0.0,Midwest
2020-02-18,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-19,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-19,Nebraska,31,10,0,0.05169540241769058,0.0,Midwest
2020-02-19,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-20,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-20,Nebraska,31,11,0,0.05686494265945964,0.0,Midwest
2020-02-20,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-21,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-21,Nebraska,31,11,0,0.05686494265945964,0.0,Midwest
2020-02-21,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-22,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-22,Nebraska,31,11,0,0.05686494265945964,0.0,Midwest
2020-02-22,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-23,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-23,Nebraska,31,11,0,0.05686494265945964,0.0,Midwest
2020-02-23,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-24,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-24,Nebraska,31,12,0,0.0620344829012287,0.0,Midwest
2020-02-24,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-25,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-25,Nebraska,31,13,0,0.06720402314299775,0.0,Midwest
2020-02-25,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-26,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-26,Nebraska,31,13,0,0.06720402314299775,0.0,Midwest
2020-02-26,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-27,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-27,Nebraska,31,13,0,0.06720402314299775,0.0,Midwest
2020-02-27,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-28,Illinois,17,2,0,0.0015783051228390932,0.0,Midwest
2020-02-28,Nebraska,31,13,0,0.06720402314299775,0.0,Midwest
2020-02-28,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-02-29,Illinois,17,3,0,0.0023674576842586397,0.0,Midwest
2020-02-29,Nebraska,31,13,0,0.06720402314299775,0.0,Midwest
2020-02-29,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-03-01,Illinois,17,3,0,0.0023674576842586397,0.0,Midwest
2020-03-01,Nebraska,31,13,0,0.06720402314299775,0.0,Midwest
2020-03-01,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-03-02,Illinois,17,4,0,0.0031566102456781864,0.0,Midwest
2020-03-02,Nebraska,31,13,0,0.06720402314299775,0.0,Midwest
2020-03-02,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-03-03,Illinois,17,4,0,0.0031566102456781864,0.0,Midwest
2020-03-03,Nebraska,31,13,0,0.06720402314299775,0.0,Midwest
2020-03-03,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-03-04,Illinois,17,4,0,0.0031566102456781864,0.0,Midwest
2020-03-04,Nebraska,31,13,0,0.06720402314299775,0.0,Midwest
2020-03-04,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-03-05,Illinois,17,5,0,0.003945762807097733,0.0,Midwest
2020-03-05,Nebraska,31,13,0,0.06720402314299775,0.0,Midwest
2020-03-05,Wisconsin,55,1,0,0.0017174947796746174,0.0,Midwest
2020-03-06,Illinois,17,6,0,0.004734915368517279,0.0,Midwest
