date,state,fips,cases,deaths,"Case/10,000","Death/10,000",Region
2020-02-01,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-02,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-03,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-04,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-05,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-06,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-07,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-08,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-09,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-10,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-11,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-12,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-13,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-14,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-15,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-16,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-17,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-18,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-19,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-20,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-21,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-22,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-23,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-24,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-25,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-26,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-27,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-28,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-02-29,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-03-01,Massachusetts,25,1,0,0.0014508517442792552,0.0,Northeast
2020-03-01,New York,36,1,0,0.0005140447036920387,0.0,Northeast
2020-03-01,Rhode Island,44,2,0,0.018879305543624884,0.0,Northeast
2020-03-02,Massachusetts,25,2,0,0.0029017034885585103,0.0,Northeast
2020-03-02,New Hampshire,33,1,0,0.00735450400857241,0.0,Northeast
2020-03-02,New York,36,1,0,0.0005140447036920387,0.0,Northeast
2020-03-02,Rhode Island,44,2,0,0.018879305543624884,0.0,Northeast
2020-03-03,Massachusetts,25,2,0,0.0029017034885585103,0.0,Northeast
2020-03-03,New Hampshire,33,2,0,0.01470900801714482,0.0,Northeast
2020-03-03,New York,36,2,0,0.0010280894073840775,0.0,Northeast
2020-03-03,Rhode Island,44,2,0,0.018879305543624884,0.0,Northeast
2020-03-04,Massachusetts,25,2,0,0.0029017034885585103,0.0,Northeast
2020-03-04,New Hampshire,33,2,0,0.01470900801714482,0.0,Northeast
2020-03-04,New Jersey,34,1,0,0.0011258484675513583,0.0,Northeast
2020-03-04,New York,36,11,0,0.005654491740612426,0.0,Northeast
2020-03-04,Rhode Island,44,2,0,0.018879305543624884,0.0,Northeast
2020-03-05,Maryland,24,3,0,0.004962220957774808,0.0,Northeast
2020-03-05,Massachusetts,25,3,0,0.004352555232837766,0.0,Northeast
