date,state,fips,cases,deaths,"Case/10,000","Death/10,000",Region
2020-03-06,Hawaii,15,1,0,0.007062785336527596,0.0,Unconnected
2020-03-07,Hawaii,15,1,0,0.007062785336527596,0.0,Unconnected
2020-03-08,Hawaii,15,2,0,0.014125570673055192,0.0,Unconnected
2020-03-09,Hawaii,15,2,0,0.014125570673055192,0.0,Unconnected
2020-03-10,Hawaii,15,2,0,0.014125570673055192,0.0,Unconnected
2020-03-11,Hawaii,15,2,0,0.014125570673055192,0.0,Unconnected
2020-03-12,Alaska,2,1,0,0.01366969906157516,0.0,Unconnected
2020-03-12,Hawaii,15,2,0,0.014125570673055192,0.0,Unconnected
2020-03-13,Alaska,2,1,0,0.01366969906157516,0.0,Unconnected
2020-03-13,Hawaii,15,2,0,0.014125570673055192,0.0,Unconnected
2020-03-13,Puerto Rico,72,3,0,0.009393511087787371,0.0,Unconnected
2020-03-14,Alaska,2,1,0,0.01366969906157516,0.0,Unconnected
2020-03-14,Hawaii,15,4,0,0.028251141346110384,0.0,Unconnected
2020-03-14,Puerto Rico,72,4,0,0.012524681450383162,0.0,Unconnected
2020-03-14,Virgin Islands,78,1,0,0.09347803733512812,0.0,Unconnected
2020-03-15,Alaska,2,1,0,0.01366969906157516,0.0,Unconnected
2020-03-15,Guam,66,3,0,0.1809758216302302,0.0,Unconnected
2020-03-15,Hawaii,15,7,0,0.04943949735569317,0.0,Unconnected
2020-03-15,Puerto Rico,72,5,0,0.015655851812978953,0.0,Unconnected
2020-03-15,Virgin Islands,78,1,0,0.09347803733512812,0.0,Unconnected
2020-03-16,Alaska,2,3,0,0.04100909718472548,0.0,Unconnected
2020-03-16,Guam,66,3,0,0.1809758216302302,0.0,Unconnected
2020-03-16,Hawaii,15,10,0,0.07062785336527595,0.0,Unconnected
2020-03-16,Puerto Rico,72,5,0,0.015655851812978953,0.0,Unconnected
2020-03-16,Virgin Islands,78,2,0,0.18695607467025624,0.0,Unconnected
2020-03-17,Alaska,2,6,0,0.08201819436945096,0.0,Unconnected
2020-03-17,Guam,66,3,0,0.1809758216302302,0.0,Unconnected
2020-03-17,Hawaii,15,14,0,0.09887899471138634,0.0,Unconnected
2020-03-17,Puerto Rico,72,5,0,0.015655851812978953,0.0,Unconnected
2020-03-17,Virgin Islands,78,2,0,0.18695607467025624,0.0,Unconnected
2020-03-18,Alaska,2,9,0,0.12302729155417644,0.0,Unconnected
2020-03-18,Guam,66,8,0,0.48260219101394725,0.0,Unconnected
2020-03-18,Hawaii,15,16,0,0.11300456538444154,0.0,Unconnected
2020-03-18,Puerto Rico,72,5,0,0.015655851812978953,0.0,Unconnected
2020-03-18,Virgin Islands,78,3,0,0.2804341120053844,0.0,Unconnected
2020-03-19,Alaska,2,12,0,0.16403638873890192,0.0,Unconnected
2020-03-19,Guam,66,12,0,0.7239032865209208,0.0,Unconnected
2020-03-19,Hawaii,15,26,0,0.1836324187497175,0.0,Unconnected
2020-03-19,Puerto Rico,72,6,0,0.018787022175574743,0.0,Unconnected
2020-03-19,Virgin Islands,78,3,0,0.2804341120053844,0.0,Unconnected
2020-03-20,Alaska,2,14,0,0.19137578686205223,0.0,Unconnected
2020-03-20,Guam,66,14,0,0.8445538342744077,0.0,Unconnected
2020-03-20,Hawaii,15,37,0,0.26132305745152107,0.0,Unconnected
2020-03-20,Puerto Rico,72,14,0,0.043836385076341064,0.0,Unconnected
2020-03-20,Virgin Islands,78,6,0,0.5608682240107687,0.0,Unconnected
2020-03-21,Alaska,2,21,0,0.2870636802930783,0.0,Unconnected
2020-03-21,Guam,66,15,0,0.9048791081511511,0.0,Unconnected
2020-03-21,Hawaii,15,48,0,0.3390136961533246,0.0,Unconnected
2020-03-21,Puerto Rico,72,21,1,0.0657545776145116,0.0031311703625957906,Unconnected
2020-03-21,Virgin Islands,78,6,0,0.5608682240107687,0.0,Unconnected
2020-03-22,Alaska,2,22,0,0.3007333793546535,0.0,Unconnected
2020-03-22,Guam,66,27,1,1.6287823946720719,0.060325273876743406,Unconnected
2020-03-22,Hawaii,15,56,0,0.39551597884554535,0.0,Unconnected
2020-03-22,Puerto Rico,72,23,1,0.07201691833970318,0.0031311703625957906,Unconnected
2020-03-22,Virgin Islands,78,17,0,1.589126634697178,0.0,Unconnected
2020-03-23,Alaska,2,36,0,0.49210916621670575,0.0,Unconnected
2020-03-23,Guam,66,29,1,1.7494329424255588,0.060325273876743406,Unconnected
2020-03-23,Hawaii,15,77,0,0.5438344709126249,0.0,Unconnected
2020-03-23,Puerto Rico,72,31,2,0.09706628124046951,0.006262340725191581,Unconnected
2020-03-23,Virgin Islands,78,17,0,1.589126634697178,0.0,Unconnected
2020-03-24,Alaska,2,42,0,0.5741273605861567,0.0,Unconnected
2020-03-24,Guam,66,32,1,1.930408764055789,0.060325273876743406,Unconnected
2020-03-24,Hawaii,15,90,0,0.6356506802874836,0.0,Unconnected
2020-03-24,Puerto Rico,72,39,2,0.12211564414123582,0.006262340725191581,Unconnected
2020-03-24,Virgin Islands,78,17,0,1.589126634697178,0.0,Unconnected
2020-03-25,Alaska,2,59,0,0.8065122446329345,0.0,Unconnected
2020-03-25,Guam,66,32,1,1.930408764055789,0.060325273876743406,Unconnected
