State      Area_Name                       POP_ESTIMATE_2019   
US         United States                              328239523
AL         Alabama                                      4903185
AL         Autauga County                                 55869
AL         Baldwin County                                223234
AL         Barbour County                                 24686
AL         Bibb County                                    22394
AL         Blount County                                  57826
AL         Bullock County                                 10101
AL         Butler County                                  19448
AL         Calhoun County                                113605
AL         Chambers County                                33254
AL         Cherokee County                                26196
AL         Chilton County                                 44428
AL         Choctaw County                                 12589
AL         Clarke County                                  23622
AL         Clay County                                    13235
AL         Cleburne County                                14910
AL         Coffee County                                  52342
AL         Colbert County                                 55241
AL         Conecuh County                                 12067
AL         Coosa County                                   10663
AL         Covington County                               37049
AL         Crenshaw County                                13772
AL         Cullman County                                 83768
AL         Dale County                                    49172
AL         Dallas County                                  37196
AL         DeKalb County                                  71513
AL         Elmore County                                  81209
AL         Escambia County                                36633
AL         Etowah County                                 102268
AL         Fayette County                                 16302
AL         Franklin County                                31362
AL         Geneva County                                  26271
AL         Greene County                                   8111
AL         Hale County                                    14651
AL         Henry County                                   17205
AL         Houston County                                105882
AL         Jackson County                                 51626
AL         Jefferson County                              658573
AL         Lamar County                                   13805
AL         Lauderdale County                              92729
AL         Lawrence County                                32924
AL         Lee County                                    164542
AL         Limestone County                               98915
AL         Lowndes County                                  9726
AL         Macon County                                   18068
AL         Madison County                                372909
AL         Marengo County                                 18863
AL         Marion County                                  29709
AL         Marshall County                                96774
AL         Mobile County                                 413210
AL         Monroe County                                  20733
AL         Montgomery County                             226486
AL         Morgan County                                 119679
AL         Perry County                                    8923
AL         Pickens County                                 19930
AL         Pike County                                    33114
AL         Randolph County                                22722
AL         Russell County                                 57961
AL         St. Clair County                               89512
AL         Shelby County                                 217702
AL         Sumter County                                  12427
AL         Talladega County                               79978
AL         Tallapoosa County                              40367
AL         Tuscaloosa County                             209355
AL         Walker County                                  63521
AL         Washington County                              16326
AL         Wilcox County                                  10373
AL         Winston County                                 23629
AK         Alaska                                        731545
AK         Aleutians East Borough                          3337
AK         Aleutians West Census Area                      5634
AK         Anchorage Municipality                        288000
AK         Bethel Census Area                             18386
AK         Bristol Bay Borough                              836
AK         Denali Borough                                  2097
AK         Dillingham Census Area                          4916
AK         Fairbanks North Star Borough                   96849
AK         Haines Borough                                  2530
AK         Hoonah-Angoon Census Area                       2148
AK         Juneau City and Borough                        31974
AK         Kenai Peninsula Borough                        58708
AK         Ketchikan Gateway Borough                      13901
AK         Kodiak Island Borough                          12998
AK         Kusilvak Census Area                            8314
AK         Lake and Peninsula Borough                      1592
AK         Matanuska-Susitna Borough                     108317
AK         Nome Census Area                               10004
AK         North Slope Borough                             9832
AK         Northwest Arctic Borough                        7621
AK         Petersburg Borough                              3266
AK         Prince of Wales-Hyder Census Are                6203
AK         Sitka City and Borough                          8493
AK         Skagway Municipality                            1183
AK         Southeast Fairbanks Census Area                 6893
AK         Valdez-Cordova Census Area                      9202
AK         Wrangell City and Borough                       2502
AK         Yakutat City and Borough                         579
AK         Yukon-Koyukuk Census Area                       5230
AZ         Arizona                                      7278717
AZ         Apache County                                  71887
AZ         Cochise County                                125922
AZ         Coconino County                               143476
AZ         Gila County                                    54018
AZ         Graham County                                  38837
AZ         Greenlee County                                 9498
AZ         La Paz County                                  21108
AZ         Maricopa County                              4485414
AZ         Mohave County                                 212181
AZ         Navajo County                                 110924
AZ         Pima County                                  1047279
AZ         Pinal County                                  462789
AZ         Santa Cruz County                              46498
AZ         Yavapai County                                235099
AZ         Yuma County                                   213787
AR         Arkansas                                     3017804
AR         Arkansas County                                17486
AR         Ashley County                                  19657
AR         Baxter County                                  41932
AR         Benton County                                 279141
AR         Boone County                                   37432
AR         Bradley County                                 10763
AR         Calhoun County                                  5189
AR         Carroll County                                 28380
AR         Chicot County                                  10118
AR         Clark County                                   22320
AR         Clay County                                    14551
AR         Cleburne County                                24919
AR         Cleveland County                                7956
AR         Columbia County                                23457
AR         Conway County                                  20846
AR         Craighead County                              110332
AR         Crawford County                                63257
AR         Crittenden County                              47955
AR         Cross County                                   16419
AR         Dallas County                                   7009
AR         Desha County                                   11361
AR         Drew County                                    18219
AR         Faulkner County                               126007
AR         Franklin County                                17715
AR         Fulton County                                  12477
AR         Garland County                                 99386
AR         Grant County                                   18265
AR         Greene County                                  45325
AR         Hempstead County                               21532
AR         Hot Spring County                              33771
AR         Howard County                                  13202
AR         Independence County                            37825
AR         Izard County                                   13629
AR         Jackson County                                 16719
AR         Jefferson County                               66824
AR         Johnson County                                 26578
AR         Lafayette County                                6624
AR         Lawrence County                                16406
AR         Lee County                                      8857
AR         Lincoln County                                 13024
AR         Little River County                            12259
AR         Logan County                                   21466
AR         Lonoke County                                  73309
AR         Madison County                                 16576
AR         Marion County                                  16694
AR         Miller County                                  43257
AR         Mississippi County                             40651
AR         Monroe County                                   6701
AR         Montgomery County                               8986
AR         Nevada County                                   8252
AR         Newton County                                   7753
AR         Ouachita County                                23382
AR         Perry County                                   10455
AR         Phillips County                                17782
AR         Pike County                                    10718
AR         Poinsett County                                23528
AR         Polk County                                    19964
AR         Pope County                                    64072
AR         Prairie County                                  8062
AR         Pulaski County                                391911
AR         Randolph County                                17958
AR         St. Francis County                             24994
AR         Saline County                                 122437
AR         Scott County                                   10281
AR         Searcy County                                   7881
AR         Sebastian County                              127827
AR         Sevier County                                  17007
AR         Sharp County                                   17442
AR         Stone County                                   12506
AR         Union County                                   38682
AR         Van Buren County                               16545
AR         Washington County                             239187
AR         White County                                   78753
AR         Woodruff County                                 6320
AR         Yell County                                    21341
CA         California                                  39512223
CA         Alameda County                               1671329
CA         Alpine County                                   1129
CA         Amador County                                  39752
CA         Butte County                                  219186
CA         Calaveras County                               45905
CA         Colusa County                                  21547
CA         Contra Costa County                          1153526
CA         Del Norte County                               27812
CA         El Dorado County                              192843
CA         Fresno County                                 999101
CA         Glenn County                                   28393
CA         Humboldt County                               135558
CA         Imperial County                               181215
CA         Inyo County                                    18039
CA         Kern County                                   900202
CA         Kings County                                  152940
CA         Lake County                                    64386
CA         Lassen County                                  30573
CA         Los Angeles County                          10039107
CA         Madera County                                 157327
CA         Marin County                                  258826
CA         Mariposa County                                17203
CA         Mendocino County                               86749
CA         Merced County                                 277680
CA         Modoc County                                    8841
CA         Mono County                                    14444
CA         Monterey County                               434061
CA         Napa County                                   137744
CA         Nevada County                                  99755
CA         Orange County                                3175692
CA         Placer County                                 398329
CA         Plumas County                                  18807
CA         Riverside County                             2470546
CA         Sacramento County                            1552058
CA         San Benito County                              62808
CA         San Bernardino County                        2180085
CA         San Diego County                             3338330
CA         San Francisco County                          881549
CA         San Joaquin County                            762148
CA         San Luis Obispo County                        283111
CA         San Mateo County                              766573
CA         Santa Barbara County                          446499
CA         Santa Clara County                           1927852
CA         Santa Cruz County                             273213
CA         Shasta County                                 180080
CA         Sierra County                                   3005
CA         Siskiyou County                                43539
CA         Solano County                                 447643
CA         Sonoma County                                 494336
CA         Stanislaus County                             550660
CA         Sutter County                                  96971
CA         Tehama County                                  65084
CA         Trinity County                                 12285
CA         Tulare County                                 466195
CA         Tuolumne County                                54478
CA         Ventura County                                846006
CA         Yolo County                                   220500
CA         Yuba County                                    78668
CO         Colorado                                     5758736
CO         Adams County                                  517421
CO         Alamosa County                                 16233
CO         Arapahoe County                               656590
CO         Archuleta County                               14029
CO         Baca County                                     3581
CO         Bent County                                     5577
CO         Boulder County                                326196
CO         Broomfield County                              70465
CO         Chaffee County                                 20356
CO         Cheyenne County                                 1831
CO         Clear Creek County                              9700
CO         Conejos County                                  8205
CO         Costilla County                                 3887
CO         Crowley County                                  6061
CO         Custer County                                   5068
CO         Delta County                                   31162
CO         Denver County                                 727211
CO         Dolores County                                  2055
CO         Douglas County                                351154
CO         Eagle County                                   55127
CO         Elbert County                                  26729
CO         El Paso County                                720403
CO         Fremont County                                 47839
CO         Garfield County                                60061
CO         Gilpin County                                   6243
CO         Grand County                                   15734
CO         Gunnison County                                17462
CO         Hinsdale County                                  820
CO         Huerfano County                                 6897
CO         Jackson County                                  1392
CO         Jefferson County                              582881
CO         Kiowa County                                    1406
CO         Kit Carson County                               7097
CO         Lake County                                     8127
CO         La Plata County                                56221
CO         Larimer County                                356899
CO         Las Animas County                              14506
CO         Lincoln County                                  5701
CO         Logan County                                   22409
CO         Mesa County                                   154210
CO         Mineral County                                   769
CO         Moffat County                                  13283
CO         Montezuma County                               26183
CO         Montrose County                                42758
CO         Morgan County                                  29068
CO         Otero County                                   18278
CO         Ouray County                                    4952
CO         Park County                                    18845
CO         Phillips County                                 4265
CO         Pitkin County                                  17767
CO         Prowers County                                 12172
CO         Pueblo County                                 168424
CO         Rio Blanco County                               6324
CO         Rio Grande County                              11267
CO         Routt County                                   25638
CO         Saguache County                                 6824
CO         San Juan County                                  728
CO         San Miguel County                               8179
CO         Sedgwick County                                 2248
CO         Summit County                                  31011
CO         Teller County                                  25388
CO         Washington County                               4908
CO         Weld County                                   324492
CO         Yuma County                                    10019
CT         Connecticut                                  3565287
CT         Fairfield County                              943332
CT         Hartford County                               891720
CT         Litchfield County                             180333
CT         Middlesex County                              162436
CT         New Haven County                              854757
CT         New London County                             265206
CT         Tolland County                                150721
CT         Windham County                                116782
DE         Delaware                                      973764
DE         Kent County                                   180786
DE         New Castle County                             558753
DE         Sussex County                                 234225
DC         District of Columbia                          705749
DC         District of Columbia                          705749
FL         Florida                                     21477737
FL         Alachua County                                269043
FL         Baker County                                   29210
FL         Bay County                                    174705
FL         Bradford County                                28201
FL         Brevard County                                601942
FL         Broward County                               1952778
FL         Calhoun County                                 14105
FL         Charlotte County                              188910
FL         Citrus County                                 149657
FL         Clay County                                   219252
FL         Collier County                                384902
FL         Columbia County                                71686
FL         DeSoto County                                  38001
FL         Dixie County                                   16826
FL         Duval County                                  957755
FL         Escambia County                               318316
FL         Flagler County                                115081
FL         Franklin County                                12125
FL         Gadsden County                                 45660
FL         Gilchrist County                               18582
FL         Glades County                                  13811
FL         Gulf County                                    13639
FL         Hamilton County                                14428
FL         Hardee County                                  26937
FL         Hendry County                                  42022
FL         Hernando County                               193920
FL         Highlands County                              106221
FL         Hillsborough County                          1471968
FL         Holmes County                                  19617
FL         Indian River County                           159923
FL         Jackson County                                 46414
FL         Jefferson County                               14246
FL         Lafayette County                                8422
FL         Lake County                                   367118
FL         Lee County                                    770577
FL         Leon County                                   293582
FL         Levy County                                    41503
FL         Liberty County                                  8354
FL         Madison County                                 18493
FL         Manatee County                                403253
FL         Marion County                                 365579
FL         Martin County                                 161000
FL         Miami-Dade County                            2716940
FL         Monroe County                                  74228
FL         Nassau County                                  88625
FL         Okaloosa County                               210738
FL         Okeechobee County                              42168
FL         Orange County                                1393452
FL         Osceola County                                375751
FL         Palm Beach County                            1496770
FL         Pasco County                                  553947
FL         Pinellas County                               974996
FL         Polk County                                   724777
FL         Putnam County                                  74521
FL         St. Johns County                              264672
FL         St. Lucie County                              328297
FL         Santa Rosa County                             184313
FL         Sarasota County                               433742
FL         Seminole County                               471826
FL         Sumter County                                 132420
FL         Suwannee County                                44417
FL         Taylor County                                  21569
FL         Union County                                   15237
FL         Volusia County                                553284
FL         Wakulla County                                 33739
FL         Walton County                                  74071
FL         Washington County                              25473
GA         Georgia                                     10617423
GA         Appling County                                 18386
GA         Atkinson County                                 8165
GA         Bacon County                                   11164
GA         Baker County                                    3038
GA         Baldwin County                                 44890
GA         Banks County                                   19234
GA         Barrow County                                  83240
GA         Bartow County                                 107738
GA         Ben Hill County                                16700
GA         Berrien County                                 19397
GA         Bibb County                                   153159
GA         Bleckley County                                12873
GA         Brantley County                                19109
GA         Brooks County                                  15457
GA         Bryan County                                   39627
GA         Bulloch County                                 79608
GA         Burke County                                   22383
GA         Butts County                                   24936
GA         Calhoun County                                  6189
GA         Camden County                                  54666
GA         Candler County                                 10803
GA         Carroll County                                119992
GA         Catoosa County                                 67580
GA         Charlton County                                13392
GA         Chatham County                                289430
GA         Chattahoochee County                           10907
GA         Chattooga County                               24789
GA         Cherokee County                               258773
GA         Clarke County                                 128331
GA         Clay County                                     2834
GA         Clayton County                                292256
GA         Clinch County                                   6618
GA         Cobb County                                   760141
GA         Coffee County                                  43273
GA         Colquitt County                                45600
GA         Columbia County                               156714
GA         Cook County                                    17270
GA         Coweta County                                 148509
GA         Crawford County                                12404
GA         Crisp County                                   22372
GA         Dade County                                    16116
GA         Dawson County                                  26108
GA         Decatur County                                 26404
GA         DeKalb County                                 759297
GA         Dodge County                                   20605
GA         Dooly County                                   13390
GA         Dougherty County                               87956
GA         Douglas County                                146343
GA         Early County                                   10190
GA         Echols County                                   4006
GA         Effingham County                               64296
GA         Elbert County                                  19194
GA         Emanuel County                                 22646
GA         Evans County                                   10654
GA         Fannin County                                  26188
GA         Fayette County                                114421
GA         Floyd County                                   98498
GA         Forsyth County                                244252
GA         Franklin County                                23349
GA         Fulton County                                1063937
GA         Gilmer County                                  31369
GA         Glascock County                                 2971
GA         Glynn County                                   85292
GA         Gordon County                                  57963
GA         Grady County                                   24633
GA         Greene County                                  18324
GA         Gwinnett County                               936250
GA         Habersham County                               45328
GA         Hall County                                   204441
GA         Hancock County                                  8457
GA         Haralson County                                29792
GA         Harris County                                  35236
GA         Hart County                                    26205
GA         Heard County                                   11923
GA         Henry County                                  234561
GA         Houston County                                157863
GA         Irwin County                                    9416
GA         Jackson County                                 72977
GA         Jasper County                                  14219
GA         Jeff Davis County                              15115
GA         Jefferson County                               15362
GA         Jenkins County                                  8676
GA         Johnson County                                  9643
GA         Jones County                                   28735
GA         Lamar County                                   19077
GA         Lanier County                                  10423
GA         Laurens County                                 47546
GA         Lee County                                     29992
GA         Liberty County                                 61435
GA         Lincoln County                                  7921
GA         Long County                                    19559
GA         Lowndes County                                117406
GA         Lumpkin County                                 33610
GA         McDuffie County                                21312
GA         McIntosh County                                14378
GA         Macon County                                   12947
GA         Madison County                                 29880
GA         Marion County                                   8359
GA         Meriwether County                              21167
GA         Miller County                                   5718
GA         Mitchell County                                21863
GA         Monroe County                                  27578
GA         Montgomery County                               9172
