date,state,fips,cases,deaths,"Case/10,000","Death/10,000",Region
2020-01-21,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-01-22,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-01-23,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-01-24,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-01-25,California,6,1,0,0.0002530862411866829,0.0,West
2020-01-25,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-01-26,California,6,2,0,0.0005061724823733658,0.0,West
2020-01-26,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-01-27,California,6,2,0,0.0005061724823733658,0.0,West
2020-01-27,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-01-28,California,6,2,0,0.0005061724823733658,0.0,West
2020-01-28,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-01-29,California,6,2,0,0.0005061724823733658,0.0,West
2020-01-29,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-01-30,California,6,2,0,0.0005061724823733658,0.0,West
2020-01-30,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-01-31,California,6,3,0,0.0007592587235600488,0.0,West
2020-01-31,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-01,California,6,3,0,0.0007592587235600488,0.0,West
2020-02-01,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-02,California,6,6,0,0.0015185174471200975,0.0,West
2020-02-02,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-03,California,6,6,0,0.0015185174471200975,0.0,West
2020-02-03,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-04,California,6,6,0,0.0015185174471200975,0.0,West
2020-02-04,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-05,California,6,6,0,0.0015185174471200975,0.0,West
2020-02-05,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-06,California,6,6,0,0.0015185174471200975,0.0,West
2020-02-06,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-07,California,6,6,0,0.0015185174471200975,0.0,West
2020-02-07,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-08,California,6,6,0,0.0015185174471200975,0.0,West
2020-02-08,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-09,California,6,6,0,0.0015185174471200975,0.0,West
2020-02-09,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-10,California,6,7,0,0.0017716036883067803,0.0,West
2020-02-10,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-11,California,6,7,0,0.0017716036883067803,0.0,West
2020-02-11,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-12,California,6,7,0,0.0017716036883067803,0.0,West
2020-02-12,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-13,California,6,7,0,0.0017716036883067803,0.0,West
2020-02-13,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-14,California,6,7,0,0.0017716036883067803,0.0,West
2020-02-14,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-15,California,6,7,0,0.0017716036883067803,0.0,West
2020-02-15,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-16,California,6,7,0,0.0017716036883067803,0.0,West
2020-02-16,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-17,California,6,7,0,0.0017716036883067803,0.0,West
2020-02-17,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-18,California,6,7,0,0.0017716036883067803,0.0,West
2020-02-18,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-19,California,6,7,0,0.0017716036883067803,0.0,West
2020-02-19,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-20,California,6,8,0,0.002024689929493463,0.0,West
2020-02-20,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-21,California,6,9,0,0.0022777761706801463,0.0,West
2020-02-21,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-22,California,6,9,0,0.0022777761706801463,0.0,West
2020-02-22,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-23,California,6,9,0,0.0022777761706801463,0.0,West
2020-02-23,Washington,53,1,0,0.0013132160885254724,0.0,West
2020-02-24,California,6,11,0,0.002783948653053512,0.0,West
2020-02-24,Washington,53,5,0,0.006566080442627362,0.0,West
2020-02-25,California,6,11,0,0.002783948653053512,0.0,West
2020-02-25,Utah,49,1,0,0.0031191924535505454,0.0,West
2020-02-25,Washington,53,5,0,0.006566080442627362,0.0,West
2020-02-26,California,6,26,0,0.006580242270853756,0.0,West
2020-02-26,Utah,49,1,0,0.0031191924535505454,0.0,West
2020-02-26,Washington,53,5,0,0.006566080442627362,0.0,West
2020-02-27,California,6,26,0,0.006580242270853756,0.0,West
2020-02-27,Utah,49,1,0,0.0031191924535505454,0.0,West
2020-02-27,Washington,53,5,0,0.006566080442627362,0.0,West
2020-02-28,California,6,27,0,0.006833328512040439,0.0,West
2020-02-28,Oregon,41,1,0,0.0023709396768930827,0.0,West
2020-02-28,Utah,49,1,0,0.0031191924535505454,0.0,West
2020-02-28,Washington,53,7,0,0.009192512619678307,0.0,West
2020-02-29,California,6,28,0,0.007086414753227121,0.0,West
2020-02-29,Oregon,41,1,0,0.0023709396768930827,0.0,West
2020-02-29,Utah,49,1,0,0.0031191924535505454,0.0,West
2020-02-29,Washington,53,10,1,0.013132160885254724,0.0013132160885254724,West
2020-03-01,California,6,33,0,0.008351845959160536,0.0,West
2020-03-01,Oregon,41,2,0,0.004741879353786165,0.0,West
2020-03-01,Utah,49,1,0,0.0031191924535505454,0.0,West
2020-03-01,Washington,53,17,3,0.022324673504933033,0.003939648265576417,West
2020-03-02,California,6,38,0,0.009617277165093951,0.0,West
2020-03-02,Oregon,41,2,0,0.004741879353786165,0.0,West
2020-03-02,Utah,49,1,0,0.0031191924535505454,0.0,West
2020-03-02,Washington,53,23,6,0.030203970036085867,0.007879296531152834,West
2020-03-03,California,6,45,0,0.01138888085340073,0.0,West
2020-03-03,Oregon,41,2,0,0.004741879353786165,0.0,West
2020-03-03,Utah,49,1,0,0.0031191924535505454,0.0,West
2020-03-03,Washington,53,32,10,0.04202291483281512,0.013132160885254724,West
2020-03-04,California,6,55,1,0.013919743265267561,0.0002530862411866829,West
2020-03-04,Oregon,41,2,0,0.004741879353786165,0.0,West
2020-03-04,Utah,49,1,0,0.0031191924535505454,0.0,West
2020-03-04,Washington,53,47,11,0.061721156160697205,0.014445376973780196,West
2020-03-05,California,6,67,1,0.016956778159507756,0.0002530862411866829,West
2020-03-05,Colorado,8,2,0,0.003472984349343328,0.0,West
2020-03-05,Nevada,32,2,0,0.006493177618276477,0.0,West
2020-03-05,Oregon,41,2,0,0.004741879353786165,0.0,West
2020-03-05,Utah,49,1,0,0.0031191924535505454,0.0,West
